Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-3.5;160.315217391;161.75
1;1;-3.2;169.135416667;171.5
0;1;-4.9;284.145833333;181.0
0;1;-3.0;294.864583333;175.0
0;1;-4.1;291.294736842;175.25
1;1;4.9;179.875;177.75
0;1;11.4;203.96875;170.0
1;1;9.8;179.875;168.75
1;1;6.6;174.291666667;167.5
0;1;4.7;300.354166667;185.0
0;1;4.1;313.5;191.5
0;1;3.7;328.744680851;181.25
0;1;6.0;299.378947368;186.75
0;1;2.9;293.21875;180.5
1;1;3.3;182.947916667;162.25
1;1;0.9;162.625;160.5
0;1;2.1;295.322916667;182.5
0;1;-0.8;290.4375;180.25
0;1;3.1;302.864583333;188.25
0;1;2.6;305.03125;177.0
0;1;0.7;304.552083333;175.5
1;1;-0.7;189.583333333;174.75
1;1;-2.3;179.822916667;167.5
0;1;-1.8;294.208333333;180.75
0;1;-0.3;296.627659574;197.25
0;1;0.7;298.65625;186.75
0;1;0.0;292.958333333;186.25
0;1;-0.1;303.791666667;188.25
1;1;-1.1;185.885416667;181.75
1;1;-1.2;177.052083333;170.5
0;1;-2.0;289.479166667;205.25
0;2;-3.6;289.322916667;185.25
0;2;-2.1;282.90625;186.75
0;2;-4.7;278.395833333;194.0
0;2;-1.4;258.802083333;171.0
1;2;-1.1;179.71875;174.75
1;2;0.6;176.15625;168.75
0;2;0.6;263.052083333;185.5
0;2;6.7;262.75;185.0
0;2;1.2;272.864583333;184.0
0;2;0.4;267.135416667;194.5
0;2;9.0;262.333333333;184.5
1;2;3.0;186.395833333;185.25
1;2;1.2;184.375;185.0
0;2;0.9;315.697916667;205.75
0;2;0.4;326.21875;209.75
0;2;4.6;317.125;194.5
0;2;4.0;321.40625;193.75
0;2;4.0;309.875;182.25
1;2;3.9;167.677083333;151.25
1;2;2.0;170.65625;188.75
0;2;-2.2;314.239583333;204.5
0;2;-1.8;308.229166667;188.25
0;2;-6.0;286.65625;187.5
0;2;-6.3;289.5;194.0
0;2;-1.1;285.0;192.0
1;2;-3.1;189.302083333;180.5
1;2;-1.2;187.979166667;190.5
0;2;0.1;318.645833333;202.5
0;3;1.0;322.46875;205.75
0;3;-1.8;315.25;191.75
0;3;0.4;313.354166667;191.25
0;3;-1.9;297.1875;180.25
1;3;-1.9;195.067178503;180.649635036
1;3;1.0;177.638847737;176.0
0;3;-4.2;295.772706457;197.799270073
0;3;-3.4;294.937253665;196.46184739
0;3;-1.3;304.126202511;203.054474708
0;3;7.7;299.161074919;197.62109375
0;3;7.4;294.342392189;194.34765625
1;3;9.4;194.521455376;191.875
1;3;11.6;192.526496005;188.40234375
0;3;11.4;316.835150738;202.0
0;3;10.1;301.979166667;195.5
0;3;10.2;319.177083333;201.25
0;3;7.5;311.291666667;202.75
0;3;6.8;312.666666667;191.25
1;3;6.1;192.135416667;185.5
1;3;5.8;188.208333333;185.75
0;3;0.8;291.197916667;192.0
0;3;3.4;288.3125;196.25
0;3;5.8;285.635416667;198.5
0;3;6.2;295.578947368;210.25
0;3;12.6;286.489583333;192.75
1;3;10.8;204.010416667;190.25
1;3;9.5;194.717391304;187.5
0;3;9.9;187.5;NaN
0;3;5.6;323.75;198.75
0;3;6.5;280.957894737;203.25
0;3;8.4;298.78125;208.0
0;4;11.2;208.0;NaN
1;4;10.4;NaN;NaN
1;4;11.8;NaN;NaN
0;4;10.8;NaN;NaN
0;4;6.5;NaN;NaN
0;4;9.0;NaN;NaN
0;4;21.4;NaN;NaN
0;4;13.9;NaN;NaN
1;4;10.5;NaN;NaN
1;4;7.7;NaN;NaN
0;4;9.9;NaN;NaN
0;4;7.8;NaN;NaN
0;4;3.7;NaN;NaN
0;4;6.1;NaN;NaN
0;4;7.3;NaN;NaN
1;4;9.3;169.942857143;157.75
1;4;5.9;154.239583333;148.5
0;4;9.4;257.229166667;164.25
0;4;7.8;266.84375;171.0
0;4;9.5;266.125;170.25
0;4;9.8;263.625;170.0
0;4;10.5;221.104166667;152.5
1;4;16.9;151.989583333;144.25
1;4;14.2;145.114583333;150.0
1;4;14.7;152.260416667;157.75
0;4;13.1;270.510416667;156.75
0;4;13.6;268.96875;163.75
0;4;11.2;282.957894737;173.5
0;4;12.0;269.916666667;159.75
1;4;12.0;171.395833333;193.5
1;5;11.9;162.166666667;161.0
0;5;12.1;246.041666667;160.25
0;5;8.0;253.65625;172.75
0;5;5.0;270.220588235;164.75
0;5;6.0;294.632745726;168.547794118
0;5;8.7;247.52524611;165.319148936
1;5;9.4;163.760817308;161.214285714
1;5;8.3;162.685483871;160.642857143
0;5;12.8;223.5;162.75
0;5;12.0;246.479166667;169.5
0;5;12.9;256.854166667;179.75
0;5;17.0;256.302083333;178.5
0;5;15.5;178.5;NaN
1;5;14.2;223.583333333;206.0
1;5;9.9;205.50562723;191.850202429
0;5;11.8;277.492196007;175.06
0;5;15.5;268.817113478;168.566371681
0;5;13.3;272.381915846;165.532520325
0;5;15.4;270.261847112;170.515418502
0;5;16.6;260.975378054;164.962962963
1;5;14.0;175.528028224;153.483870968
1;5;15.8;157.074403635;160.933014354
0;5;18.9;288.2172362;175.762790698
0;5;18.0;290.855633138;180.052863436
0;5;15.6;210.101146601;172.0
0;5;15.6;318.703236554;181.857777778
0;5;20.4;313.948405589;174.153508772
1;5;13.2;180.624932832;156.004347826
1;5;13.0;167.075384066;155.92173913
0;5;16.2;292.177805575;183.83982684
0;5;17.0;305.374195854;181.438818565
