Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-4.0;159.078947368;167.0
1;1;-0.7;167.135416667;184.25
0;1;-2.0;277.072916667;271.0
0;1;-2.8;295.104166667;263.0
0;1;-2.2;291.157894737;267.5
1;1;2.3;185.875;195.25
0;1;11.0;202.989583333;206.25
1;1;12.0;180.354166667;198.25
1;1;12.4;174.864583333;192.75
0;1;6.4;294.90625;254.0
0;1;4.1;310.239583333;281.0
0;1;1.0;332.361702128;284.75
0;1;7.0;297.252631579;291.25
0;1;4.7;296.145833333;264.5
1;1;4.0;190.614583333;182.5
1;1;2.9;163.020833333;179.75
0;1;3.4;286.958333333;256.5
0;1;0.4;290.322916667;257.0
0;1;3.2;302.052083333;283.75
0;1;3.5;305.822916667;264.25
0;1;1.3;307.375;242.25
1;1;-0.6;192.416666667;196.75
1;1;0.6;180.302083333;201.75
0;1;-2.3;285.645833333;290.0
0;1;-0.4;296.329787234;296.0
0;1;1.5;299.885416667;279.25
0;1;0.9;293.135416667;268.0
0;1;-0.3;305.947916667;242.5
1;1;-0.4;190.989583333;190.0
1;1;-0.8;178.3125;182.5
0;1;-1.4;279.770833333;257.5
0;2;-3.9;291.583333333;249.25
0;2;-5.0;284.052083333;246.25
0;2;-2.7;277.458333333;242.5
0;2;-0.2;262.9375;222.75
1;2;1.4;182.708333333;185.25
1;2;2.5;176.166666667;188.25
0;2;3.6;256.8125;238.0
0;2;6.4;263.427083333;233.0
0;2;3.3;272.270833333;243.75
0;2;3.0;265.84375;244.5
0;2;9.0;265.84375;228.0
1;2;3.7;188.614583333;199.0
1;2;1.9;185.1875;188.75
0;2;1.0;306.3125;276.5
0;2;0.4;325.947916667;281.5
0;2;4.5;318.375;282.5
0;2;3.8;319.177083333;317.25
0;2;3.6;312.5;271.25
1;2;5.4;179.8125;171.5
1;2;3.3;163.989583333;209.5
0;2;-1.4;305.958333333;303.5
0;2;-1.1;311.802083333;275.5
0;2;-2.4;287.9375;257.75
0;2;-2.9;286.114583333;295.0
0;2;-0.5;288.239583333;248.0
1;2;-2.6;194.927083333;194.25
1;2;-1.1;185.96875;213.25
0;2;0.0;310.822916667;283.5
0;3;0.9;322.635416667;282.75
0;3;-1.4;317.4375;270.25
0;3;0.4;313.604166667;277.0
0;3;-1.1;299.458333333;247.0
1;3;1.8;195.785062241;203.642335766
1;3;4.6;180.041680395;182.795620438
0;3;-1.0;285.489326014;300.379562044
0;3;-1.4;295.501481366;266.708
0;3;1.3;303.627690802;276.04296875
0;3;5.4;298.626405868;302.57421875
0;3;11.8;296.078112286;275.25
1;3;13.7;198.584366841;208.1640625
1;3;12.8;193.042875774;209.822834646
0;3;15.0;296.434300792;287.25
0;3;15.8;301.864583333;301.0
0;3;11.1;318.770833333;291.75
0;3;13.5;308.572916667;301.75
0;3;8.1;316.28125;276.25
1;3;5.9;198.083333333;208.5
1;3;7.0;188.677083333;206.0
0;3;3.8;285.697916667;261.5
0;3;5.9;287.34375;276.5
0;3;12.5;287.197916667;254.5
0;3;11.4;292.505263158;280.0
0;3;16.2;290.1875;273.75
1;3;14.9;207.6875;207.0
1;3;13.2;194.532608696;205.25
0;3;9.8;199.75;NaN
0;3;8.8;366.555555556;245.0
0;3;9.3;280.484210526;249.25
0;3;11.7;298.510416667;243.0
0;4;14.3;227.1;NaN
1;4;14.0;NaN;NaN
1;4;14.6;NaN;NaN
0;4;12.9;NaN;NaN
0;4;9.7;NaN;NaN
0;4;12.1;NaN;NaN
0;4;21.6;NaN;NaN
0;4;14.5;NaN;NaN
1;4;14.2;NaN;NaN
1;4;11.9;NaN;NaN
0;4;13.0;NaN;NaN
0;4;8.9;NaN;NaN
0;4;6.7;NaN;NaN
0;4;9.9;NaN;NaN
0;4;9.6;NaN;NaN
1;4;10.4;167.315789474;174.25
1;4;8.8;156.822916667;158.75
0;4;9.6;251.65625;215.75
0;4;10.7;266.5;214.75
0;4;13.6;263.71875;227.5
0;4;14.8;263.510416667;235.75
0;4;15.0;228.760416667;164.5
1;4;19.9;153.71875;150.75
1;4;18.0;144.510416667;151.25
1;4;15.9;151.333333333;161.75
0;4;14.2;264.614583333;248.5
0;4;15.5;267.645833333;254.75
0;4;13.6;280.757894737;260.5
0;4;12.7;275.572916667;203.5
1;4;15.9;169.739583333;175.25
1;5;12.9;166.802083333;166.25
0;5;13.8;242.0625;201.25
0;5;11.0;252.489583333;222.75
0;5;9.7;273.529411765;190.5
0;5;10.4;336.482370593;198.156934307
0;5;12.4;246.921093507;209.738589212
1;5;15.6;167.296022042;163.433884298
1;5;9.5;162.558407543;161.327659574
0;5;14.7;173.021575985;198.5
0;5;16.3;245.302083333;200.75
0;5;17.4;255.1875;209.25
0;5;19.0;256.395833333;206.5
0;5;19.4;196.25;NaN
1;5;22.5;229.375;205.0
1;5;10.6;204.230542235;207.502242152
0;5;13.8;277.422884684;229.693023256
0;5;16.5;268.49461367;245.654867257
0;5;18.3;274.013400036;237.445945946
0;5;19.4;268.166666667;243.601851852
0;5;21.1;266.288007737;186.670995671
1;5;18.0;176.674860764;179.823529412
1;5;17.7;157.690283781;171.0
0;5;19.9;282.839815171;262.793577982
0;5;21.2;292.801135289;233.034632035
0;5;20.8;209.844837935;239.5
0;5;20.5;350.391475212;216.688596491
0;5;25.3;315.600754988;208.215859031
1;5;14.7;185.398710371;168.439130435
1;5;16.8;167.263506261;161.483050847
0;5;20.3;284.284796574;228.415584416
0;5;22.2;306.366141732;231.356223176
