Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-5.1;166.071428571;153.0
1;1;-2.8;158.895833333;161.25
0;1;-4.2;173.895833333;284.0
0;1;-2.9;287.625;276.5
0;1;-3.4;293.447916667;273.25
1;1;-3.2;287.094736842;165.75
0;1;8.1;182.552083333;195.75
1;1;11.1;201.927083333;170.75
1;1;5.3;178.40625;164.25
0;1;4.9;176.447916667;266.5
0;1;3.7;304.604166667;278.5
0;1;4.2;366.411764706;NaN
0;1;3.4;276.32;312.5
0;1;3.2;296.915789474;254.5
1;1;3.4;292.802083333;178.0
1;1;1.5;176.052083333;154.5
0;1;-1.2;164.854166667;291.5
0;1;-0.6;301.875;286.5
0;1;-2.2;289.145833333;275.0
0;1;3.1;304.208333333;280.0
0;1;1.3;303.8125;285.5
1;1;-0.4;301.208333333;178.25
1;1;-3.5;190.333333333;171.25
0;1;-4.1;180.21875;290.25
0;1;-3.0;298.35106383;275.75
0;1;-1.1;297.010416667;265.25
0;1;1.7;296.65625;278.75
0;1;-1.0;293.979166667;283.5
1;1;-3.1;301.927083333;188.75
1;1;-2.0;183.854166667;171.0
0;1;-1.4;177.375;277.5
0;2;-2.6;297.645833333;289.5
0;2;-3.6;285.760416667;286.25
0;2;-2.3;284.416666667;281.5
0;2;-4.5;277.239583333;270.75
1;2;-2.8;252.708333333;189.75
1;2;-2.8;179.822916667;170.75
0;2;-2.2;176.895833333;268.25
0;2;-2.6;267.322916667;292.25
0;2;2.2;262.239583333;274.5
0;2;-1.4;273.333333333;273.0
0;2;-2.1;268.84375;261.25
1;2;9.6;257.604166667;170.75
1;2;2.4;189.21875;176.25
0;2;1.4;185.729166667;286.5
0;2;0.6;319.020833333;285.25
0;2;0.7;327.822916667;303.0
0;2;2.0;315.0;306.5
0;2;2.9;319.583333333;293.0
1;2;0.8;305.8125;164.25
1;2;0.6;157.135416667;142.75
0;2;-1.7;184.822916667;280.0
0;2;-2.8;316.666666667;286.75
0;2;-5.4;305.114583333;278.5
0;2;-5.4;284.708333333;268.5
0;2;-6.7;292.03125;264.75
1;2;-1.4;282.395833333;173.25
1;2;-2.0;187.947916667;170.5
0;2;-1.3;191.40625;282.5
0;3;-0.1;321.552083333;298.5
0;3;0.1;322.375;307.75
0;3;-1.8;312.625;281.0
0;3;0.1;312.583333333;266.5
1;3;0.3;209.88630491;180.390510949
1;3;-1.5;189.731491375;170.087912088
0;3;1.0;179.576131687;252.45620438
0;3;-2.3;299.947072243;283.614814815
0;3;-2.3;298.598736433;277.30078125
0;3;-1.2;305.17640358;285.902723735
0;3;2.8;297.14604727;275.3125
1;3;5.1;291.903372984;183.99609375
1;3;9.3;194.010761454;180.7421875
0;3;14.2;194.986142811;294.76953125
0;3;9.9;409.048012003;284.0
0;3;9.7;301.458333333;283.75
0;3;10.5;319.71875;295.25
0;3;8.1;311.78125;292.75
1;3;5.8;309.229166667;187.75
1;3;4.7;190.9375;177.5
0;3;3.8;189.6875;282.75
0;3;3.6;292.916666667;265.0
0;3;5.2;288.895833333;261.0
0;3;9.4;288.284210526;261.75
0;3;7.8;293.59375;257.75
1;3;12.3;283.072916667;194.25
1;3;10.6;205.630434783;179.0
0;3;9.7;195.794117647;NaN
0;3;8.9;NaN;NaN
0;3;6.8;277.530120482;273.0
0;3;10.1;281.822916667;281.75
0;4;9.5;337.514705882;NaN
1;4;11.6;NaN;NaN
1;4;13.2;NaN;NaN
0;4;14.0;NaN;NaN
0;4;9.9;NaN;NaN
0;4;12.1;NaN;NaN
0;4;13.1;NaN;NaN
0;4;15.5;NaN;NaN
1;4;14.3;NaN;NaN
1;4;12.3;NaN;NaN
0;4;13.0;NaN;NaN
0;4;16.5;NaN;NaN
0;4;7.9;NaN;NaN
0;4;7.1;NaN;NaN
0;4;9.1;NaN;NaN
1;4;9.3;NaN;NaN
1;4;10.5;160.52238806;154.25
0;4;10.2;154.75;239.5
0;4;11.5;260.71875;254.5
0;4;11.9;268.71875;243.75
0;4;12.8;264.84375;244.5
0;4;14.2;262.239583333;241.0
1;4;14.6;217.302083333;151.0
1;4;17.2;149.635416667;136.25
1;4;14.2;145.854166667;143.5
0;4;12.2;155.0625;238.25
0;4;14.8;272.9375;235.5
0;4;11.9;269.489583333;236.5
0;4;12.5;286.073684211;259.75
1;4;13.3;266.604166667;158.0
1;5;13.1;175.489583333;145.0
0;5;13.3;158.125;214.0
0;5;17.0;245.25;231.0
0;5;9.3;276.721518987;NaN
0;5;12.1;247.023529412;220.25
0;5;11.7;246.865378094;236.149635036
1;5;12.5;248.774508183;159.404958678
1;5;16.4;162.714114011;144.545081967
0;5;13.9;167.132916341;225.5
0;5;16.3;248.333333333;227.5
0;5;18.3;249.1875;244.0
0;5;16.9;258.635416667;229.25
0;5;17.8;290.382352941;NaN
1;5;18.7;NaN;NaN
1;5;15.8;208.135802469;178.650684932
0;5;14.6;200.046953405;293.518218623
0;5;16.0;271.350916573;244.62
0;5;15.3;266.997071206;247.273542601
0;5;19.2;269.111169102;251.067460317
0;5;20.6;279.414575646;221.004385965
1;5;21.3;255.631209708;166.056074766
1;5;16.3;172.507422402;143.81938326
0;5;20.4;160.366838981;246.187793427
0;5;20.7;290.599590088;263.487068966
0;5;22.9;291.705749293;256.947136564
0;5;19.6;253.956989247;251.907079646
0;5;20.9;284.527362277;257.086956522
1;5;12.6;310.469208736;161.088495575
1;5;16.7;176.846071237;145.35021097
0;5;19.3;169.894058697;262.611814346
0;5;22.0;296.051158645;250.122881356
