Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-4.6;158.153846154;158.5
1;1;-0.7;163.09375;172.25
0;1;-2.5;226.979166667;403.75
0;1;-1.7;293.666666667;423.75
0;1;-1.8;289.136842105;426.25
1;1;2.0;235.3125;187.25
0;1;12.9;193.989583333;232.75
1;1;13.9;189.895833333;179.75
1;1;15.9;176.802083333;177.75
0;1;11.5;238.40625;489.5
0;1;4.3;306.333333333;495.0
0;1;6.8;366.517241379;NaN
0;1;10.4;278.535714286;402.25
0;1;12.9;296.25;459.25
1;1;11.4;243.520833333;191.5
1;1;9.1;166.083333333;163.0
0;1;9.4;228.84375;454.75
0;1;4.8;298.125;421.0
0;1;2.2;290.5625;445.25
0;1;4.1;304.989583333;448.25
0;1;2.8;310.78125;477.25
1;1;0.9;242.21875;208.0
1;1;1.5;183.989583333;185.75
0;1;2.5;239.239583333;439.25
0;1;0.8;295.446808511;421.75
0;1;7.5;296.125;439.5
0;1;2.5;297.104166667;456.75
0;1;-0.4;301.104166667;470.75
1;1;0.1;242.802083333;188.75
1;1;0.0;179.78125;177.0
0;1;-0.5;231.4375;457.25
0;2;-1.3;295.6875;429.75
0;2;-2.1;284.927083333;417.25
0;2;1.5;282.5;408.5
0;2;6.9;269.90625;362.0
1;2;12.8;214.416666667;185.75
1;2;12.4;176.770833333;178.25
0;2;15.6;219.770833333;381.25
0;2;14.6;266.25;375.25
0;2;11.4;267.260416667;398.0
0;2;10.2;272.104166667;374.0
0;2;14.9;265.46875;370.5
1;2;6.2;217.25;198.25
1;2;4.0;188.5625;183.5
0;2;2.1;246.489583333;477.5
0;2;0.7;322.614583333;504.0
0;2;3.0;324.052083333;455.75
0;2;3.5;316.0;479.0
0;2;4.6;318.854166667;478.75
1;2;7.3;241.0;157.5
1;2;7.0;156.239583333;188.25
0;2;-0.2;249.96875;475.0
0;2;-0.8;312.552083333;458.0
0;2;-1.3;297.96875;411.75
0;2;1.2;285.010416667;418.25
0;2;1.8;294.552083333;429.25
1;2;1.6;234.59375;192.25
1;2;-0.7;183.625;193.75
0;2;0.1;255.21875;493.5
0;3;1.5;322.197916667;493.5
0;3;0.6;320.864583333;471.0
0;3;-0.1;312.354166667;485.0
0;3;3.6;307.364583333;467.5
1;3;2.5;193.202601301;209.335766423
1;3;4.6;184.847033704;183.959854015
0;3;4.4;237.918767507;450.186131387
0;3;5.3;299.985273815;438.233463035
0;3;7.9;298.99853229;461.0703125
0;3;14.4;303.412799218;430.792156863
0;3;16.9;297.542936288;427.774319066
1;3;17.3;241.164196123;198.45703125
1;3;16.1;192.882257012;192.220472441
0;3;18.2;251.147399315;455.521568627
0;3;19.0;409.327840416;422.25
0;3;10.4;312.885416667;464.5
0;3;16.2;315.020833333;457.5
0;3;11.3;314.010416667;466.0
1;3;8.9;249.479166667;198.25
1;3;9.5;192.458333333;187.25
0;3;7.9;242.3125;424.5
0;3;13.4;287.947916667;398.0
0;3;16.6;288.166666667;408.25
0;3;18.5;285.957894737;426.5
0;3;22.5;295.364583333;419.25
1;3;20.0;246.958333333;202.5
1;3;15.1;196.326086957;194.75
0;3;12.3;199.0;NaN
0;3;15.0;388.833333333;391.0
0;3;17.4;285.842105263;383.5
0;3;19.1;291.854166667;497.0
0;4;19.7;300.045454545;NaN
1;4;21.0;NaN;NaN
1;4;21.5;NaN;NaN
0;4;22.5;NaN;NaN
0;4;15.6;NaN;NaN
0;4;17.4;NaN;NaN
0;4;25.6;NaN;NaN
0;4;19.3;NaN;NaN
1;4;22.3;NaN;NaN
1;4;17.2;NaN;NaN
0;4;18.7;NaN;NaN
0;4;25.3;NaN;NaN
0;4;11.2;NaN;NaN
0;4;14.9;NaN;NaN
0;4;12.3;NaN;NaN
1;4;13.5;NaN;NaN
1;4;15.6;159.21978022;157.25
0;4;16.6;206.96875;411.75
0;4;18.6;261.197916667;428.75
0;4;21.2;268.291666667;388.5
0;4;23.5;263.802083333;413.0
0;4;22.9;250.635416667;322.75
1;4;23.3;177.260416667;163.5
1;4;23.7;146.28125;145.0
1;4;21.1;148.364583333;162.25
0;4;14.6;212.760416667;428.0
0;4;16.9;267.28125;418.5
0;4;15.1;277.210526316;454.25
0;4;14.6;283.541666667;440.75
1;4;17.6;213.864583333;167.0
1;5;17.9;170.302083333;160.75
0;5;19.6;205.083333333;396.5
0;5;22.2;247.385416667;363.25
0;5;12.6;275.426470588;383.25
0;5;16.0;336.650704225;401.907063197
0;5;17.3;253.583256951;360.435897436
1;5;22.6;205.025938567;178.391836735
1;5;12.6;161.108744202;177.280487805
0;5;18.1;172.5460199;412.25
0;5;23.4;242.416666667;371.75
0;5;25.1;256.75;380.25
0;5;27.1;254.916666667;405.0
0;5;22.4;264.886363636;NaN
1;5;25.1;229.9;230.5
1;5;12.0;199.433701657;210.466346154
0;5;16.9;245.168599465;404.049107143
0;5;18.2;265.450965543;403.245614035
0;5;22.3;273.248142106;421.939271255
0;5;24.8;266.830423509;425.78
0;5;26.3;273.535972592;430.9004329
1;5;27.0;213.798605878;193.943925234
1;5;25.6;164.451047619;163.935064935
0;5;26.8;221.464718323;485.692307692
0;5;26.8;298.541287808;471.905063291
0;5;25.0;258.032201147;459.25
0;5;25.4;324.424581006;471.230088496
0;5;29.2;298.880672573;535.563559322
1;5;14.7;250.777100878;208.360515021
1;5;21.7;170.003944066;199.1
0;5;23.8;230.121611983;488.99137931
0;5;27.1;292.244996426;522.43776824
