Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-4.2;159.475;169.0
1;1;-1.4;167.854166667;178.0
0;1;-2.9;280.6875;219.0
0;1;-2.8;294.770833333;230.25
0;1;-2.5;291.347368421;230.75
1;1;2.6;182.864583333;185.25
0;1;11.3;203.447916667;194.0
1;1;11.9;180.020833333;193.25
1;1;11.6;174.635416667;190.0
0;1;6.5;297.458333333;220.25
0;1;4.1;311.364583333;244.0
0;1;0.5;332.680851064;225.5
0;1;6.6;297.526315789;240.5
0;1;4.6;295.03125;226.25
1;1;3.3;187.197916667;178.0
1;1;2.8;162.90625;176.0
0;1;3.3;290.15625;229.25
0;1;-0.6;290.34375;232.25
0;1;3.5;303.166666667;230.5
0;1;3.1;305.010416667;235.25
0;1;1.2;306.458333333;212.75
1;1;-0.8;190.520833333;192.5
1;1;-0.4;180.510416667;190.0
0;1;-2.8;289.322916667;255.75
0;1;-0.7;296.585106383;246.5
0;1;1.4;299.1875;247.75
0;1;0.9;292.666666667;241.25
0;1;-0.6;304.885416667;225.75
1;1;-0.5;188.802083333;187.25
1;1;-0.8;178.0;180.75
0;1;-1.7;282.895833333;242.75
0;2;-4.0;291.239583333;230.25
0;2;-5.0;283.927083333;225.0
0;2;-3.5;277.302083333;230.0
0;2;-0.7;262.114583333;204.75
1;2;1.1;181.145833333;179.75
1;2;2.2;176.291666667;184.25
0;2;3.5;258.885416667;222.75
0;2;6.3;263.21875;218.75
0;2;2.8;272.71875;223.25
0;2;2.3;265.875;230.5
0;2;8.0;265.15625;202.0
1;2;3.6;187.40625;191.25
1;2;1.8;184.760416667;185.25
0;2;0.8;309.96875;248.5
0;2;0.4;326.15625;248.0
0;2;4.7;318.416666667;238.25
0;2;3.9;320.625;252.5
0;2;3.6;310.583333333;251.0
1;2;5.0;175.65625;166.25
1;2;3.1;165.572916667;202.75
0;2;-1.5;309.875;258.75
0;2;-1.2;310.635416667;230.0
0;2;-3.4;287.197916667;226.0
0;2;-4.1;287.666666667;248.75
0;2;-0.3;286.28125;223.0
1;2;-3.1;192.6875;192.0
1;2;-1.2;186.760416667;203.5
0;2;0.2;313.75;253.5
0;3;0.8;322.604166667;257.25
0;3;-1.7;316.916666667;239.5
0;3;0.3;313.885416667;237.25
0;3;-1.6;298.208333333;222.5
1;3;1.1;196.286486486;195.178832117
1;3;3.7;179.100658979;179.244525547
0;3;-2.6;290.4021043;247.996254682
0;3;-1.9;294.16559712;244.821011673
0;3;0.0;303.980938416;241.910505837
0;3;4.0;299.733496333;238.105058366
0;3;11.4;294.939788446;233.717647059
1;3;12.3;195.781821149;208.4765625
1;3;11.4;193.10665362;208.715953307
0;3;12.7;300.47525299;241.5
0;3;14.9;302.4375;241.0
0;3;10.9;318.385416667;243.5
0;3;12.7;308.989583333;272.0
0;3;7.7;315.21875;250.0
1;3;7.1;195.260416667;202.25
1;3;6.8;188.572916667;202.25
0;3;2.5;288.010416667;238.0
0;3;5.3;287.96875;236.75
0;3;9.6;286.28125;234.75
0;3;9.5;293.578947368;252.25
0;3;15.4;289.927083333;222.0
1;3;13.1;204.90625;204.25
1;3;13.2;194.456521739;207.5
0;3;9.6;198.375;NaN
0;3;7.6;354.4;238.75
0;3;8.4;280.663157895;241.0
0;3;9.8;298.25;242.25
0;4;13.7;223.125;NaN
1;4;12.2;NaN;NaN
1;4;13.3;NaN;NaN
0;4;11.8;NaN;NaN
0;4;7.8;NaN;NaN
0;4;11.6;NaN;NaN
0;4;22.0;NaN;NaN
0;4;13.3;NaN;NaN
1;4;14.1;NaN;NaN
1;4;10.4;NaN;NaN
0;4;11.6;NaN;NaN
0;4;8.2;NaN;NaN
0;4;5.5;NaN;NaN
0;4;8.5;NaN;NaN
0;4;8.7;NaN;NaN
1;4;9.1;168.52173913;177.5
1;4;8.2;156.177083333;162.25
0;4;8.6;254.03125;192.75
0;4;10.3;266.458333333;198.5
0;4;12.2;264.25;221.0
0;4;12.8;263.854166667;217.5
0;4;13.4;225.791666667;165.25
1;4;19.6;153.145833333;155.5
1;4;15.4;144.53125;159.0
1;4;16.0;151.770833333;163.0
0;4;14.1;268.229166667;193.75
0;4;15.0;267.90625;207.25
0;4;12.5;281.0;226.25
0;4;12.1;273.197916667;185.75
1;4;15.1;168.5625;192.0
1;5;12.9;166.427083333;167.25
0;5;12.6;243.520833333;197.5
0;5;10.1;253.385416667;201.75
0;5;7.1;271.632352941;187.0
0;5;8.4;323.772138965;199.432234432
0;5;10.5;247.608118657;186.378723404
1;5;12.3;165.373966942;170.975308642
1;5;9.2;162.470804196;170.091666667
0;5;14.2;176.434730539;188.75
0;5;14.2;245.395833333;197.5
0;5;15.1;255.541666667;206.25
0;5;17.4;256.28125;206.5
0;5;18.4;193.6875;NaN
1;5;20.5;226.666666667;214.25
1;5;10.2;204.478498294;213.358974359
0;5;14.0;278.375759743;206.180995475
0;5;16.3;269.084151993;219.291304348
0;5;16.0;273.707849097;198.845454545
0;5;17.4;268.429240375;224.431111111
0;5;19.0;263.686017358;183.034782609
1;5;17.2;176.353088803;180.338383838
1;5;16.8;157.372490148;177.40625
0;5;19.1;286.559038462;222.331818182
0;5;20.0;291.429973575;214.686098655
0;5;19.5;208.157809984;202.0
0;5;18.0;341.886183465;204.703539823
0;5;24.2;315.272743617;196.995708155
1;5;14.2;183.773182957;168.449781659
1;5;14.9;166.971408149;164.567099567
0;5;18.3;287.1559207;214.206896552
0;5;20.1;306.460822898;199.564655172
