Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
1;1;-4.8;171.3125;163.5
1;1;-2.9;158.729166667;158.0
0;1;-7.5;170.5;165.5
0;1;-3.6;286.447916667;179.25
0;1;-3.3;293.895833333;175.75
1;1;-3.8;290.284210526;168.5
0;1;6.8;181.09375;173.75
1;1;11.4;203.145833333;170.5
1;1;8.9;178.895833333;165.75
0;1;4.9;174.208333333;166.0
0;1;3.8;303.03125;176.5
0;1;4.1;340.95;NaN
0;1;3.2;290.095238095;178.5
0;1;4.1;298.663157895;171.75
1;1;1.0;294.34375;177.5
1;1;1.2;178.583333333;157.5
0;1;-0.8;162.0625;153.75
0;1;-0.8;299.59375;171.25
0;1;-1.2;289.875;168.5
0;1;2.5;303.260416667;170.75
0;1;1.5;304.135416667;169.25
1;1;-0.3;304.395833333;168.25
1;1;-2.5;190.28125;171.75
0;1;-3.2;177.666666667;163.5
0;1;-5.6;298.670212766;170.5
0;1;-1.2;296.322916667;174.75
0;1;0.8;296.78125;169.5
0;1;-0.5;293.5;172.25
1;1;-2.1;304.614583333;174.5
1;1;-1.5;184.760416667;169.0
0;1;-1.2;174.958333333;165.0
0;2;-2.3;294.895833333;183.5
0;2;-3.5;286.895833333;178.75
0;2;-2.5;283.5;186.75
0;2;-4.1;278.291666667;177.5
1;2;-2.4;256.385416667;168.25
1;2;-2.3;179.71875;169.25
0;2;-2.0;175.104166667;167.75
0;2;-2.4;265.697916667;178.5
0;2;1.6;262.635416667;176.25
0;2;-1.2;273.177083333;178.0
0;2;-2.1;268.96875;184.5
1;2;8.0;260.177083333;174.5
1;2;1.9;188.041666667;186.0
0;2;1.2;183.260416667;180.75
0;2;0.1;318.177083333;186.75
0;2;0.0;327.447916667;193.75
0;2;3.4;315.385416667;189.25
0;2;3.2;320.40625;182.75
1;2;2.7;309.197916667;174.5
1;2;-0.4;161.072916667;148.25
0;2;0.1;177.875;180.0
0;2;-2.6;315.90625;187.5
0;2;-3.4;305.947916667;181.5
0;2;-6.6;285.697916667;175.75
0;2;-7.6;290.854166667;180.75
1;2;-1.4;285.541666667;176.75
1;2;-2.0;188.239583333;176.5
0;2;-1.3;188.15625;178.75
0;3;-0.2;320.5;188.5
0;3;0.4;322.979166667;187.0
0;3;-1.8;313.135416667;181.5
0;3;0.0;313.020833333;175.0
1;3;0.0;296.364583333;174.5
1;3;-3.5;191.509440212;173.912408759
0;3;0.3;176.239005106;174.054744526
0;3;-5.5;298.821755027;184.25631769
0;3;-5.2;297.30617482;187.13229572
0;3;-3.2;305.174288039;192.941634241
0;3;-1.1;297.70542257;184.266932271
1;3;3.8;294.561114733;183.21875
1;3;5.2;194.253344209;185.122047244
0;3;11.2;191.90516539;185.178988327
0;3;8.5;364.902282036;186.0
0;3;8.6;301.302083333;184.75
0;3;11.1;319.729166667;183.5
0;3;5.3;311.4375;186.5
1;3;5.8;311.6875;184.5
1;3;4.7;191.708333333;181.25
0;3;4.3;187.229166667;181.75
0;3;-0.2;292.302083333;184.0
0;3;0.9;288.927083333;185.5
0;3;2.9;288.115789474;193.5
0;3;3.3;294.239583333;188.25
1;3;10.7;285.166666667;183.75
1;3;10.8;205.304347826;193.0
0;3;10.5;194.5625;NaN
0;3;6.7;NaN;NaN
0;3;3.0;288.676056338;197.0
0;3;4.0;281.239583333;193.75
0;4;6.0;319.325;NaN
1;4;7.7;NaN;NaN
1;4;8.5;NaN;NaN
0;4;9.4;NaN;NaN
0;4;9.9;NaN;NaN
0;4;5.0;NaN;NaN
0;4;8.2;NaN;NaN
0;4;17.4;NaN;NaN
1;4;11.5;NaN;NaN
1;4;5.2;NaN;NaN
0;4;6.0;NaN;NaN
0;4;7.2;NaN;NaN
0;4;6.8;NaN;NaN
0;4;3.7;NaN;NaN
0;4;5.3;NaN;NaN
1;4;8.9;NaN;NaN
1;4;5.9;162.581818182;148.0
0;4;4.0;153.15625;142.0
0;4;6.1;259.635416667;152.25
0;4;5.1;268.197916667;157.0
0;4;6.1;265.354166667;149.75
0;4;7.1;263.322916667;151.0
1;4;8.2;219.5;145.25
1;4;12.9;150.53125;141.25
1;4;11.9;145.90625;139.0
0;4;12.9;152.40625;139.75
0;4;12.3;271.729166667;149.25
0;4;12.7;269.416666667;150.0
0;4;11.4;284.8;156.75
1;4;11.7;269.1875;160.0
1;5;11.2;176.322916667;159.25
0;5;8.1;156.53125;150.5
0;5;10.6;245.260416667;151.75
0;5;3.8;262.076923077;NaN
0;5;3.9;260.109589041;152.75
0;5;3.9;258.916879544;156.062043796
1;5;5.2;249.815219162;150.008163265
1;5;7.3;163.560645051;150.520491803
0;5;6.0;163.766966835;150.75
0;5;9.3;248.135416667;151.25
0;5;9.3;248.083333333;155.0
0;5;9.5;258.34375;161.0
0;5;17.1;274.0375;NaN
1;5;12.5;NaN;NaN
1;5;13.9;214.31884058;173.25
0;5;9.6;199.904310167;173.581300813
0;5;13.7;274.95825603;152.33877551
0;5;13.7;266.919766594;143.608695652
0;5;12.0;269.762717831;144.588709677
0;5;13.8;277.962470395;152.920704846
1;5;14.4;257.612988484;147.751152074
1;5;12.0;173.736750146;143.858369099
0;5;14.8;157.565234002;145.964285714
0;5;15.0;289.869127517;155.8125
0;5;15.6;291.074185652;158.391304348
0;5;13.3;247.081632653;153.752212389
0;5;14.5;287.248080884;160.783549784
1;5;13.3;312.984769755;154.343220339
1;5;9.8;178.337750716;148.257383966
0;5;11.3;166.623794212;150.863436123
0;5;14.5;295.260838537;160.301724138
