Praznik;Mjesec;Temperatura;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;158.0;158.25
1;1;-0.7;170.75;172.25
0;1;-2.5;405.75;406.5
0;1;-2.8;408.25;402.0
0;1;-1.8;422.75;413.25
1;1;2.4;186.75;194.75
0;1;12.5;233.25;227.5
1;1;13.9;185.5;189.0
1;1;14.2;178.0;176.5
0;1;10.1;466.0;451.75
0;1;4.2;491.25;458.25
0;1;6.3;NaN;413.0
0;1;9.9;409.0;441.5
0;1;12.2;427.75;422.25
1;1;11.8;173.25;166.0
1;1;8.9;161.5;162.5
0;1;10.2;450.0;431.25
0;1;3.5;399.0;386.75
0;1;3.0;450.0;464.25
0;1;3.8;450.0;471.25
0;1;2.5;461.0;449.5
1;1;0.6;203.5;205.5
1;1;1.4;184.25;183.0
0;1;1.6;418.25;388.75
0;1;0.9;429.0;406.5
0;1;6.7;446.25;428.25
0;1;1.9;433.5;415.0
0;1;0.1;457.75;445.25
1;1;-0.1;185.0;192.75
1;1;-0.1;182.75;190.75
0;1;-0.5;437.25;414.5
0;2;-1.6;421.0;393.25
0;2;-2.1;413.75;397.25
0;2;1.4;376.25;356.75
0;2;7.2;350.75;333.5
1;2;14.8;187.5;181.0
1;2;13.3;179.0;180.25
0;2;16.5;372.0;365.0
0;2;14.8;353.5;345.75
0;2;11.6;403.75;372.0
0;2;10.4;338.75;326.75
0;2;14.4;364.75;331.0
1;2;4.5;199.0;200.0
1;2;3.8;184.0;182.25
0;2;2.1;481.5;476.0
0;2;0.6;503.0;489.75
0;2;3.2;477.25;452.75
0;2;4.2;479.25;462.75
0;2;4.3;468.0;443.75
1;2;7.9;160.25;158.5
1;2;6.2;185.5;185.75
0;2;-0.9;477.25;443.0
0;2;-0.4;458.25;435.75
0;2;-0.5;395.25;402.75
0;2;1.4;415.75;382.0
0;2;1.8;392.0;352.0
1;2;1.5;190.5;190.25
1;2;-0.5;192.5;195.75
0;2;0.1;488.5;468.75
0;3;2.0;482.75;449.5
0;3;-0.2;448.25;439.5
0;3;0.1;465.75;447.25
0;3;3.8;440.5;413.5
1;3;2.8;207.288321168;199.671532847
1;3;5.9;183.248175182;182.151515152
0;3;3.4;443.725274725;403.912408759
0;3;6.2;429.922178988;390.8
0;3;9.2;447.02734375;431.05859375
0;3;16.1;408.175097276;391.6015625
0;3;17.9;417.098039216;395.326848249
1;3;17.6;197.7;197.682352941
1;3;15.2;191.498007968;195.19140625
0;3;17.4;443.785992218;418.9453125
0;3;18.7;424.5;432.25
0;3;10.5;474.0;477.75
0;3;16.2;458.0;429.5
0;3;12.5;459.25;436.25
1;3;7.1;212.0;217.25
1;3;10.2;186.0;188.5
0;3;8.5;412.25;406.25
0;3;13.9;390.75;385.75
0;3;16.7;417.75;407.25
0;3;20.3;426.0;422.5
0;3;22.4;397.0;374.5
1;3;19.8;209.5;206.75
1;3;15.6;204.0;201.25
0;3;11.7;NaN;NaN
0;3;14.9;401.75;414.5
0;3;17.2;376.5;377.0
0;3;18.9;436.0;368.25
0;4;19.7;NaN;NaN
1;4;21.3;NaN;NaN
1;4;21.8;NaN;NaN
0;4;23.0;NaN;NaN
0;4;14.6;NaN;NaN
0;4;18.3;NaN;NaN
0;4;25.6;NaN;NaN
0;4;20.4;NaN;NaN
1;4;21.3;NaN;NaN
1;4;19.0;NaN;NaN
0;4;18.6;NaN;NaN
0;4;23.2;NaN;NaN
0;4;13.0;NaN;NaN
0;4;13.6;NaN;NaN
0;4;13.8;NaN;NaN
1;4;13.3;170.333333333;172.75
1;4;14.0;158.25;160.75
0;4;17.6;413.0;381.5
0;4;18.2;422.75;380.0
0;4;21.1;398.0;371.0
0;4;23.7;393.75;358.0
0;4;23.5;303.5;278.5
1;4;23.2;156.5;154.0
1;4;23.3;144.75;145.5
1;4;21.6;160.75;157.0
0;4;13.5;420.75;394.0
0;4;16.3;409.5;408.5
0;4;14.9;435.0;417.5
0;4;16.5;414.0;379.5
1;4;18.9;166.25;175.0
1;5;18.4;162.25;163.25
0;5;19.3;364.5;330.25
0;5;23.8;373.5;378.0
0;5;13.6;380.25;367.5
0;5;15.7;388.558052434;386.911111111
0;5;17.8;353.820224719;352.313953488
1;5;22.8;169.679012346;170.655737705
1;5;13.7;178.18487395;181.518672199
0;5;18.6;365.75;324.5
0;5;23.2;356.5;377.75
0;5;24.9;367.75;347.75
0;5;25.9;372.5;359.75
0;5;23.4;NaN;NaN
1;5;26.0;237.75;237.0
1;5;11.5;214.121495327;214.696682464
0;5;16.8;410.918918919;384.388127854
0;5;19.0;394.703056769;394.145299145
0;5;22.5;421.61752988;394.723577236
0;5;24.8;418.497959184;397.755102041
0;5;26.0;417.675438596;379.03125
1;5;17.5;210.967889908;211.469194313
1;5;25.7;165.375565611;169.952173913
0;5;23.8;499.836283186;476.127272727
0;5;26.7;465.41875;457.556053812
0;5;25.3;453.0;430.0
0;5;26.3;476.809734513;435.008849558
0;5;30.5;537.458515284;526.431623932
1;5;15.7;225.815450644;206.692307692
1;5;22.2;187.429752066;192.88362069
0;5;24.4;482.327659574;456.848101266
0;5;26.7;537.876068376;526.0969163
