Praznik;Mjesec;Temperatura;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;NaN;171.25
1;1;-3.2;161.75;162.0
0;1;-4.0;171.5;169.5
0;1;-4.6;181.0;178.75
0;1;-3.2;175.0;174.0
1;1;-3.9;175.25;168.75
0;1;5.0;177.75;176.0
1;1;11.0;170.0;173.75
1;1;9.2;168.75;167.75
0;1;5.5;167.5;166.0
0;1;3.7;185.0;182.5
0;1;4.1;191.5;NaN
0;1;3.7;181.25;182.25
0;1;5.9;186.75;176.75
1;1;2.6;180.5;185.5
1;1;3.0;162.25;160.0
0;1;0.7;160.5;159.5
0;1;1.1;182.5;180.25
0;1;-0.8;180.25;178.75
0;1;3.1;188.25;183.0
0;1;2.5;177.0;175.5
1;1;0.6;175.5;175.0
1;1;-1.1;174.75;175.25
0;1;-2.5;167.5;169.0
0;1;-2.1;180.75;178.0
0;1;-0.4;197.25;191.25
0;1;1.0;186.75;179.5
0;1;0.0;186.25;185.75
1;1;-0.6;188.25;188.0
1;1;-1.2;181.75;182.75
0;1;-1.0;170.5;167.0
0;2;-2.0;205.25;197.75
0;2;-3.7;185.25;181.5
0;2;-2.0;186.75;184.5
0;2;-5.3;194.0;186.75
1;2;-2.1;171.0;175.0
1;2;-1.4;174.75;173.25
0;2;0.0;168.75;166.0
0;2;0.4;185.5;181.0
0;2;4.5;185.0;181.5
0;2;0.7;184.0;183.75
0;2;0.0;194.5;195.75
1;2;8.8;184.5;181.0
1;2;2.6;185.25;187.75
0;2;1.2;185.0;185.5
0;2;0.8;205.75;198.0
0;2;0.3;209.75;202.25
0;2;4.8;194.5;192.75
0;2;4.0;193.75;190.0
1;2;3.8;182.25;186.0
1;2;3.8;151.25;152.5
0;2;1.8;188.75;189.5
0;2;-2.2;204.5;198.5
0;2;-1.9;188.25;186.25
0;2;-6.4;187.5;182.25
0;2;-6.6;194.0;189.0
1;2;-1.4;192.0;192.25
1;2;-2.6;180.5;182.25
0;2;-1.2;190.5;184.75
0;3;0.1;202.5;195.5
0;3;1.0;205.75;200.0
0;3;-1.8;191.75;188.5
0;3;0.1;191.25;187.5
1;3;-0.4;180.25;179.0
1;3;-2.3;180.649635036;181.076642336
0;3;2.5;176.0;172.344322344
0;3;-4.5;197.799270073;191.03649635
0;3;-3.3;196.46184739;197.019455253
0;3;-1.3;203.054474708;197.765625
0;3;6.2;197.62109375;195.435797665
1;3;7.2;194.34765625;193.276264591
1;3;7.3;191.875;189.84375
0;3;11.4;188.40234375;188.32421875
0;3;10.1;202.0;199.25
0;3;8.7;195.5;193.75
0;3;11.1;201.25;199.0
0;3;5.9;202.75;197.5
1;3;6.5;191.25;190.0
1;3;6.3;185.5;188.0
0;3;5.3;185.75;181.0
0;3;0.7;192.0;190.25
0;3;2.9;196.25;194.5
0;3;4.9;198.5;201.75
0;3;5.5;210.25;199.75
1;3;12.4;192.75;190.75
1;3;10.8;190.25;192.75
0;3;7.5;187.5;NaN
0;3;9.4;NaN;NaN
0;3;4.9;198.75;191.25
0;3;5.7;203.25;206.0
0;4;7.4;208.0;NaN
1;4;10.0;NaN;NaN
1;4;10.3;NaN;NaN
0;4;11.7;NaN;NaN
0;4;10.6;NaN;NaN
0;4;6.5;NaN;NaN
0;4;8.9;NaN;NaN
0;4;18.8;NaN;NaN
1;4;13.1;NaN;NaN
1;4;7.7;NaN;NaN
0;4;7.8;NaN;NaN
0;4;9.9;NaN;NaN
0;4;7.4;NaN;NaN
0;4;4.7;NaN;NaN
0;4;7.6;NaN;NaN
1;4;7.3;NaN;NaN
1;4;9.4;157.75;151.0
0;4;5.9;148.5;146.25
0;4;9.0;164.25;158.75
0;4;7.4;171.0;168.0
0;4;8.7;170.25;162.75
0;4;9.1;170.0;160.25
1;4;10.0;152.5;151.75
1;4;15.5;144.25;143.25
1;4;13.2;150.0;148.75
0;4;13.9;157.75;153.0
0;4;12.6;156.75;158.5
0;4;13.3;163.75;155.5
0;4;10.9;173.5;169.25
1;4;12.2;159.75;161.25
1;5;11.9;193.5;188.0
0;5;12.0;161.0;159.75
0;5;11.7;160.25;153.25
0;5;8.1;172.75;174.25
0;5;4.3;164.75;165.25
0;5;5.5;168.547794118;161.270072993
1;5;7.7;165.319148936;164.452674897
1;5;8.6;161.214285714;160.172131148
0;5;8.1;160.642857143;160.25
0;5;11.5;162.75;154.0
0;5;11.4;169.5;166.75
0;5;12.1;179.75;174.5
0;5;19.5;178.5;NaN
1;5;15.0;NaN;NaN
1;5;14.3;206.0;196.8
0;5;9.9;191.850202429;186.187755102
0;5;12.5;175.06;164.068181818
0;5;14.6;168.566371681;157.226086957
0;5;12.9;165.532520325;155.0
0;5;15.0;170.515418502;164.175438596
1;5;15.7;164.962962963;159.963800905
1;5;13.2;153.483870968;153.584745763
0;5;15.8;160.933014354;154.251184834
0;5;17.7;175.762790698;167.793859649
0;5;17.7;180.052863436;171.017699115
0;5;15.2;172.0;166.5
0;5;15.7;181.857777778;176.770562771
1;5;16.3;174.153508772;169.575757576
1;5;12.3;156.004347826;155.551724138
0;5;12.7;155.92173913;154.628820961
0;5;15.7;183.83982684;174.811158798
