Praznik;Mjesec;Temperatura;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;167.0;169.0
1;1;-1.4;184.25;178.0
0;1;-2.9;271.0;219.0
0;1;-2.8;263.0;230.25
0;1;-2.5;267.5;230.75
1;1;2.6;195.25;185.25
0;1;11.3;206.25;194.0
1;1;11.9;198.25;193.25
1;1;11.6;192.75;190.0
0;1;6.5;254.0;220.25
0;1;4.1;281.0;244.0
0;1;0.5;284.75;225.5
0;1;6.6;291.25;240.5
0;1;4.6;264.5;226.25
1;1;3.3;182.5;178.0
1;1;2.8;179.75;176.0
0;1;3.3;256.5;229.25
0;1;-0.6;257.0;232.25
0;1;3.5;283.75;230.5
0;1;3.1;264.25;235.25
0;1;1.2;242.25;212.75
1;1;-0.8;196.75;192.5
1;1;-0.4;201.75;190.0
0;1;-2.8;290.0;255.75
0;1;-0.7;296.0;246.5
0;1;1.4;279.25;247.75
0;1;0.9;268.0;241.25
0;1;-0.6;242.5;225.75
1;1;-0.5;190.0;187.25
1;1;-0.8;182.5;180.75
0;1;-1.7;257.5;242.75
0;2;-4.0;249.25;230.25
0;2;-5.0;246.25;225.0
0;2;-3.5;242.5;230.0
0;2;-0.7;222.75;204.75
1;2;1.1;185.25;179.75
1;2;2.2;188.25;184.25
0;2;3.5;238.0;222.75
0;2;6.3;233.0;218.75
0;2;2.8;243.75;223.25
0;2;2.3;244.5;230.5
0;2;8.0;228.0;202.0
1;2;3.6;199.0;191.25
1;2;1.8;188.75;185.25
0;2;0.8;276.5;248.5
0;2;0.4;281.5;248.0
0;2;4.7;282.5;238.25
0;2;3.9;317.25;252.5
0;2;3.6;271.25;251.0
1;2;5.0;171.5;166.25
1;2;3.1;209.5;202.75
0;2;-1.5;303.5;258.75
0;2;-1.2;275.5;230.0
0;2;-3.4;257.75;226.0
0;2;-4.1;295.0;248.75
0;2;-0.3;248.0;223.0
1;2;-3.1;194.25;192.0
1;2;-1.2;213.25;203.5
0;2;0.2;283.5;253.5
0;3;0.8;282.75;257.25
0;3;-1.7;270.25;239.5
0;3;0.3;277.0;237.25
0;3;-1.6;247.0;222.5
1;3;1.1;203.642335766;195.178832117
1;3;3.7;182.795620438;179.244525547
0;3;-2.6;300.379562044;247.996254682
0;3;-1.9;266.708;244.821011673
0;3;0.0;276.04296875;241.910505837
0;3;4.0;302.57421875;238.105058366
0;3;11.4;275.25;233.717647059
1;3;12.3;208.1640625;208.4765625
1;3;11.4;209.822834646;208.715953307
0;3;12.7;287.25;241.5
0;3;14.9;301.0;241.0
0;3;10.9;291.75;243.5
0;3;12.7;301.75;272.0
0;3;7.7;276.25;250.0
1;3;7.1;208.5;202.25
1;3;6.8;206.0;202.25
0;3;2.5;261.5;238.0
0;3;5.3;276.5;236.75
0;3;9.6;254.5;234.75
0;3;9.5;280.0;252.25
0;3;15.4;273.75;222.0
1;3;13.1;207.0;204.25
1;3;13.2;205.25;207.5
0;3;9.6;NaN;NaN
0;3;7.6;245.0;238.75
0;3;8.4;249.25;241.0
0;3;9.8;243.0;242.25
0;4;13.7;NaN;NaN
1;4;12.2;NaN;NaN
1;4;13.3;NaN;NaN
0;4;11.8;NaN;NaN
0;4;7.8;NaN;NaN
0;4;11.6;NaN;NaN
0;4;22.0;NaN;NaN
0;4;13.3;NaN;NaN
1;4;14.1;NaN;NaN
1;4;10.4;NaN;NaN
0;4;11.6;NaN;NaN
0;4;8.2;NaN;NaN
0;4;5.5;NaN;NaN
0;4;8.5;NaN;NaN
0;4;8.7;NaN;NaN
1;4;9.1;174.25;177.5
1;4;8.2;158.75;162.25
0;4;8.6;215.75;192.75
0;4;10.3;214.75;198.5
0;4;12.2;227.5;221.0
0;4;12.8;235.75;217.5
0;4;13.4;164.5;165.25
1;4;19.6;150.75;155.5
1;4;15.4;151.25;159.0
1;4;16.0;161.75;163.0
0;4;14.1;248.5;193.75
0;4;15.0;254.75;207.25
0;4;12.5;260.5;226.25
0;4;12.1;203.5;185.75
1;4;15.1;175.25;192.0
1;5;12.9;166.25;167.25
0;5;12.6;201.25;197.5
0;5;10.1;222.75;201.75
0;5;7.1;190.5;187.0
0;5;8.4;198.156934307;199.432234432
0;5;10.5;209.738589212;186.378723404
1;5;12.3;163.433884298;170.975308642
1;5;9.2;161.327659574;170.091666667
0;5;14.2;198.5;188.75
0;5;14.2;200.75;197.5
0;5;15.1;209.25;206.25
0;5;17.4;206.5;206.5
0;5;18.4;NaN;NaN
1;5;20.5;205.0;214.25
1;5;10.2;207.502242152;213.358974359
0;5;14.0;229.693023256;206.180995475
0;5;16.3;245.654867257;219.291304348
0;5;16.0;237.445945946;198.845454545
0;5;17.4;243.601851852;224.431111111
0;5;19.0;186.670995671;183.034782609
1;5;17.2;179.823529412;180.338383838
1;5;16.8;171.0;177.40625
0;5;19.1;262.793577982;222.331818182
0;5;20.0;233.034632035;214.686098655
0;5;19.5;239.5;202.0
0;5;18.0;216.688596491;204.703539823
0;5;24.2;208.215859031;196.995708155
1;5;14.2;168.439130435;168.449781659
1;5;14.9;161.483050847;164.567099567
0;5;18.3;228.415584416;214.206896552
0;5;20.1;231.356223176;199.564655172
