6;1;-3.5;161.75
7;1;-3.2;171.5
1;1;-4.9;181.0
2;1;-3.0;175.0
3;1;-4.1;175.25
4;1;4.9;177.75
5;1;11.4;170.0
6;1;9.8;168.75
7;1;6.6;167.5
1;1;4.7;185.0
2;1;4.1;191.5
3;1;3.7;181.25
4;1;6.0;186.75
5;1;2.9;180.5
6;1;3.3;162.25
7;1;0.9;160.5
1;1;2.1;182.5
2;1;-0.8;180.25
3;1;3.1;188.25
4;1;2.6;177.0
5;1;0.7;175.5
6;1;-0.7;174.75
7;1;-2.3;167.5
1;1;-1.8;180.75
2;1;-0.3;197.25
3;1;0.7;186.75
4;1;0.0;186.25
5;1;-0.1;188.25
6;1;-1.1;181.75
7;1;-1.2;170.5
1;1;-2.0;205.25
2;2;-3.6;185.25
3;2;-2.1;186.75
4;2;-4.7;194.0
5;2;-1.4;171.0
6;2;-1.1;174.75
7;2;0.6;168.75
1;2;0.6;185.5
2;2;6.7;185.0
3;2;1.2;184.0
4;2;0.4;194.5
5;2;9.0;184.5
6;2;3.0;185.25
7;2;1.2;185.0
1;2;0.9;205.75
2;2;0.4;209.75
3;2;4.6;194.5
4;2;4.0;193.75
5;2;4.0;182.25
6;2;3.9;151.25
7;2;2.0;188.75
1;2;-2.2;204.5
2;2;-1.8;188.25
3;2;-6.0;187.5
4;2;-6.3;194.0
5;2;-1.1;192.0
6;2;-3.1;180.5
7;2;-1.2;190.5
1;2;0.1;202.5
2;3;1.0;205.75
3;3;-1.8;191.75
4;3;0.4;191.25
5;3;-1.9;180.25
6;3;-1.9;180.649635036
7;3;1.0;176.0
1;3;-4.2;197.799270073
2;3;-3.4;196.46184739
3;3;-1.3;203.054474708
4;3;7.7;197.62109375
5;3;7.4;194.34765625
6;3;9.4;191.875
7;3;11.6;188.40234375
1;3;11.4;202.0
2;3;10.1;195.5
3;3;10.2;201.25
4;3;7.5;202.75
5;3;6.8;191.25
6;3;6.1;185.5
7;3;5.8;185.75
1;3;0.8;192.0
2;3;3.4;196.25
3;3;5.8;198.5
4;3;6.2;210.25
5;3;12.6;192.75
6;3;10.8;190.25
7;3;9.5;187.5
1;3;9.9;NaN
2;3;5.6;198.75
3;3;6.5;203.25
4;3;8.4;208.0
5;4;11.2;NaN
6;4;10.4;NaN
7;4;11.8;NaN
1;4;10.8;NaN
2;4;6.5;NaN
3;4;9.0;NaN
4;4;21.4;NaN
5;4;13.9;NaN
6;4;10.5;NaN
7;4;7.7;0.0
1;4;9.9;0.0
2;4;7.8;0.0
3;4;3.7;0.0
4;4;6.1;0.0
5;4;7.3;0.0
6;4;9.3;157.75
7;4;5.9;148.5
1;4;9.4;164.25
2;4;7.8;171.0
3;4;9.5;170.25
4;4;9.8;170.0
5;4;10.5;152.5
6;4;16.9;144.25
7;4;14.2;150.0
1;4;14.7;157.75
2;4;13.1;156.75
3;4;13.6;163.75
4;4;11.2;173.5
5;4;12.0;159.75
6;4;12.0;193.5
7;5;11.9;161.0
1;5;12.1;160.25
2;5;8.0;172.75
3;5;5.0;164.75
4;5;6.0;168.547794118
5;5;8.7;165.319148936
6;5;9.4;161.214285714
7;5;8.3;160.642857143
1;5;12.8;162.75
2;5;12.0;169.5
3;5;12.9;179.75
4;5;17.0;178.5
5;5;15.5;NaN
6;5;14.2;206.0
7;5;9.9;191.850202429
1;5;11.8;175.06
2;5;15.5;168.566371681
3;5;13.3;165.532520325
4;5;15.4;170.515418502
5;5;16.6;164.962962963
6;5;14.0;153.483870968
7;5;15.8;160.933014354
1;5;18.9;175.762790698
2;5;18.0;180.052863436
3;5;15.6;172.0
4;5;15.6;181.857777778
5;5;20.4;174.153508772
6;5;13.2;156.004347826
7;5;13.0;155.92173913
1;5;16.2;183.83982684
2;5;17.0;181.438818565
