Datum;Sat;Temp;Potrosnja
3.1.2005;7;44;14415
3.1.2005;8;44;15767
3.1.2005;9;44;16098
3.1.2005;10;45;16284
3.1.2005;11;46;16447
3.1.2005;12;48;16437
3.1.2005;13;49;16312
3.1.2005;14;50;16224
3.1.2005;15;50;16113
3.1.2005;16;49;16356
3.1.2005;17;48;17652
3.1.2005;18;47;18696
3.1.2005;19;47;18447
3.1.2005;20;46;17874
3.1.2005;21;44;17054
3.1.2005;22;44;15787
3.1.2005;23;43;14137
3.1.2005;24;42;12695
4.1.2005;1;41;11702
4.1.2005;2;41;11219
4.1.2005;3;41;11019
4.1.2005;4;40;10996
4.1.2005;5;39;11320
4.1.2005;6;39;12448
4.1.2005;7;38;14722
4.1.2005;8;38;16302
4.1.2005;9;39;16564
4.1.2005;10;39;16710
4.1.2005;11;40;16786
4.1.2005;12;41;16680
4.1.2005;13;42;16553
4.1.2005;14;44;16517
4.1.2005;15;43;16422
4.1.2005;16;43;16567
4.1.2005;17;42;17755
4.1.2005;18;40;18938
4.1.2005;19;39;18790
4.1.2005;20;39;18296
4.1.2005;21;39;17516
4.1.2005;22;38;16291
4.1.2005;23;37;14636
4.1.2005;24;37;13101
5.1.2005;1;37;12086
5.1.2005;2;36;11611
5.1.2005;3;35;11419
5.1.2005;4;35;11410
5.1.2005;5;34;11712
5.1.2005;6;34;12935
5.1.2005;7;34;15282
5.1.2005;8;33;16837
5.1.2005;9;32;17151
5.1.2005;10;31;17379
5.1.2005;11;31;17660
5.1.2005;12;30;17742
5.1.2005;13;30;17704
5.1.2005;14;31;17731
5.1.2005;15;30;17616
5.1.2005;16;31;17699
5.1.2005;17;30;18856
5.1.2005;18;30;19966
5.1.2005;19;29;19790
5.1.2005;20;29;19252
5.1.2005;21;28;18429
5.1.2005;22;27;17170
5.1.2005;23;26;15567
5.1.2005;24;26;14056
6.1.2005;1;25;13086
6.1.2005;2;24;12631
6.1.2005;3;24;12506
6.1.2005;4;23;12509
6.1.2005;5;23;12861
6.1.2005;6;23;13952
6.1.2005;7;24;15790
6.1.2005;8;24;17006
6.1.2005;9;25;17655
6.1.2005;10;26;18190
6.1.2005;11;26;18502
6.1.2005;12;28;18769
6.1.2005;13;28;18807
6.1.2005;14;29;18742
6.1.2005;15;29;18570
6.1.2005;16;30;18567
6.1.2005;17;30;19516
6.1.2005;18;31;20314
6.1.2005;19;31;19988
6.1.2005;20;31;19282
6.1.2005;21;31;18317
6.1.2005;22;32;16936
6.1.2005;23;31;15240
6.1.2005;24;30;13798
7.1.2005;1;31;12813
7.1.2005;2;32;12306
7.1.2005;3;32;12067
7.1.2005;4;32;12026
7.1.2005;5;33;12312
7.1.2005;6;33;13468
7.1.2005;7;33;15682
7.1.2005;8;32;16995
7.1.2005;9;33;17122
7.1.2005;10;33;17157
7.1.2005;11;33;17172
7.1.2005;12;33;17097
7.1.2005;13;34;16907
7.1.2005;14;34;16797
7.1.2005;15;34;16591
7.1.2005;16;34;16612
7.1.2005;17;33;17647
7.1.2005;18;32;18801
7.1.2005;19;31;18618
7.1.2005;20;30;18105
7.1.2005;21;29;17487
7.1.2005;22;28;16594
7.1.2005;23;26;15342
7.1.2005;24;26;14064
8.1.2005;1;25;13022
8.1.2005;2;26;12433
8.1.2005;3;26;12102
8.1.2005;4;26;11967
8.1.2005;5;27;12024
8.1.2005;6;27;12400
8.1.2005;7;28;13160
8.1.2005;8;28;14146
8.1.2005;9;29;15301
8.1.2005;10;29;16240
8.1.2005;11;29;16818
8.1.2005;12;30;17107
8.1.2005;13;30;17106
8.1.2005;14;30;16946
8.1.2005;15;30;16742
8.1.2005;16;31;16777
8.1.2005;17;30;17614
8.1.2005;18;30;18438
8.1.2005;19;30;18172
8.1.2005;20;30;17529
8.1.2005;21;29;16872
8.1.2005;22;29;15994
8.1.2005;23;28;14882
8.1.2005;24;27;13766
9.1.2005;1;27;12832
9.1.2005;2;26;12253
9.1.2005;3;25;11961
9.1.2005;4;24;11832
9.1.2005;5;23;11880
9.1.2005;6;22;12182
9.1.2005;7;22;12773
9.1.2005;8;21;13403
9.1.2005;9;21;14373
9.1.2005;10;23;15137
9.1.2005;11;26;15420
9.1.2005;12;28;15600
9.1.2005;13;30;15608
9.1.2005;14;30;15458
9.1.2005;15;31;15348
9.1.2005;16;31;15545
9.1.2005;17;30;16795
9.1.2005;18;30;18128
9.1.2005;19;29;18071
9.1.2005;20;29;17616
9.1.2005;21;29;16912
9.1.2005;22;30;15753
9.1.2005;23;30;14403
9.1.2005;24;30;13156
10.1.2005;1;30;12299
10.1.2005;2;30;11884
10.1.2005;3;30;11716
10.1.2005;4;30;11708
10.1.2005;5;30;12054
10.1.2005;6;30;13278
10.1.2005;7;30;15640
10.1.2005;8;31;17150
10.1.2005;9;32;17506
10.1.2005;10;33;17698
10.1.2005;11;35;17829
10.1.2005;12;35;17768
10.1.2005;13;36;17575
10.1.2005;14;37;17377
10.1.2005;15;38;16669
10.1.2005;16;39;17049
10.1.2005;17;39;17987
10.1.2005;18;38;19448
10.1.2005;19;37;19409
10.1.2005;20;37;18909
10.1.2005;21;36;18094
10.1.2005;22;35;16849
10.1.2005;23;35;15176
10.1.2005;24;33;13661
11.1.2005;1;34;12693
11.1.2005;2;33;12228
11.1.2005;3;33;12033
11.1.2005;4;32;12027
11.1.2005;5;31;12373
11.1.2005;6;31;13594
11.1.2005;7;30;15971
11.1.2005;8;29;17317
11.1.2005;9;29;17489
11.1.2005;10;29;17472
11.1.2005;11;30;17427
11.1.2005;12;31;17377
11.1.2005;13;31;17349
11.1.2005;14;31;17334
11.1.2005;15;31;17258
11.1.2005;16;30;17480
11.1.2005;17;30;18624
11.1.2005;18;29;19797
11.1.2005;19;28;19712
11.1.2005;20;28;19205
11.1.2005;21;29;18431
11.1.2005;22;28;17115
11.1.2005;23;28;15414
11.1.2005;24;28;13958
12.1.2005;1;28;12956
12.1.2005;2;28;12467
12.1.2005;3;28;12294
12.1.2005;4;28;12300
12.1.2005;5;29;12598
12.1.2005;6;29;13703
12.1.2005;7;29;15845
12.1.2005;8;29;17380
12.1.2005;9;29;17800
12.1.2005;10;30;18015
12.1.2005;11;30;18185
12.1.2005;12;31;18246
12.1.2005;13;32;18111
12.1.2005;14;32;18025
12.1.2005;15;33;17850
12.1.2005;16;33;17902
12.1.2005;17;33;18847
12.1.2005;18;33;19781
12.1.2005;19;33;19538
12.1.2005;20;34;18953
12.1.2005;21;34;18049
12.1.2005;22;34;16747
12.1.2005;23;33;15055
12.1.2005;24;34;13589
13.1.2005;1;33;12622
13.1.2005;2;32;12130
13.1.2005;3;32;11931
13.1.2005;4;32;11881
13.1.2005;5;32;12162
13.1.2005;6;33;13328
13.1.2005;7;33;15612
13.1.2005;8;32;17080
13.1.2005;9;33;17306
13.1.2005;10;34;17449
13.1.2005;11;34;17477
13.1.2005;12;35;17392
13.1.2005;13;35;17213
13.1.2005;14;36;17134
13.1.2005;15;36;16996
13.1.2005;16;37;17076
13.1.2005;17;38;17983
13.1.2005;18;40;18979
13.1.2005;19;44;18821
13.1.2005;20;44;18297
13.1.2005;21;45;17508
13.1.2005;22;46;16249
13.1.2005;23;51;14554
13.1.2005;24;51;12988
14.1.2005;1;52;11917
14.1.2005;2;54;11370
14.1.2005;3;55;11108
14.1.2005;4;56;10989
14.1.2005;5;56;11224
14.1.2005;6;56;12318
14.1.2005;7;57;14511
14.1.2005;8;55;16006
14.1.2005;9;52;16392
14.1.2005;10;49;16705
14.1.2005;11;44;16972
14.1.2005;12;41;17101
14.1.2005;13;39;17107
14.1.2005;14;37;17143
14.1.2005;15;36;17056
14.1.2005;16;36;17093
14.1.2005;17;35;17860
14.1.2005;18;35;18619
14.1.2005;19;35;18372
14.1.2005;20;34;17793
14.1.2005;21;34;17184
14.1.2005;22;32;16312
14.1.2005;23;31;15099
14.1.2005;24;30;13805
15.1.2005;1;29;12848
15.1.2005;2;28;12348
15.1.2005;3;27;12100
15.1.2005;4;26;12050
15.1.2005;5;25;12179
15.1.2005;6;25;12591
15.1.2005;7;23;13499
15.1.2005;8;22;14495
15.1.2005;9;22;15483
15.1.2005;10;24;16130
15.1.2005;11;25;16439
15.1.2005;12;26;16407
15.1.2005;13;27;16160
15.1.2005;14;27;15852
15.1.2005;15;28;15649
15.1.2005;16;28;15756
15.1.2005;17;28;16598
15.1.2005;18;27;17931
15.1.2005;19;25;17930
15.1.2005;20;24;17458
15.1.2005;21;24;17039
15.1.2005;22;22;16298
15.1.2005;23;22;15277
15.1.2005;24;21;14185
16.1.2005;1;21;13252
16.1.2005;2;20;12704
16.1.2005;3;20;12449
16.1.2005;4;20;12360
16.1.2005;5;20;12392
16.1.2005;6;20;12648
16.1.2005;7;20;13226
16.1.2005;8;20;13917
16.1.2005;9;20;14947
16.1.2005;10;21;15808
16.1.2005;11;23;16266
16.1.2005;12;24;16491
16.1.2005;13;25;16514
16.1.2005;14;26;16385
16.1.2005;15;27;16294
16.1.2005;16;27;16563
16.1.2005;17;26;17564
16.1.2005;18;26;18395
16.1.2005;19;26;18278
16.1.2005;20;23;17700
16.1.2005;21;22;17268
16.1.2005;22;21;16377
16.1.2005;23;21;15224
16.1.2005;24;21;14156
17.1.2005;1;20;13307
17.1.2005;2;20;12906
17.1.2005;3;20;12744
17.1.2005;4;20;12746
17.1.2005;5;20;13040
17.1.2005;6;19;13932
17.1.2005;7;20;15375
17.1.2005;8;19;16590
17.1.2005;9;19;17492
17.1.2005;10;20;18137
17.1.2005;11;21;18522
17.1.2005;12;21;18619
17.1.2005;13;22;18455
17.1.2005;14;22;18287
17.1.2005;15;22;18109
17.1.2005;16;21;18164
17.1.2005;17;20;19075
17.1.2005;18;18;20767
17.1.2005;19;17;20803
17.1.2005;20;16;20343
17.1.2005;21;15;19587
17.1.2005;22;14;18370
17.1.2005;23;13;16798
17.1.2005;24;11;15438
18.1.2005;1;10;14599
18.1.2005;2;8;14225
18.1.2005;3;7;14124
18.1.2005;4;6;14195
18.1.2005;5;5;14562
18.1.2005;6;5;15836
18.1.2005;7;4;18264
18.1.2005;8;4;19612
18.1.2005;9;4;19819
18.1.2005;10;4;19897
18.1.2005;11;5;19932
18.1.2005;12;6;19813
18.1.2005;13;8;19631
18.1.2005;14;8;19498
18.1.2005;15;9;19282
18.1.2005;16;9;19360
18.1.2005;17;9;20290
18.1.2005;18;7;22006
18.1.2005;19;6;22141
18.1.2005;20;4;21727
18.1.2005;21;4;20931
18.1.2005;22;3;19725
18.1.2005;23;2;18045
18.1.2005;24;2;16608
19.1.2005;1;1;15596
19.1.2005;2;0;15233
19.1.2005;3;0;15063
19.1.2005;4;0;15069
19.1.2005;5;0;15357
19.1.2005;6;1;16455
19.1.2005;7;2;18774
19.1.2005;8;2;20064
19.1.2005;9;3;20266
19.1.2005;10;5;20280
19.1.2005;11;8;20202
19.1.2005;12;10;20003
19.1.2005;13;13;19773
19.1.2005;14;15;19707
19.1.2005;15;17;19421
19.1.2005;16;18;19382
19.1.2005;17;19;20207
19.1.2005;18;20;21412
19.1.2005;19;20;21364
19.1.2005;20;20;20845
19.1.2005;21;20;19880
19.1.2005;22;20;18565
19.1.2005;23;20;16754
19.1.2005;24;20;15254
20.1.2005;1;19;14266
20.1.2005;2;20;13793
20.1.2005;3;19;13566
20.1.2005;4;18;13544
20.1.2005;5;17;13886
20.1.2005;6;16;15078
20.1.2005;7;16;17338
20.1.2005;8;13;18530
20.1.2005;9;14;18664
20.1.2005;10;17;18591
20.1.2005;11;21;18593
20.1.2005;12;22;18442
20.1.2005;13;23;18209
20.1.2005;14;24;18123
20.1.2005;15;25;17948
20.1.2005;16;24;18013
20.1.2005;17;22;18884
20.1.2005;18;20;20540
20.1.2005;19;18;20720
20.1.2005;20;17;20362
20.1.2005;21;16;19703
20.1.2005;22;15;18536
20.1.2005;23;14;16923
20.1.2005;24;13;15489
21.1.2005;1;11;14617
21.1.2005;2;9;14266
21.1.2005;3;8;14138
21.1.2005;4;7;14218
21.1.2005;5;4;14619
21.1.2005;6;3;15823
21.1.2005;7;1;18232
21.1.2005;8;0;19612
21.1.2005;9;0;19873
21.1.2005;10;1;19941
21.1.2005;11;3;19910
21.1.2005;12;5;19728
21.1.2005;13;6;19461
21.1.2005;14;8;19252
21.1.2005;15;9;19037
21.1.2005;16;9;19035
21.1.2005;17;9;19778
21.1.2005;18;7;21204
21.1.2005;19;5;21273
21.1.2005;20;4;20810
21.1.2005;21;3;20227
21.1.2005;22;2;19461
21.1.2005;23;1;18206
21.1.2005;24;0;16943
22.1.2005;1;0;15973
22.1.2005;2;-1;15498
22.1.2005;3;-2;15243
22.1.2005;4;-3;15134
22.1.2005;5;-3;15252
22.1.2005;6;-3;15702
22.1.2005;7;-5;16597
22.1.2005;8;-3;17559
22.1.2005;9;-2;18695
22.1.2005;10;-1;19305
22.1.2005;11;1;19406
22.1.2005;12;3;19198
22.1.2005;13;6;18945
22.1.2005;14;7;18836
22.1.2005;15;9;18740
22.1.2005;16;9;18893
22.1.2005;17;9;19706
22.1.2005;18;10;20837
22.1.2005;19;12;20695
22.1.2005;20;13;19940
22.1.2005;21;14;19018
22.1.2005;22;14;17957
22.1.2005;23;16;16736
22.1.2005;24;15;15584
23.1.2005;1;16;14660
23.1.2005;2;15;14150
23.1.2005;3;15;13891
23.1.2005;4;13;13814
23.1.2005;5;12;13887
23.1.2005;6;11;14158
23.1.2005;7;10;14665
23.1.2005;8;10;15308
23.1.2005;9;9;16299
23.1.2005;10;10;17262
23.1.2005;11;10;17900
23.1.2005;12;11;18225
23.1.2005;13;13;18291
23.1.2005;14;14;18115
23.1.2005;15;14;17904
23.1.2005;16;14;17919
23.1.2005;17;14;18701
23.1.2005;18;12;20433
23.1.2005;19;11;20563
23.1.2005;20;9;19819
23.1.2005;21;7;19170
23.1.2005;22;5;18212
23.1.2005;23;4;17160
23.1.2005;24;2;15891
24.1.2005;1;3;15111
24.1.2005;2;2;14769
24.1.2005;3;2;14671
24.1.2005;4;2;14715
24.1.2005;5;2;15046
24.1.2005;6;1;16054
24.1.2005;7;2;17908
24.1.2005;8;2;19095
24.1.2005;9;2;19534
24.1.2005;10;5;19665
24.1.2005;11;8;19678
24.1.2005;12;11;19522
24.1.2005;13;15;19217
24.1.2005;14;18;19012
24.1.2005;15;20;18754
24.1.2005;16;19;18751
24.1.2005;17;20;19528
24.1.2005;18;19;21095
24.1.2005;19;19;21177
24.1.2005;20;18;20630
24.1.2005;21;17;19847
24.1.2005;22;17;18603
24.1.2005;23;17;16950
24.1.2005;24;17;15489
25.1.2005;1;17;14608
25.1.2005;2;17;14163
25.1.2005;3;16;13933
25.1.2005;4;16;13930
25.1.2005;5;16;14266
25.1.2005;6;15;15418
25.1.2005;7;14;17578
25.1.2005;8;13;18692
25.1.2005;9;14;18909
25.1.2005;10;16;18909
25.1.2005;11;18;19016
25.1.2005;12;20;18712
25.1.2005;13;21;18416
25.1.2005;14;22;18232
25.1.2005;15;23;17999
25.1.2005;16;24;17979
25.1.2005;17;24;18715
25.1.2005;18;23;20424
25.1.2005;19;21;20587
25.1.2005;20;21;20203
25.1.2005;21;21;19427
25.1.2005;22;20;18241
25.1.2005;23;19;16552
25.1.2005;24;19;15069
26.1.2005;1;19;14160
26.1.2005;2;19;13668
