Sat;RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
14;0;3;15446;15231
15;0;3;15231;15089
16;1;3;15089;15171
17;1;3;15171;15610
18;1;3;15610;16885
19;1;3;16885;17121
20;1;3;17121;16414
21;0;3;16414;15215
22;0;3;15215;13616
23;1;3;13616;12259
0;1;3;12259;11446
1;1;3;11446;11095
2;1;3;11095;10960
3;1;3;10960;11030
4;0;3;11030;11408
5;0;3;11408;12514
6;1;3;12514;14459
7;1;3;14459;15627
8;1;3;15627;15822
9;1;3;15822;15865
10;1;3;15865;15862
11;0;3;15862;15784
12;0;3;15784;15583
13;1;3;15583;15457
14;1;3;15457;15275
15;1;3;15275;15100
16;1;3;15100;15103
17;1;3;15103;15406
18;0;3;15406;16557
19;0;3;16557;16776
20;1;3;16776;16152
21;1;3;16152;14951
22;1;3;14951;13316
23;1;3;13316;12008
0;1;3;12008;11121
1;0;3;11121;10756
2;0;3;10756;10595
3;1;3;10595;10577
4;1;3;10577;10976
5;1;3;10976;12068
6;1;3;12068;14017
7;1;3;14017;15281
8;0;3;15281;15571
9;0;3;15571;15678
10;1;3;15678;15792
11;1;3;15792;15712
12;1;3;15712;15532
13;1;3;15532;15471
14;1;3;15471;15282
15;0;3;15282;15104
16;0;3;15104;15094
17;1;3;15094;15307
18;1;3;15307;16387
19;1;3;16387;16665
20;1;3;16665;15969
21;1;3;15969;14831
22;0;3;14831;13150
23;0;3;13150;11855
0;1;3;11855;10995
1;1;3;10995;10561
2;1;3;10561;10409
3;1;3;10409;10396
4;1;3;10396;10742
5;0;3;10742;11791
6;0;3;11791;13653
7;1;3;13653;14964
8;1;3;14964;15349
9;1;3;15349;15551
10;1;3;15551;15663
11;1;3;15663;15629
12;0;3;15629;15481
13;0;3;15481;15426
14;1;3;15426;15264
15;1;3;15264;14962
16;1;3;14962;14826
17;1;3;14826;14849
18;1;3;14849;15732
19;0;3;15732;15795
20;0;3;15795;15133
21;1;3;15133;14208
22;1;3;14208;12967
23;1;3;12967;11680
0;1;4;11680;10722
1;1;4;10722;10204
2;0;4;10204;9919
3;0;4;9919;9809
4;1;4;9809;9879
5;1;4;9879;10134
6;1;4;10134;10772
7;1;4;10772;12071
8;1;4;12071;13311
9;0;4;13311;13999
10;0;4;13999;14230
11;1;4;14230;14190
12;1;4;14190;13998
13;1;4;13998;13778
14;1;4;13778;13705
15;1;4;13705;13773
16;0;4;13773;14092
17;0;4;14092;14380
18;1;4;14380;14898
19;1;4;14898;14860
20;1;4;14860;14278
21;1;4;14278;13468
22;1;4;13468;12410
23;0;4;12410;11308
0;0;4;11308;10508
1;1;4;10508;10262
2;1;4;10262;10017
3;1;4;10017;9746
4;1;4;9746;9691
5;1;4;9691;9872
6;0;4;9872;10077
7;0;4;10077;10672
8;1;4;10672;11623
9;1;4;11623;12528
10;1;4;12528;13076
11;1;4;13076;13338
12;1;4;13338;13329
13;0;4;13329;13120
14;0;4;13120;12865
15;1;4;12865;12709
16;1;4;12709;12794
17;1;4;12794;13086
18;1;4;13086;13444
19;1;4;13444;14595
20;0;4;14595;14924
21;0;4;14924;13984
22;1;4;13984;12707
23;1;4;12707;11464
0;1;4;11464;10626
1;1;4;10626;10227
2;1;4;10227;10053
3;0;4;10053;10069
4;0;4;10069;10421
5;1;4;10421;11542
6;1;4;11542;13596
7;1;4;13596;15079
8;1;4;15079;15454
9;1;4;15454;15574
10;0;4;15574;15706
11;0;4;15706;15725
12;1;4;15725;15683
13;1;4;15683;15657
14;1;4;15657;15466
15;1;4;15466;15458
16;1;4;15458;15727
17;0;4;15727;16135
18;0;4;16135;16454
19;1;4;16454;16888
20;1;4;16888;16502
21;1;4;16502;15304
22;1;4;15304;13767
23;1;4;13767;12249
0;0;4;12249;11236
1;0;4;11236;10754
2;1;4;10754;10520
3;1;4;10520;10447
4;1;4;10447;10719
5;1;4;10719;11837
6;1;4;11837;13948
7;0;4;13948;15575
8;0;4;15575;16073
9;1;4;16073;16334
10;1;4;16334;16549
11;1;4;16549;16530
12;1;4;16530;16389
13;1;4;16389;16310
14;0;4;16310;16128
15;0;4;16128;16049
16;1;4;16049;16127
17;1;4;16127;16287
18;1;4;16287;16358
19;1;4;16358;16965
20;1;4;16965;16880
21;0;4;16880;15785
22;0;4;15785;14204
23;1;4;14204;12739
0;1;4;12739;11826
1;1;4;11826;11330
2;1;4;11330;11119
3;1;4;11119;11069
4;0;4;11069;11369
5;0;4;11369;12505
6;1;4;12505;14631
7;1;4;14631;16048
8;1;4;16048;16439
9;1;4;16439;16597
10;1;4;16597;16688
11;0;4;16688;16720
12;0;4;16720;16577
13;1;4;16577;16482
14;1;4;16482;16203
15;1;4;16203;16055
16;1;4;16055;16108
17;1;4;16108;16354
18;0;4;16354;16507
19;0;4;16507;17071
20;1;4;17071;17146
21;1;4;17146;16049
22;1;4;16049;14484
23;1;4;14484;12946
0;1;4;12946;12006
1;0;4;12006;11466
2;0;4;11466;11245
3;1;4;11245;11233
4;1;4;11233;11537
5;1;4;11537;12686
6;1;4;12686;14693
7;1;4;14693;15981
8;0;4;15981;16220
9;0;4;16220;16244
10;1;4;16244;16225
11;1;4;16225;16110
12;1;4;16110;15938
13;1;4;15938;15807
14;1;4;15807;15554
15;0;4;15554;15395
16;0;4;15395;15384
17;1;4;15384;15478
18;1;4;15478;15553
19;1;4;15553;16350
20;1;4;16350;16534
21;1;4;16534;15540
22;0;4;15540;13964
23;0;4;13964;12480
0;1;4;12480;11611
1;1;4;11611;11119
2;1;4;11119;10915
3;1;4;10915;10908
4;1;4;10908;11217
5;0;4;11217;12368
6;0;4;12368;14284
7;1;4;14284;15630
8;1;4;15630;15928
9;1;4;15928;16003
10;1;4;16003;15974
11;1;4;15974;15872
12;0;4;15872;15686
13;0;4;15686;15689
14;1;4;15689;15626
15;1;4;15626;15554
16;1;4;15554;15714
17;1;4;15714;15869
18;1;4;15869;15724
19;0;4;15724;15862
20;0;4;15862;15698
21;1;4;15698;14834
22;1;4;14834;13551
23;1;4;13551;12213
0;1;4;12213;11239
1;1;4;11239;10669
2;0;4;10669;10379
3;0;4;10379;10239
4;1;4;10239;10271
5;1;4;10271;10645
6;1;4;10645;11361
7;1;4;11361;12471
8;1;4;12471;13755
9;0;4;13755;14691
10;0;4;14691;15129
11;1;4;15129;15240
12;1;4;15240;15068
13;1;4;15068;14795
14;1;4;14795;14538
15;1;4;14538;14404
16;0;4;14404;14409
17;0;4;14409;14480
18;1;4;14480;14665
19;1;4;14665;15102
20;1;4;15102;15252
21;1;4;15252;14582
22;1;4;14582;13523
23;0;4;13523;12447
0;0;4;12447;11571
1;1;4;11571;11054
2;1;4;11054;10765
3;1;4;10765;10630
4;1;4;10630;10657
5;1;4;10657;10936
6;0;4;10936;11335
7;0;4;11335;12142
8;1;4;12142;13084
9;1;4;13084;13770
10;1;4;13770;13974
11;1;4;13974;13972
12;1;4;13972;13805
13;0;4;13805;13505
14;0;4;13505;13161
15;1;4;13161;12959
16;1;4;12959;13059
17;1;4;13059;13380
18;1;4;13380;13684
19;1;4;13684;14688
20;0;4;14688;15283
21;0;4;15283;14304
22;1;4;14304;13007
23;1;4;13007;11733
0;1;4;11733;10933
1;1;4;10933;10594
2;1;4;10594;10468
3;0;4;10468;10500
4;0;4;10500;10891
5;1;4;10891;12178
6;1;4;12178;14209
7;1;4;14209;15592
8;1;4;15592;15839
9;1;4;15839;15881
10;0;4;15881;15930
11;0;4;15930;15849
12;1;4;15849;15668
13;1;4;15668;15593
14;1;4;15593;15374
15;1;4;15374;15121
16;1;4;15121;15062
17;0;4;15062;15075
18;0;4;15075;15088
19;1;4;15088;15849
20;1;4;15849;16196
21;1;4;16196;15108
22;1;4;15108;13430
23;1;4;13430;11973
0;0;4;11973;11062
1;0;4;11062;10617
2;1;4;10617;10438
3;1;4;10438;10457
4;1;4;10457;10792
5;1;4;10792;11987
6;1;4;11987;13986
7;0;4;13986;15328
8;0;4;15328;15514
9;1;4;15514;15549
10;1;4;15549;15652
11;1;4;15652;15628
12;1;4;15628;15493
13;1;4;15493;15417
14;0;4;15417;15246
15;0;4;15246;15085
16;1;4;15085;14973
17;1;4;14973;14955
18;1;4;14955;14936
19;1;4;14936;15648
20;1;4;15648;15976
21;0;4;15976;14927
22;0;4;14927;13297
23;1;4;13297;11834
0;1;4;11834;10926
1;1;4;10926;10452
2;1;4;10452;10270
3;1;4;10270;10242
4;0;4;10242;10550
5;0;4;10550;11712
6;1;4;11712;13740
7;1;4;13740;15069
8;1;4;15069;15383
9;1;4;15383;15528
10;1;4;15528;15652
11;0;4;15652;15672
12;0;4;15672;15556
13;1;4;15556;15541
14;1;4;15541;15382
15;1;4;15382;15193
16;1;4;15193;15105
17;1;4;15105;15121
18;0;4;15121;15182
19;0;4;15182;15879
20;1;4;15879;15985
21;1;4;15985;14858
22;1;4;14858;13257
23;1;4;13257;11738
0;1;4;11738;10830
1;0;4;10830;10307
2;0;4;10307;10062
3;1;4;10062;10016
4;1;4;10016;10274
5;1;4;10274;11379
6;1;4;11379;13388
7;1;4;13388;14856
8;0;4;14856;15390
9;0;4;15390;15624
10;1;4;15624;15817
11;1;4;15817;15836
12;1;4;15836;15699
13;1;4;15699;15657
14;1;4;15657;15552
15;0;4;15552;15347
16;0;4;15347;15273
17;1;4;15273;15159
18;1;4;15159;14973
19;1;4;14973;15395
20;1;4;15395;15657
21;1;4;15657;14734
22;0;4;14734;13195
23;0;4;13195;11700
0;1;4;11700;10694
1;1;4;10694;10150
2;1;4;10150;9888
3;1;4;9888;9768
4;1;4;9768;9955
5;0;4;9955;10807
6;0;4;10807;12112
7;1;4;12112;13424
8;1;4;13424;14257
9;1;4;14257;14741
10;1;4;14741;14995
11;1;4;14995;15028
12;0;4;15028;14924
13;0;4;14924;14793
14;1;4;14793;14622
15;1;4;14622;14370
16;1;4;14370;14316
17;1;4;14316;14381
18;1;4;14381;14362
19;0;4;14362;14736
20;0;4;14736;14720
21;1;4;14720;13924
22;1;4;13924;12672
23;1;4;12672;11402
0;1;4;11402;10446
1;1;4;10446;9888
2;0;4;9888;9601
3;0;4;9601;9472
4;1;4;9472;9507
5;1;4;9507;9801
6;1;4;9801;10423
7;1;4;10423;11499
8;1;4;11499;12764
9;0;4;12764;13647
10;0;4;13647;14010
11;1;4;14010;14011
12;1;4;14011;13843
13;1;4;13843;13620
14;1;4;13620;13385
15;1;4;13385;13248
16;0;4;13248;13238
17;0;4;13238;13309
18;1;4;13309;13309
19;1;4;13309;13791
20;1;4;13791;14280
21;1;4;14280;13641
22;1;4;13641;12526
23;0;4;12526;11333
0;0;4;11333;10284
1;1;4;10284;9663
2;1;4;9663;9362
3;1;4;9362;9179
4;1;4;9179;9171
5;1;4;9171;9370
6;0;4;9370;9683
7;0;4;9683;10613
8;1;4;10613;11702
9;1;4;11702;12455
10;1;4;12455;12738
11;1;4;12738;12844
12;1;4;12844;12699
13;0;4;12699;12295
14;0;4;12295;11830
15;1;4;11830;11595
16;1;4;11595;11507
17;1;4;11507;11614
18;1;4;11614;11862
19;1;4;11862;12758
20;0;4;12758;13467
21;0;4;13467;12804
22;1;4;12804;11768
23;1;4;11768;10714
0;1;4;10714;9939
1;1;4;9939;9556
2;1;4;9556;9408
3;0;4;9408;9402
4;0;4;9402;9696
5;1;4;9696;10639
6;1;4;10639;12082
7;1;4;12082;13537
8;1;4;13537;14436
9;1;4;14436;15007
10;0;4;15007;15328
11;0;4;15328;15380
12;1;4;15380;15198
13;1;4;15198;15076
14;1;4;15076;14863
15;1;4;14863;14625
16;1;4;14625;14590
17;0;4;14590;14689
18;0;4;14689;14874
19;1;4;14874;15364
20;1;4;15364;15418
21;1;4;15418;14378
22;1;4;14378;12908
23;1;4;12908;11590
0;0;4;11590;10683
1;0;4;10683;10182
2;1;4;10182;9960
3;1;4;9960;9908
4;1;4;9908;10165
5;1;4;10165;11151
6;1;4;11151;12723
7;0;4;12723;14168
8;0;4;14168;14864
9;1;4;14864;15224
10;1;4;15224;15477
11;1;4;15477;15505
12;1;4;15505;15427
13;1;4;15427;15403
14;0;4;15403;15206
15;0;4;15206;14982
16;1;4;14982;14918
17;1;4;14918;14898
18;1;4;14898;14877
19;1;4;14877;15306
20;1;4;15306;15424
21;0;4;15424;14462
22;0;4;14462;12987
23;1;4;12987;11559
0;1;4;11559;10643
1;1;4;10643;10139
2;1;4;10139;9957
3;1;4;9957;9869
4;0;4;9869;10099
5;0;4;10099;11044
6;1;4;11044;12602
7;1;4;12602;14078
8;1;4;14078;14852
9;1;4;14852;15236
10;1;4;15236;15457
11;0;4;15457;15559
12;0;4;15559;15487
13;1;4;15487;15464
14;1;4;15464;15356
15;1;4;15356;15171
16;1;4;15171;15058
17;1;4;15058;14939
18;0;4;14939;14732
19;0;4;14732;15065
20;1;4;15065;15604
21;1;4;15604;14655
22;1;4;14655;13158
23;1;4;13158;11685
0;1;4;11685;10711
1;0;4;10711;10205
2;0;4;10205;9952
3;1;4;9952;9870
4;1;4;9870;10102
5;1;4;10102;10996
6;1;4;10996;12416
7;1;4;12416;13929
8;0;4;13929;14788
9;0;4;14788;15256
10;1;4;15256;15505
11;1;4;15505;15608
12;1;4;15608;15545
13;1;4;15545;15576
14;1;4;15576;15443
15;0;4;15443;15242
16;0;4;15242;15081
17;1;4;15081;14896
18;1;4;14896;14649
19;1;4;14649;14962
20;1;4;14962;15402
21;1;4;15402;14526
22;0;4;14526;13009
23;0;4;13009;11586
0;1;4;11586;10558
1;1;4;10558;10058
2;1;4;10058;9836
3;1;4;9836;9787
4;1;4;9787;10015
5;0;4;10015;10863
6;0;4;10863;12288
7;1;4;12288;13803
8;1;4;13803;14608
9;1;4;14608;15061
10;1;4;15061;15249
11;1;4;15249;15233
12;0;4;15233;15099
13;0;4;15099;15008
14;1;4;15008;14791
15;1;4;14791;14508
16;1;4;14508;14335
17;1;4;14335;14140
18;1;4;14140;13981
19;0;4;13981;14340
20;0;4;14340;14779
21;1;4;14779;14057
22;1;4;14057;12887
23;1;4;12887;11674
0;1;4;11674;10724
1;1;4;10724;10198
2;0;4;10198;9944
3;0;4;9944;9832
4;1;4;9832;9909
5;1;4;9909;10267
6;1;4;10267;10835
7;1;4;10835;11915
8;1;4;11915;13011
9;0;4;13011;13735
10;0;4;13735;14035
11;1;4;14035;14090
12;1;4;14090;13945
13;1;4;13945;13772
14;1;4;13772;13531
15;1;4;13531;13449
16;0;4;13449;13599
17;0;4;13599;13935
18;1;4;13935;14137
19;1;4;14137;14454
20;1;4;14454;14472
21;1;4;14472;13738
22;1;4;13738;12651
23;0;4;12651;11548
0;0;4;11548;10681
1;1;4;10681;10155
2;1;4;10155;9895
3;1;4;9895;9782
4;1;4;9782;9786
5;1;4;9786;9985
6;0;4;9985;10308
7;0;4;10308;11098
8;1;4;11098;12268
9;1;4;12268;13290
10;1;4;13290;13904
11;1;4;13904;14258
12;1;4;14258;14334
13;0;4;14334;14197
14;0;4;14197;14027
15;1;4;14027;13976
16;1;4;13976;14192
17;1;4;14192;14533
18;1;4;14533;14697
19;1;4;14697;15039
20;0;4;15039;14999
21;0;4;14999;13932
22;1;4;13932;12619
23;1;4;12619;11366
0;1;4;11366;10567
1;1;4;10567;10153
2;1;4;10153;9952
3;0;4;9952;9936
4;0;4;9936;10266
5;1;4;10266;11386
6;1;4;11386;13412
7;1;4;13412;15022
8;1;4;15022;15643
9;1;4;15643;15940
10;0;4;15940;16147
11;0;4;16147;16175
12;1;4;16175;16054
13;1;4;16054;15973
14;1;4;15973;15757
15;1;4;15757;15621
16;1;4;15621;15663
17;0;4;15663;15774
18;0;4;15774;15810
19;1;4;15810;16189
20;1;4;16189;16162
21;1;4;16162;15012
22;1;4;15012;13368
23;1;4;13368;11842
0;0;4;11842;10900
1;0;4;10900;10448
2;1;4;10448;10221
3;1;4;10221;10172
4;1;4;10172;10464
5;1;4;10464;11496
6;1;4;11496;13359
7;0;4;13359;14760
8;0;4;14760;15195
9;1;4;15195;15389
10;1;4;15389;15548
11;1;4;15548;15590
12;1;4;15590;15504
13;1;4;15504;15515
14;0;4;15515;15391
15;0;4;15391;15232
16;1;4;15232;15233
17;1;4;15233;15338
18;1;4;15338;15575
19;1;4;15575;15953
20;1;4;15953;15792
21;0;4;15792;14708
22;0;4;14708;13097
23;1;4;13097;11619
0;1;4;11619;10723
1;1;4;10723;10306
2;1;4;10306;10078
3;1;4;10078;10080
4;0;4;10080;10378
5;0;4;10378;11480
6;1;4;11480;13409
7;1;4;13409;14808
8;1;4;14808;15225
9;1;4;15225;15357
10;1;4;15357;15459
11;0;4;15459;15419
12;0;4;15419;15305
13;1;4;15305;15243
14;1;4;15243;15065
15;1;4;15065;14882
16;1;4;14882;14824
17;1;4;14824;14739
18;0;4;14739;14652
19;0;4;14652;15041
20;1;4;15041;15769
21;1;4;15769;14889
22;1;4;14889;13275
23;1;4;13275;11754
0;1;4;11754;10823
1;0;4;10823;10375
2;0;4;10375;10161
3;1;4;10161;10130
4;1;4;10130;10433
5;1;4;10433;11488
6;1;4;11488;13326
7;1;4;13326;14737
8;0;4;14737;15160
9;0;4;15160;15332
10;1;4;15332;15476
11;1;4;15476;15518
12;1;4;15518;15419
13;1;4;15419;15383
14;1;4;15383;15203
15;0;4;15203;14991
16;0;4;14991;14900
17;1;4;14900;14745
18;1;4;14745;14624
19;1;4;14624;14953
20;1;4;14953;15611
21;1;4;15611;14758
22;0;4;14758;13141
23;0;4;13141;11675
0;1;4;11675;10699
1;1;4;10699;10229
2;1;4;10229;10001
3;1;4;10001;9952
4;1;4;9952;10220
5;0;4;10220;11266
6;0;4;11266;13087
7;1;4;13087;14572
8;1;4;14572;15068
9;1;4;15068;15242
10;1;4;15242;15372
11;1;4;15372;15333
12;0;4;15333;15187
13;0;4;15187;15107
14;1;4;15107;14900
15;1;4;14900;14652
16;1;4;14652;14484
17;1;4;14484;14253
18;1;4;14253;14059
19;0;4;14059;14263
20;0;4;14263;14929
21;1;4;14929;14329
22;1;4;14329;13105
23;1;4;13105;11796
0;1;4;11796;10855
1;1;4;10855;10351
2;0;4;10351;10128
3;0;4;10128;10031
4;1;4;10031;10117
5;1;4;10117;10457
6;1;4;10457;11040
7;1;4;11040;12122
8;1;4;12122;13144
9;0;4;13144;13700
10;0;4;13700;13842
11;1;4;13842;13753
12;1;4;13753;13505
13;1;4;13505;13187
14;1;4;13187;12933
15;1;4;12933;12760
16;0;4;12760;12769
17;0;4;12769;12893
18;1;4;12893;12945
19;1;4;12945;13231
20;1;4;13231;13916
21;1;4;13916;13470
22;1;4;13470;12432
23;0;4;12432;11366
0;0;4;11366;10492
1;1;4;10492;10009
2;1;4;10009;9768
3;1;4;9768;9653
4;1;4;9653;9717
5;1;4;9717;9867
6;0;4;9867;10193
7;0;4;10193;11011
8;1;4;11011;11983
9;1;4;11983;12682
10;1;4;12682;12992
11;1;4;12992;13119
12;1;4;13119;13072
13;0;4;13072;12878
14;0;4;12878;12684
15;1;4;12684;12578
16;1;4;12578;12692
17;1;4;12692;12930
18;1;4;12930;13097
19;1;4;13097;13587
20;0;4;13587;14479
21;0;4;14479;13593
22;1;4;13593;12230
23;1;4;12230;10989
0;1;5;10989;10191
1;1;5;10191;9814
2;1;5;9814;9653
3;0;5;9653;9661
4;0;5;9661;9986
5;1;5;9986;11090
6;1;5;11090;13031
7;1;5;13031;14591
8;1;5;14591;15169
9;1;5;15169;15445
10;0;5;15445;15567
11;0;5;15567;15613
12;1;5;15613;15537
13;1;5;15537;15503
14;1;5;15503;15319
15;1;5;15319;15175
16;1;5;15175;15149
17;0;5;15149;15237
18;0;5;15237;15291
19;1;5;15291;15497
20;1;5;15497;15908
21;1;5;15908;14879
22;1;5;14879;13234
23;1;5;13234;11737
0;0;5;11737;10794
1;0;5;10794;10328
2;1;5;10328;10078
3;1;5;10078;10048
4;1;5;10048;10345
5;1;5;10345;11426
6;1;5;11426;13425
7;0;5;13425;15042
8;0;5;15042;15615
9;1;5;15615;15889
10;1;5;15889;16103
11;1;5;16103;16093
12;1;5;16093;15992
13;1;5;15992;15911
14;0;5;15911;15742
15;0;5;15742;15613
16;1;5;15613;15857
17;1;5;15857;16057
18;1;5;16057;16059
19;1;5;16059;16230
20;1;5;16230;16164
21;0;5;16164;15115
22;0;5;15115;13481
23;1;5;13481;11958
0;1;5;11958;11033
1;1;5;11033;10548
2;1;5;10548;10285
3;1;5;10285;10205
4;0;5;10205;10479
5;0;5;10479;11553
6;1;5;11553;13530
7;1;5;13530;15149
8;1;5;15149;15664
9;1;5;15664;15908
10;1;5;15908;16089
11;0;5;16089;16112
12;0;5;16112;16010
13;1;5;16010;15956
14;1;5;15956;15785
15;1;5;15785;15699
16;1;5;15699;15868
17;1;5;15868;16073
18;0;5;16073;16150
19;0;5;16150;16225
20;1;5;16225;16215
21;1;5;16215;15139
22;1;5;15139;13553
23;1;5;13553;11934
0;1;5;11934;10910
1;0;5;10910;10431
2;0;5;10431;10151
3;1;5;10151;10096
4;1;5;10096;10345
5;1;5;10345;11352
6;1;5;11352;13259
7;1;5;13259;14748
8;0;5;14748;15257
9;0;5;15257;15599
10;1;5;15599;15837
11;1;5;15837;16011
12;1;5;16011;16011
13;1;5;16011;16051
14;1;5;16051;15994
15;0;5;15994;15831
16;0;5;15831;15715
17;1;5;15715;15515
18;1;5;15515;15243
19;1;5;15243;15327
20;1;5;15327;16045
21;1;5;16045;15285
22;0;5;15285;13557
23;0;5;13557;11931
0;1;5;11931;10872
1;1;5;10872;10353
2;1;5;10353;10060
3;1;5;10060;9933
4;1;5;9933;10166
5;0;5;10166;11066
6;0;5;11066;12943
7;1;5;12943;14639
8;1;5;14639;15340
9;1;5;15340;15786
10;1;5;15786;16142
11;1;5;16142;16287
12;0;5;16287;16206
13;0;5;16206;16177
14;1;5;16177;16053
15;1;5;16053;16030
16;1;5;16030;15833
17;1;5;15833;15447
18;1;5;15447;14968
19;0;5;14968;14870
20;0;5;14870;15460
21;1;5;15460;14857
22;1;5;14857;13478
23;1;5;13478;11998
0;1;5;11998;10878
1;1;5;10878;10275
2;0;5;10275;9895
3;0;5;9895;9725
4;1;5;9725;9748
5;1;5;9748;9963
6;1;5;9963;10504
7;1;5;10504;11751
8;1;5;11751;13015
9;0;5;13015;13820
10;0;5;13820;14168
11;1;5;14168;14207
12;1;5;14207;14092
13;1;5;14092;13795
14;1;5;13795;13549
15;1;5;13549;13441
16;0;5;13441;13490
17;0;5;13490;13516
18;1;5;13516;13449
19;1;5;13449;13565
20;1;5;13565;14097
21;1;5;14097;13602
22;1;5;13602;12487
23;0;5;12487;11271
0;0;5;11271;10349
1;1;5;10349;9810
2;1;5;9810;9495
3;1;5;9495;9363
4;1;5;9363;9358
5;1;5;9358;9409
6;0;5;9409;9752
7;0;5;9752;10683
8;1;5;10683;11765
9;1;5;11765;12484
10;1;5;12484;12875
11;1;5;12875;13051
12;1;5;13051;13046
13;0;5;13046;12856
14;0;5;12856;12680
15;1;5;12680;12626
16;1;5;12626;12768
17;1;5;12768;13014
18;1;5;13014;13195
19;1;5;13195;13570
20;0;5;13570;14419
21;0;5;14419;13611
22;1;5;13611;12239
23;1;5;12239;11001
0;1;5;11001;10117
1;1;5;10117;9717
2;1;5;9717;9558
3;0;5;9558;9537
4;0;5;9537;9829
5;1;5;9829;10825
6;1;5;10825;12771
7;1;5;12771;14405
8;1;5;14405;14989
9;1;5;14989;15322
10;0;5;15322;15617
11;0;5;15617;15729
12;1;5;15729;15704
13;1;5;15704;15704
14;1;5;15704;15542
15;1;5;15542;15348
16;1;5;15348;15239
17;0;5;15239;15240
18;0;5;15240;15087
19;1;5;15087;15311
20;1;5;15311;15760
21;1;5;15760;14782
22;1;5;14782;13106
23;1;5;13106;11582
0;0;5;11582;10636
1;0;5;10636;10116
2;1;5;10116;9935
3;1;5;9935;9887
4;1;5;9887;10121
5;1;5;10121;11109
6;1;5;11109;13020
7;0;5;13020;14626
8;0;5;14626;15199
9;1;5;15199;15451
10;1;5;15451;15699
11;1;5;15699;15786
12;1;5;15786;15749
13;1;5;15749;15756
14;0;5;15756;15626
15;0;5;15626;15616
16;1;5;15616;15776
17;1;5;15776;16021
18;1;5;16021;16029
19;1;5;16029;16149
20;1;5;16149;16068
21;0;5;16068;14975
22;0;5;14975;13342
23;1;5;13342;11781
0;1;5;11781;10871
1;1;5;10871;10405
2;1;5;10405;10163
3;1;5;10163;10125
4;0;5;10125;10365
5;0;5;10365;11417
6;1;5;11417;13357
7;1;5;13357;14972
8;1;5;14972;15533
9;1;5;15533;15763
10;1;5;15763;15963
11;0;5;15963;15980
12;0;5;15980;15891
13;1;5;15891;15854
14;1;5;15854;15721
15;1;5;15721;15615
16;1;5;15615;15702
17;1;5;15702;15799
18;0;5;15799;15759
19;0;5;15759;15888
20;1;5;15888;16070
21;1;5;16070;15018
22;1;5;15018;13394
23;1;5;13394;11852
0;1;5;11852;10895
1;0;5;10895;10393
2;0;5;10393;10122
3;1;5;10122;10038
4;1;5;10038;10262
5;1;5;10262;11268
6;1;5;11268;13266
7;1;5;13266;14839
8;0;5;14839;15393
9;0;5;15393;15663
10;1;5;15663;15884
11;1;5;15884;15900
12;1;5;15900;15780
13;1;5;15780;15740
14;1;5;15740;15576
15;0;5;15576;15474
16;0;5;15474;15511
17;1;5;15511;15566
18;1;5;15566;15562
19;1;5;15562;15724
20;1;5;15724;15902
21;1;5;15902;15018
22;0;5;15018;13428
23;0;5;13428;11947
0;1;5;11947;10903
1;1;5;10903;10390
2;1;5;10390;10127
3;1;5;10127;10025
4;1;5;10025;10273
5;0;5;10273;11264
6;0;5;11264;13185
7;1;5;13185;14922
8;1;5;14922;15612
9;1;5;15612;15909
10;1;5;15909;16190
11;1;5;16190;16256
12;0;5;16256;16138
13;0;5;16138;16047
14;1;5;16047;15844
15;1;5;15844;15674
16;1;5;15674;15651
17;1;5;15651;15602
18;1;5;15602;15439
19;0;5;15439;15343
20;0;5;15343;15329
21;1;5;15329;14569
22;1;5;14569;13358
23;1;5;13358;12032
0;1;5;12032;10995
1;1;5;10995;10349
2;0;5;10349;10008
3;0;5;10008;9857
4;1;5;9857;9893
5;1;5;9893;10208
6;1;5;10208;10822
7;1;5;10822;11985
8;1;5;11985;13241
9;0;5;13241;14202
10;0;5;14202;14691
11;1;5;14691;14770
12;1;5;14770;14660
13;1;5;14660;14394
14;1;5;14394;14122
15;1;5;14122;14056
16;0;5;14056;14146
17;0;5;14146;14279
18;1;5;14279;14260
19;1;5;14260;14257
20;1;5;14257;14435
21;1;5;14435;13891
22;1;5;13891;12843
23;0;5;12843;11721
0;0;5;11721;10769
1;1;5;10769;10175
2;1;5;10175;9843
3;1;5;9843;9686
4;1;5;9686;9681
5;1;5;9681;9832
6;0;5;9832;10205
7;0;5;10205;11101
8;1;5;11101;12322
9;1;5;12322;13312
10;1;5;13312;13810
11;1;5;13810;14000
12;1;5;14000;13967
13;0;5;13967;13764
14;0;5;13764;13606
15;1;5;13606;13540
16;1;5;13540;13633
17;1;5;13633;13843
18;1;5;13843;14047
19;1;5;14047;14377
20;0;5;14377;14727
21;0;5;14727;13952
22;1;5;13952;12719
23;1;5;12719;11517
0;1;5;11517;10658
1;1;5;10658;10241
2;1;5;10241;10048
3;0;5;10048;10013
4;0;5;10013;10270
5;1;5;10270;11323
6;1;5;11323;13237
7;1;5;13237;14909
8;1;5;14909;15598
9;1;5;15598;15915
10;0;5;15915;16245
11;0;5;16245;16361
12;1;5;16361;16301
13;1;5;16301;16269
14;1;5;16269;16104
15;1;5;16104;16033
16;1;5;16033;16142
17;0;5;16142;16305
18;0;5;16305;16266
19;1;5;16266;16258
20;1;5;16258;16269
21;1;5;16269;15109
22;1;5;15109;13490
23;1;5;13490;12026
0;0;5;12026;10987
