Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-4.8;171.5;171.5;171.0;163.5
1;1;-2.9;159.75;161.25;162.75;158.0
0;1;-7.5;165.5;166.25;167.5;165.5
0;1;-3.6;178.75;179.0;178.0;179.25
0;1;-3.3;176.0;175.0;172.25;175.75
1;1;-3.8;167.75;168.0;168.5;168.5
0;1;6.8;173.5;175.0;175.25;173.75
1;1;11.4;170.25;171.75;172.0;170.5
1;1;8.9;166.25;166.5;165.0;165.75
0;1;4.9;165.25;165.5;168.0;166.0
0;1;3.8;178.0;176.25;174.75;176.5
0;1;4.1;NaN;NaN;NaN;NaN
0;1;3.2;179.5;177.25;177.5;178.5
0;1;4.1;173.25;172.0;172.0;171.75
1;1;1.0;179.0;180.5;182.25;177.5
1;1;1.2;159.5;160.75;160.5;157.5
0;1;-0.8;155.0;155.75;158.75;153.75
0;1;-0.8;174.0;178.0;177.25;171.25
0;1;-1.2;171.75;173.0;174.75;168.5
0;1;2.5;170.5;172.0;174.25;170.75
0;1;1.5;171.5;169.5;173.0;169.25
1;1;-0.3;168.5;171.0;172.75;168.25
1;1;-2.5;175.75;176.25;177.5;171.75
0;1;-3.2;163.5;163.25;164.5;163.5
0;1;-5.6;171.0;170.5;173.0;170.5
0;1;-1.2;176.25;180.25;181.5;174.75
0;1;0.8;169.75;170.75;174.75;169.5
0;1;-0.5;175.0;172.75;174.75;172.25
1;1;-2.1;177.5;177.0;183.5;174.5
1;1;-1.5;170.75;174.25;177.75;169.0
0;1;-1.2;165.0;166.75;167.75;165.0
0;2;-2.3;188.0;186.75;189.25;183.5
0;2;-3.5;181.0;180.0;181.0;178.75
0;2;-2.5;186.25;182.5;183.0;186.75
0;2;-4.1;177.75;179.0;183.0;177.5
1;2;-2.4;170.75;172.5;173.25;168.25
1;2;-2.3;170.25;169.5;174.75;169.25
0;2;-2.0;166.75;167.5;168.25;167.75
0;2;-2.4;179.0;177.25;178.0;178.5
0;2;1.6;176.0;176.5;179.0;176.25
0;2;-1.2;179.0;179.25;179.5;178.0
0;2;-2.1;186.0;186.5;186.75;184.5
1;2;8.0;175.75;177.5;179.0;174.5
1;2;1.9;188.75;187.5;188.0;186.0
0;2;1.2;179.75;178.75;181.5;180.75
0;2;0.1;187.0;187.25;192.0;186.75
0;2;0.0;193.75;194.0;199.75;193.75
0;2;3.4;190.25;189.0;191.25;189.25
0;2;3.2;182.5;183.5;184.0;182.75
1;2;2.7;177.25;185.25;186.75;174.5
1;2;-0.4;151.75;151.75;151.75;148.25
0;2;0.1;184.25;184.25;185.5;180.0
0;2;-2.6;187.25;190.75;191.25;187.5
0;2;-3.4;181.25;181.25;180.5;181.5
0;2;-6.6;174.75;174.0;176.0;175.75
0;2;-7.6;180.5;179.5;184.0;180.75
1;2;-1.4;181.25;184.25;190.25;176.75
1;2;-2.0;182.0;185.25;184.5;176.5
0;2;-1.3;179.75;181.5;182.25;178.75
0;3;-0.2;188.5;188.25;188.5;188.5
0;3;0.4;187.25;189.25;193.25;187.0
0;3;-1.8;181.5;180.75;182.25;181.5
0;3;0.0;177.25;176.75;184.0;175.0
1;3;0.0;176.25;179.0;182.5;174.5
