Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-5.0;145.75;147.75;153.0;146.5
1;1;-1.5;160.0;161.75;161.25;167.25
0;1;-3.3;393.5;344.0;284.0;419.25
0;1;-2.9;436.0;363.0;276.5;446.25
0;1;-2.5;407.5;369.5;273.25;423.333333333
1;1;-0.1;176.25;177.25;165.75;178.25
0;1;11.3;225.75;214.75;195.75;236.0
1;1;12.5;171.75;169.75;170.75;178.75
1;1;14.1;166.75;163.0;164.25;171.0
0;1;8.6;448.0;366.5;266.5;467.5
0;1;3.8;446.5;355.25;278.5;482.5
0;1;4.9;441.5;NaN;NaN;458.25
0;1;4.4;427.0;374.75;312.5;433.0
0;1;8.9;422.25;350.75;254.5;429.5
1;1;6.0;191.25;193.25;178.0;200.5
1;1;3.7;152.25;150.25;154.5;154.75
0;1;1.6;426.25;367.75;291.5;462.25
0;1;0.6;422.0;351.0;286.5;445.25
0;1;0.6;423.0;354.0;275.0;443.0
0;1;4.3;426.25;367.25;280.0;436.0
0;1;1.3;462.25;385.0;285.5;474.25
1;1;-0.1;200.0;187.0;178.25;199.5
1;1;-0.6;169.0;170.75;171.25;170.75
0;1;-1.2;428.0;368.0;290.25;448.75
0;1;-1.2;414.25;354.25;275.75;449.0
0;1;3.7;411.0;343.0;265.25;444.5
0;1;2.8;416.25;354.5;278.75;424.75
0;1;-1.8;457.5;361.75;283.5;469.75
1;1;-1.4;184.25;182.5;188.75;185.75
1;1;-0.9;169.75;168.25;171.0;168.25
0;1;-1.1;398.75;349.25;277.5;423.25
0;2;-1.9;398.25;336.0;289.5;397.5
0;2;-2.8;374.25;334.5;286.25;404.75
0;2;-0.4;388.5;328.75;281.5;391.0
0;2;2.4;343.0;320.5;270.75;351.75
1;2;5.0;185.25;182.25;189.75;184.5
1;2;7.2;172.5;171.5;170.75;172.75
0;2;6.8;377.75;303.25;268.25;366.75
0;2;7.8;344.75;317.75;292.25;363.75
0;2;8.7;376.25;319.5;274.5;378.75
0;2;6.6;382.0;310.0;273.0;390.25
0;2;10.1;346.0;324.75;261.25;358.0
1;2;8.7;174.5;173.25;170.75;180.5
1;2;3.7;176.5;175.25;176.25;176.25
0;2;2.1;429.5;381.5;286.5;458.0
0;2;0.7;443.75;372.75;285.25;485.75
0;2;2.0;444.0;375.25;303.0;453.5
0;2;2.1;427.5;375.5;306.5;468.0
0;2;3.1;436.25;354.5;293.0;461.5
1;2;5.2;158.25;155.0;164.25;164.75
1;2;4.8;141.25;142.5;142.75;158.25
0;2;-0.5;443.25;372.25;280.0;465.5
0;2;-1.4;423.75;362.0;286.75;431.25
0;2;-3.3;391.75;352.75;278.5;402.75
0;2;-1.6;403.25;347.5;268.5;404.5
0;2;0.5;394.25;353.75;264.75;411.75
1;2;-0.4;201.25;180.75;173.25;207.5
1;2;-1.0;170.75;170.75;170.5;175.75
0;2;-1.1;448.25;384.5;282.5;484.5
0;3;0.2;446.5;372.0;298.5;497.75
0;3;0.4;447.25;385.0;307.75;477.0
0;3;-1.0;448.0;373.75;281.0;476.75
0;3;2.3;417.75;352.5;266.5;462.0
1;3;1.5;187.583941606;183.864468864;180.390510949;196.339552239
1;3;3.3;172.396363636;171.306569343;170.087912088;173.919708029
0;3;4.0;400.791970803;350.131086142;252.45620438;436.091240876
0;3;2.9;422.022813688;360.629482072;283.614814815;415.945848375
0;3;4.1;405.642023346;361.856031128;277.30078125;430.31640625
0;3;7.2;396.747081712;353.6796875;285.902723735;424.296875
0;3;13.3;400.65234375;340.15234375;275.3125;437.221789883
1;3;12.7;186.75;185.431906615;183.99609375;187.536964981
1;3;14.0;182.661478599;182.19921875;180.7421875;184.14453125
0;3;17.9;400.515625;392.840466926;294.76953125;431.72265625
