Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-4.2;167.0;165.0;164.25;169.0
1;1;-1.4;184.25;184.5;184.5;178.0
0;1;-2.9;271.0;321.25;348.5;219.0
0;1;-2.8;263.0;323.5;355.75;230.25
0;1;-2.5;267.5;330.25;362.25;230.75
1;1;2.6;195.25;197.0;197.75;185.25
0;1;11.3;206.25;216.0;230.75;194.0
1;1;11.9;198.25;198.5;202.25;193.25
1;1;11.6;192.75;194.25;192.75;190.0
0;1;6.5;254.0;300.75;346.5;220.25
0;1;4.1;281.0;322.25;369.0;244.0
0;1;0.5;284.75;323.25;341.0;225.5
0;1;6.6;291.25;344.5;358.5;240.5
0;1;4.6;264.5;294.5;355.5;226.25
1;1;3.3;182.5;187.25;189.0;178.0
1;1;2.8;179.75;180.75;175.75;176.0
0;1;3.3;256.5;320.75;357.5;229.25
0;1;-0.6;257.0;311.25;334.25;232.25
0;1;3.5;283.75;341.25;368.0;230.5
0;1;3.1;264.25;325.75;390.0;235.25
0;1;1.2;242.25;288.0;340.5;212.75
1;1;-0.8;196.75;205.25;206.0;192.5
1;1;-0.4;201.75;206.25;200.75;190.0
0;1;-2.8;290.0;320.75;335.5;255.75
0;1;-0.7;296.0;322.5;338.5;246.5
0;1;1.4;279.25;323.0;350.0;247.75
0;1;0.9;268.0;307.25;315.75;241.25
0;1;-0.6;242.5;293.25;343.75;225.75
1;1;-0.5;190.0;192.5;197.0;187.25
1;1;-0.8;182.5;186.0;188.75;180.75
0;1;-1.7;257.5;295.5;313.25;242.75
0;2;-4.0;249.25;277.5;306.5;230.25
0;2;-5.0;246.25;282.5;308.5;225.0
0;2;-3.5;242.5;273.0;301.0;230.0
0;2;-0.7;222.75;254.5;277.5;204.75
1;2;1.1;185.25;186.75;181.25;179.75
1;2;2.2;188.25;191.0;185.25;184.25
0;2;3.5;238.0;265.25;293.75;222.75
0;2;6.3;233.0;265.0;276.5;218.75
0;2;2.8;243.75;269.5;280.5;223.25
0;2;2.3;244.5;265.5;280.5;230.5
0;2;8.0;228.0;256.75;278.75;202.0
1;2;3.6;199.0;202.0;204.0;191.25
1;2;1.8;188.75;196.0;191.0;185.25
0;2;0.8;276.5;325.0;372.25;248.5
0;2;0.4;281.5;339.5;373.0;248.0
0;2;4.7;282.5;333.0;375.25;238.25
0;2;3.9;317.25;364.5;372.0;252.5
0;2;3.6;271.25;303.5;337.75;251.0
1;2;5.0;171.5;168.25;161.75;166.25
1;2;3.1;209.5;202.75;194.25;202.75
0;2;-1.5;303.5;334.5;359.75;258.75
0;2;-1.2;275.5;330.25;374.75;230.0
0;2;-3.4;257.75;323.0;336.0;226.0
0;2;-4.1;295.0;342.75;338.25;248.75
0;2;-0.3;248.0;285.5;310.5;223.0
1;2;-3.1;194.25;199.25;189.25;192.0
1;2;-1.2;213.25;218.75;206.25;203.5
0;2;0.2;283.5;324.75;357.5;253.5
0;3;0.8;282.75;329.0;379.25;257.25
0;3;-1.7;270.25;318.5;373.25;239.5
0;3;0.3;277.0;324.0;363.25;237.25
0;3;-1.6;247.0;298.5;325.0;222.5
1;3;1.1;203.642335766;201.428571429;196.834558824;195.178832117
1;3;3.7;182.795620438;186.175182482;180.767241379;179.244525547
0;3;-2.6;300.379562044;333.666666667;341.208029197;247.996254682
0;3;-1.9;266.708;315.847058824;331.832684825;244.821011673
0;3;0.0;276.04296875;336.25;338.345098039;241.910505837
0;3;4.0;302.57421875;336.76171875;337.01953125;238.105058366
0;3;11.4;275.25;307.01953125;321.241245136;233.717647059
1;3;12.3;208.1640625;211.643137255;200.97254902;208.4765625
1;3;11.4;209.822834646;215.575875486;210.207843137;208.715953307
0;3;12.7;287.25;329.25;339.471698113;241.5
0;3;14.9;301.0;348.75;374.0;241.0
0;3;10.9;291.75;341.5;372.25;243.5
0;3;12.7;301.75;334.75;339.25;272.0
0;3;7.7;276.25;320.0;364.0;250.0
1;3;7.1;208.5;201.0;196.5;202.25
1;3;6.8;206.0;198.5;189.0;202.25
0;3;2.5;261.5;287.5;307.5;238.0
0;3;5.3;276.5;331.25;322.0;236.75
0;3;9.6;254.5;274.25;294.75;234.75
0;3;9.5;280.0;315.25;333.75;252.25
0;3;15.4;273.75;307.25;312.75;222.0
