Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;5;17.6;158.531120332;159.404958678;159.253061224;165.864197531
1;5;19.7;146.315352697;144.545081967;142.547325103;150.468619247
0;5;16.6;294.25;225.5;205.25;355.75
0;5;21.2;279.0;227.5;206.0;336.75
0;5;23.2;324.5;244.0;222.5;387.5
0;5;23.2;292.0;229.25;219.0;348.75
0;5;21.0;NaN;NaN;NaN;NaN
1;5;22.2;NaN;NaN;NaN;228.0
1;5;14.9;186.276422764;178.650684932;171.5;196.863453815
0;5;15.4;354.928286853;293.518218623;240.599190283;378.895652174
0;5;17.2;332.877729258;244.62;207.514423077;378.81981982
0;5;17.7;333.521367521;247.273542601;203.697777778;399.546255507
0;5;22.2;341.756521739;251.067460317;215.123505976;386.143478261
0;5;23.7;314.959459459;221.004385965;204.115555556;383.214953271
1;5;25.3;134.071748879;166.056074766;164.78440367;184.208888889
1;5;21.4;146.970588235;143.81938326;143.286956522;150.583333333
0;5;23.8;328.296460177;246.187793427;195.561085973;377.138528139
0;5;24.0;372.727678571;263.487068966;198.013043478;440.674107143
0;5;24.3;349.827272727;256.947136564;204.401785714;403.392307692
0;5;20.6;339.692982456;251.907079646;204.205240175;391.995670996
0;5;24.9;348.612765957;257.086956522;205.259574468;471.256410256
1;5;12.2;170.724576271;161.088495575;163.329113924;234.572052402
1;5;19.2;145.811965812;145.35021097;144.406779661;195.862222222
0;5;22.5;387.084745763;262.611814346;199.940425532;422.472340426
0;5;23.8;351.987068966;250.122881356;208.829787234;382.594827586
