Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-5.0;153.0;157.25;156.5;147.75
1;1;-2.0;161.25;163.0;160.25;161.75
0;1;-3.9;284.0;224.5;172.75;344.0
0;1;-2.8;276.5;228.25;183.5;363.0
0;1;-2.9;273.25;222.5;182.0;369.5
1;1;-2.4;165.75;167.0;169.0;177.25
0;1;9.3;195.75;192.25;173.5;214.75
1;1;11.6;170.75;171.75;168.0;169.75
1;1;9.3;164.25;166.75;166.0;163.0
0;1;5.7;266.5;214.75;171.5;366.5
0;1;3.5;278.5;229.0;184.5;355.25
0;1;4.7;NaN;NaN;NaN;NaN
0;1;4.0;312.5;241.0;192.5;374.75
0;1;4.8;254.5;218.0;180.75;350.75
1;1;4.0;178.0;179.5;176.5;193.25
1;1;2.3;154.5;158.25;157.0;150.25
0;1;-0.3;291.5;228.25;157.75;367.75
0;1;0.1;286.5;244.5;178.75;351.0
0;1;-2.0;275.0;237.0;171.5;354.0
0;1;3.5;280.0;249.5;179.5;367.25
0;1;1.3;285.5;243.0;179.75;385.0
1;1;-0.2;178.25;181.25;166.0;187.0
1;1;-2.7;171.25;177.0;168.0;170.75
0;1;-2.4;290.25;238.25;176.25;368.0
0;1;-2.2;275.75;228.0;172.0;354.25
0;1;-0.3;265.25;227.0;185.25;343.0
0;1;2.5;278.75;234.0;180.5;354.5
0;1;-0.9;283.5;236.75;186.5;361.75
1;1;-2.2;188.75;185.25;171.25;182.5
1;1;-1.3;171.0;172.5;167.75;168.25
0;1;-1.4;277.5;230.75;171.5;349.25
0;2;-2.1;289.5;259.75;190.0;336.0
0;2;-3.2;286.25;243.25;184.0;334.5
0;2;-1.6;281.5;250.25;191.0;328.75
0;2;-3.3;270.75;237.75;187.5;320.5
1;2;-0.7;189.75;178.0;168.25;182.25
1;2;1.1;170.75;177.5;170.25;171.5
0;2;1.2;268.25;215.25;177.0;303.25
0;2;1.5;292.25;234.0;186.5;317.75
0;2;5.7;274.5;230.75;182.5;319.5
0;2;2.3;273.0;228.5;186.75;310.0
0;2;-0.2;261.25;223.0;182.75;324.75
1;2;11.0;170.75;179.25;174.75;173.25
1;2;3.0;176.25;185.0;185.75;175.25
0;2;1.7;286.5;247.25;188.0;381.5
0;2;0.6;285.25;260.5;189.0;372.75
0;2;1.7;303.0;254.5;197.0;375.25
0;2;2.2;306.5;255.0;191.75;375.5
0;2;3.1;293.0;247.25;186.25;354.5
1;2;2.7;164.25;184.5;176.0;155.0
1;2;2.5;142.75;146.0;146.25;142.5
0;2;-1.3;280.0;239.0;188.25;372.25
0;2;-2.3;286.75;247.5;190.5;362.0
0;2;-5.0;278.5;236.25;187.75;352.75
0;2;-4.4;268.5;222.75;183.25;347.5
0;2;-2.4;264.75;243.25;186.0;353.75
1;2;-1.3;173.25;180.75;177.0;180.75
1;2;-1.8;170.5;175.75;175.25;170.75
0;2;-1.3;282.5;243.0;183.75;384.5
0;3;0.2;298.5;247.25;195.0;372.0
0;3;0.1;307.75;240.75;188.5;385.0
0;3;-1.3;281.0;237.5;185.0;373.75
0;3;0.8;266.5;240.0;178.5;352.5
1;3;0.3;180.390510949;182.467153285;178.2;183.864468864
1;3;0.4;170.087912088;171.959854015;175.287313433;171.306569343
0;3;2.2;252.45620438;226.282051282;195.084249084;350.131086142
0;3;0.8;283.614814815;246.064981949;195.707581227;360.629482072
0;3;0.9;277.30078125;243.1875;205.49609375;361.856031128
0;3;2.8;285.902723735;241.921875;200.98046875;353.6796875
0;3;8.8;275.3125;234.234375;201.3125;340.15234375
1;3;8.0;183.99609375;189.330708661;184.019685039;185.431906615
1;3;11.3;180.7421875;181.723735409;184.0078125;182.19921875
0;3;14.7;294.76953125;248.57480315;191.399209486;392.840466926
0;3;14.0;284.0;237.25;186.5;326.5
0;3;10.8;283.75;242.0;186.75;354.25
0;3;11.4;295.25;241.0;188.75;350.5
0;3;10.9;292.75;245.25;189.75;358.25
1;3;5.9;187.75;194.25;183.75;180.25
1;3;5.4;177.5;180.5;182.25;177.75
0;3;4.8;282.75;231.25;190.0;352.5
0;3;6.6;265.0;236.0;197.75;345.0
0;3;9.1;261.0;233.25;198.25;332.75
0;3;12.1;261.75;227.5;200.0;312.0
0;3;11.8;257.75;224.75;192.5;309.0
1;3;14.1;194.25;189.0;182.5;211.25
1;3;11.5;179.0;185.5;184.25;183.0
0;3;10.0;NaN;NaN;NaN;NaN
0;3;10.7;NaN;NaN;NaN;NaN
0;3;9.9;273.0;245.75;192.0;328.75
0;3;13.2;281.75;253.5;201.5;342.5
0;4;13.1;NaN;NaN;NaN;NaN
1;4;14.8;NaN;NaN;NaN;NaN
1;4;15.6;NaN;NaN;NaN;NaN
0;4;15.8;NaN;NaN;NaN;NaN
0;4;11.1;NaN;NaN;NaN;NaN
0;4;14.8;NaN;NaN;NaN;NaN
0;4;16.6;NaN;NaN;NaN;NaN
0;4;16.5;NaN;NaN;NaN;NaN
1;4;17.0;NaN;NaN;NaN;NaN
1;4;13.6;NaN;NaN;NaN;NaN
0;4;14.9;NaN;NaN;NaN;NaN
0;4;19.2;NaN;NaN;NaN;NaN
0;4;10.7;NaN;NaN;NaN;NaN
0;4;10.1;NaN;NaN;NaN;NaN
0;4;11.2;NaN;NaN;NaN;NaN
1;4;10.5;NaN;NaN;NaN;NaN
1;4;12.7;154.25;158.25;147.0;154.0
0;4;14.3;239.5;203.25;146.25;324.75
0;4;15.3;254.5;204.75;160.5;329.25
0;4;14.7;243.75;208.0;165.0;339.75
0;4;15.1;244.5;211.0;157.0;319.5
0;4;17.9;241.0;187.25;153.5;281.25
1;4;18.1;151.0;149.0;144.75;153.25
1;4;19.4;136.25;136.5;139.75;137.75
1;4;14.6;143.5;141.25;136.0;146.0
0;4;12.4;238.25;196.75;143.5;346.5
0;4;15.0;235.5;209.75;150.0;310.0
0;4;13.0;236.5;208.5;152.25;323.75
0;4;12.9;259.75;219.75;164.5;333.0
1;4;13.8;158.0;156.0;163.0;160.5
1;5;14.4;145.0;145.5;154.25;145.0
0;5;15.2;214.0;189.5;157.25;288.5
0;5;18.9;231.0;186.5;158.75;318.0
0;5;9.9;NaN;NaN;NaN;NaN
0;5;13.8;220.25;191.5;158.0;289.981818182
0;5;13.2;236.149635036;198.981684982;158.065693431;301.408759124
1;5;15.0;159.404958678;159.253061224;149.567901235;158.531120332
1;5;18.9;144.545081967;142.547325103;145.228215768;146.315352697
0;5;15.4;225.5;205.25;150.0;294.25
0;5;19.4;227.5;206.0;153.5;279.0
0;5;20.4;244.0;222.5;159.75;324.5
0;5;20.8;229.25;219.0;164.25;292.0
0;5;19.6;NaN;NaN;NaN;NaN
1;5;19.9;NaN;NaN;NaN;NaN
1;5;15.4;178.650684932;171.5;173.0;186.276422764
0;5;15.2;293.518218623;240.599190283;187.472;354.928286853
0;5;16.5;244.62;207.514423077;150.926829268;332.877729258
0;5;16.7;247.273542601;203.697777778;150.533632287;333.521367521
0;5;20.3;251.067460317;215.123505976;150.024390244;341.756521739
0;5;22.8;221.004385965;204.115555556;155.410714286;314.959459459
1;5;23.0;166.056074766;164.78440367;142.610091743;134.071748879
1;5;19.4;143.81938326;143.286956522;143.703539823;146.970588235
0;5;21.1;246.187793427;195.561085973;154.219827586;328.296460177
0;5;22.6;263.487068966;198.013043478;159.46460177;372.727678571
0;5;23.8;256.947136564;204.401785714;163.054545455;349.827272727
0;5;20.2;251.907079646;204.205240175;156.403669725;339.692982456
0;5;23.0;257.086956522;205.259574468;163.587234043;348.612765957
1;5;12.4;161.088495575;163.329113924;155.360515021;170.724576271
1;5;18.4;145.35021097;144.406779661;145.411016949;145.811965812
0;5;21.4;262.611814346;199.940425532;164.17721519;387.084745763
0;5;23.0;250.122881356;208.829787234;167.877637131;351.987068966
