Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-3.9;165.75;169.0;167.0;163.0
1;1;-2.4;174.0;178.0;184.25;176.5
0;1;-6.5;205.0;219.0;271.0;187.5
0;1;-2.8;202.75;230.25;263.0;180.75
0;1;-4.0;201.5;230.75;267.5;180.25
1;1;3.9;179.25;185.25;195.25;176.25
0;1;11.1;183.75;194.0;206.25;175.5
1;1;10.6;183.75;193.25;198.25;172.75
1;1;8.7;180.5;190.0;192.75;171.0
0;1;4.9;203.5;220.25;254.0;187.25
0;1;4.1;219.0;244.0;281.0;199.25
0;1;4.0;204.25;225.5;284.75;186.25
0;1;6.4;220.5;240.5;291.25;199.0
0;1;3.7;202.75;226.25;264.5;187.5
1;1;2.9;171.5;178.0;182.5;165.0
1;1;1.9;168.75;176.0;179.75;163.0
0;1;3.1;210.0;229.25;256.5;192.5
0;1;-0.8;210.5;232.25;257.0;191.25
0;1;3.0;202.5;230.5;283.75;193.75
0;1;2.8;207.5;235.25;264.25;184.5
0;1;0.7;192.25;212.75;242.25;176.5
1;1;-0.7;184.75;192.5;196.75;181.75
1;1;-2.0;184.0;190.0;201.75;168.5
0;1;-1.9;211.5;255.75;290.0;192.5
0;1;-0.4;213.0;246.5;296.0;201.25
0;1;0.7;210.25;247.75;279.25;190.0
0;1;0.2;220.25;241.25;268.0;193.5
0;1;-0.1;212.5;225.75;242.5;190.5
1;1;-1.0;185.0;187.25;190.0;186.5
1;1;-1.1;179.25;180.75;182.5;176.0
0;1;-1.9;236.0;242.75;257.5;215.25
0;2;-3.7;219.0;230.25;249.25;198.75
0;2;-2.3;207.0;225.0;246.25;191.5
0;2;-4.5;220.25;230.0;242.5;199.5
0;2;-1.7;191.0;204.75;222.75;174.5
1;2;-0.6;179.0;179.75;185.25;177.25
1;2;1.3;178.0;184.25;188.25;170.5
0;2;1.5;213.75;222.75;238.0;196.25
0;2;7.7;211.25;218.75;233.0;191.5
0;2;1.8;209.5;223.25;243.75;192.25
0;2;1.5;221.75;230.5;244.5;203.0
0;2;9.0;196.0;202.0;228.0;189.5
1;2;3.4;185.75;191.25;199.0;186.25
1;2;1.0;183.5;185.25;188.75;185.25
0;2;0.9;228.5;248.5;276.5;214.5
0;2;0.4;229.5;248.0;281.5;215.5
0;2;4.2;221.5;238.25;282.5;202.25
0;2;4.0;224.5;252.5;317.25;203.75
0;2;3.5;225.25;251.0;271.25;187.5
1;2;4.7;154.5;166.25;171.5;151.5
1;2;2.3;198.25;202.75;209.5;193.25
0;2;-1.9;228.25;258.75;303.5;212.0
0;2;-1.6;212.5;230.0;275.5;198.75
0;2;-4.4;206.75;226.0;257.75;195.5
0;2;-5.7;221.75;248.75;295.0;201.75
0;2;-0.4;216.0;223.0;248.0;202.5
1;2;-3.7;187.75;192.0;194.25;180.5
1;2;-1.2;197.0;203.5;213.25;189.0
0;2;0.2;235.0;253.5;283.5;218.5
0;3;0.3;235.75;257.25;282.75;210.75
0;3;-1.8;224.5;239.5;270.25;199.75
0;3;0.2;213.5;237.25;277.0;200.25
0;3;-1.2;213.5;222.5;247.0;190.5
1;3;-1.5;190.390510949;195.178832117;203.642335766;182.675373134
1;3;1.8;177.322344322;179.244525547;182.795620438;179.182481752
0;3;-4.2;210.937956204;247.996254682;300.379562044;204.234432234
0;3;-2.9;222.28125;244.821011673;266.708;201.207843137
0;3;-0.6;221.132;241.910505837;276.04296875;207.21875
0;3;4.6;215.819607843;238.105058366;302.57421875;204.13671875
0;3;8.4;209.0546875;233.717647059;275.25;201.163424125
1;3;10.7;206.5703125;208.4765625;208.1640625;198.575875486
