Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;PotrosnjaPrije3h;Potrosnja
1;1;-4.8;171.0;171.25;NaN;171.5
1;1;-3.1;162.75;162.0;161.75;161.25
0;1;-5.2;167.5;169.5;171.5;166.25
0;1;-3.9;178.0;178.75;181.0;179.0
0;1;-3.1;172.25;174.0;175.0;175.0
1;1;-3.9;168.5;168.75;175.25;168.0
0;1;5.4;175.25;176.0;177.75;175.0
1;1;11.1;172.0;173.75;170.0;171.75
1;1;9.0;165.0;167.75;168.75;166.5
0;1;4.9;168.0;166.0;167.5;165.5
0;1;4.2;174.75;182.5;185.0;176.25
0;1;4.3;NaN;NaN;191.5;NaN
0;1;3.7;177.5;182.25;181.25;177.25
0;1;5.8;172.0;176.75;186.75;172.0
1;1;1.7;182.25;185.5;180.5;180.5
1;1;2.2;160.5;160.0;162.25;160.75
0;1;0.0;158.75;159.5;160.5;155.75
0;1;0.1;177.25;180.25;182.5;178.0
0;1;-1.3;174.75;178.75;180.25;173.0
0;1;3.0;174.25;183.0;188.25;172.0
0;1;1.8;173.0;175.5;177.0;169.5
1;1;-0.1;172.75;175.0;175.5;171.0
1;1;-1.7;177.5;175.25;174.75;176.25
0;1;-3.2;164.5;169.0;167.5;163.25
0;1;-4.6;173.0;178.0;180.75;170.5
0;1;-0.8;181.5;191.25;197.25;180.25
0;1;1.5;174.75;179.5;186.75;170.75
0;1;0.0;174.75;185.75;186.25;172.75
1;1;-1.2;183.5;188.0;188.25;177.0
1;1;-1.2;177.75;182.75;181.75;174.25
0;1;-1.1;167.75;167.0;170.5;166.75
0;2;-2.2;189.25;197.75;205.25;186.75
0;2;-3.6;181.0;181.5;185.25;180.0
0;2;-2.7;183.0;184.5;186.75;182.5
0;2;-4.4;183.0;186.75;194.0;179.0
1;2;-1.7;173.25;175.0;171.0;172.5
1;2;-2.3;174.75;173.25;174.75;169.5
0;2;-1.4;168.25;166.0;168.75;167.5
0;2;-1.6;178.0;181.0;185.5;177.25
0;2;2.7;179.0;181.5;185.0;176.5
0;2;-0.3;179.5;183.75;184.0;179.25
0;2;-1.4;186.75;195.75;194.5;186.5
1;2;8.1;179.0;181.0;184.5;177.5
1;2;2.7;188.0;187.75;185.25;187.5
0;2;1.1;181.5;185.5;185.0;178.75
0;2;0.1;192.0;198.0;205.75;187.25
0;2;0.5;199.75;202.25;209.75;194.0
0;2;4.0;191.25;192.75;194.5;189.0
