Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.1;164.25;162.5;165.0
1;1;-0.4;184.5;179.25;184.5
0;1;-1.9;348.5;380.0;321.25
0;1;-3.7;355.75;387.0;323.5
0;1;-2.1;362.25;393.5;330.25
1;1;2.7;197.75;198.25;197.0
0;1;11.6;230.75;237.5;216.0
1;1;12.2;202.25;193.75;198.5
1;1;11.7;192.75;183.0;194.25
0;1;7.2;346.5;403.75;300.75
0;1;4.1;369.0;416.25;322.25
0;1;1.8;341.0;375.25;323.25
0;1;6.9;358.5;397.5;344.5
0;1;5.8;355.5;391.5;294.5
1;1;5.1;189.0;174.0;187.25
1;1;3.9;175.75;164.0;180.75
0;1;4.3;357.5;388.0;320.75
0;1;1.4;334.25;362.75;311.25
0;1;3.1;368.0;422.0;341.25
0;1;3.7;390.0;425.5;325.75
0;1;1.6;340.5;412.75;288.0
1;1;-0.5;206.0;205.5;205.25
1;1;0.6;200.75;185.25;206.25
0;1;-2.1;335.5;356.5;320.75
0;1;-0.3;338.5;361.5;322.5
0;1;2.0;350.0;383.0;323.0
0;1;0.9;315.75;346.5;307.25
0;1;-0.5;343.75;380.25;293.25
1;1;-0.2;197.0;191.5;192.5
1;1;-0.5;188.75;187.0;186.0
0;1;-1.2;313.25;354.5;295.5
0;2;-3.3;306.5;345.75;277.5
0;2;-4.2;308.5;333.5;282.5
0;2;-2.0;301.0;316.25;273.0
0;2;0.6;277.5;286.25;254.5
1;2;3.4;181.25;181.25;186.75
1;2;3.5;185.25;175.25;191.0
0;2;4.6;293.75;300.75;265.25
0;2;8.2;276.5;294.25;265.0
0;2;4.6;280.5;306.75;269.5
0;2;3.7;280.5;294.75;265.5
0;2;10.0;278.75;287.5;256.75
1;2;3.9;204.0;198.75;202.0
1;2;1.8;191.0;184.25;196.0
0;2;1.0;372.25;424.5;325.0
0;2;0.3;373.0;427.5;339.5
0;2;4.2;375.25;406.5;333.0
0;2;3.8;372.0;419.25;364.5
0;2;3.5;337.75;392.5;303.5
1;2;5.9;161.75;149.5;168.25
1;2;3.8;194.25;185.25;202.75
0;2;-1.1;359.75;396.0;334.5
0;2;-0.8;374.75;410.5;330.25
0;2;-1.6;336.0;358.0;323.0
0;2;-1.6;338.25;356.25;342.75
0;2;-0.9;310.5;332.5;285.5
1;2;-1.3;189.25;188.25;199.25
1;2;-0.8;206.25;199.0;218.75
0;2;0.0;357.5;407.5;324.75
0;3;1.1;379.25;417.0;329.0
0;3;-1.1;373.25;418.25;318.5
0;3;0.2;363.25;413.5;324.0
0;3;0.9;325.0;364.0;298.5
1;3;2.0;196.834558824;195.578754579;201.428571429
1;3;3.8;180.767241379;NaN;186.175182482
0;3;1.3;341.208029197;365.569343066;333.666666667
0;3;1.1;331.832684825;355.933333333;315.847058824
0;3;2.7;338.345098039;360.151750973;336.25
0;3;8.3;337.01953125;356.26;336.76171875
0;3;13.5;321.241245136;355.0078125;307.01953125
1;3;14.1;200.97254902;197.25390625;211.643137255
1;3;13.4;210.207843137;202.57421875;215.575875486
0;3;16.2;339.471698113;374.59375;329.25
0;3;16.8;374.0;420.75;348.75
0;3;11.0;372.25;433.75;341.5
0;3;13.9;339.25;390.0;334.75
0;3;8.8;364.0;418.0;320.0
1;3;6.1;196.5;205.0;201.0
1;3;7.9;189.0;190.0;198.5
0;3;6.4;307.5;342.5;287.5
0;3;8.5;322.0;338.25;331.25
0;3;13.6;294.75;340.5;274.25
0;3;14.7;333.75;374.25;315.25
0;3;17.5;312.75;363.25;307.25
1;3;16.3;199.5;207.75;205.5
1;3;13.2;194.25;202.25;193.75
0;3;10.3;NaN;NaN;NaN
0;3;10.7;297.25;375.75;252.25
0;3;12.6;282.0;326.0;260.25
0;3;14.2;279.75;319.25;264.75
0;4;18.1;NaN;NaN;NaN
1;4;15.9;NaN;NaN;NaN
1;4;18.4;NaN;NaN;NaN
0;4;15.6;NaN;NaN;NaN
0;4;12.5;NaN;NaN;NaN
0;4;14.0;NaN;NaN;NaN
0;4;21.8;NaN;NaN;NaN
0;4;18.3;NaN;NaN;NaN
1;4;17.6;NaN;NaN;NaN
1;4;14.7;NaN;NaN;NaN
0;4;15.8;NaN;NaN;NaN
0;4;10.9;NaN;NaN;NaN
0;4;9.7;NaN;NaN;NaN
0;4;10.6;NaN;NaN;NaN
0;4;10.9;NaN;NaN;NaN
1;4;11.5;163.75;163.25;167.25
1;4;12.5;151.5;152.5;156.0
0;4;12.2;252.25;312.25;238.0
0;4;14.2;301.5;335.0;268.0
0;4;16.3;291.0;332.5;245.25
0;4;21.6;280.25;312.5;261.75
0;4;18.0;184.0;232.0;173.5
1;4;20.8;151.25;151.5;152.5
1;4;20.7;152.75;147.75;151.0
