Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.6;150.25;150.25;158.5
1;1;-0.7;171.0;173.0;172.25
0;1;-2.5;415.25;412.25;403.75
0;1;-1.7;440.0;451.5;423.75
0;1;-1.8;433.25;436.5;426.25
1;1;2.0;186.25;182.75;187.25
0;1;12.9;233.0;235.75;232.75
1;1;13.9;181.0;180.25;179.75
1;1;15.9;176.75;172.0;177.75
0;1;11.5;492.75;459.5;489.5
0;1;4.3;486.25;493.25;495.0
0;1;6.8;472.5;476.25;NaN
0;1;10.4;419.75;438.666666667;402.25
0;1;12.9;452.75;444.5;459.25
1;1;11.4;198.75;209.75;191.5
1;1;9.1;162.5;158.0;163.0
0;1;9.4;457.0;463.25;454.75
0;1;4.8;427.5;445.75;421.0
0;1;2.2;464.25;452.75;445.25
0;1;4.1;473.0;448.25;448.25
0;1;2.8;490.25;500.75;477.25
1;1;0.9;213.0;204.5;208.0
1;1;1.5;176.25;172.0;185.75
0;1;2.5;461.5;450.0;439.25
0;1;0.8;433.5;451.5;421.75
0;1;7.5;437.5;455.75;439.5
0;1;2.5;453.0;440.5;456.75
0;1;-0.4;482.5;483.75;470.75
1;1;0.1;189.75;188.75;188.75
1;1;0.0;174.0;170.75;177.0
0;1;-0.5;444.25;426.5;457.25
0;2;-1.3;436.0;415.25;429.75
0;2;-2.1;433.0;419.75;417.25
0;2;1.5;415.0;401.75;408.5
0;2;6.9;360.0;384.5;362.0
1;2;12.8;185.0;184.75;185.75
1;2;12.4;176.0;174.75;178.25
0;2;15.6;384.75;366.5;381.25
0;2;14.6;362.0;361.0;375.25
0;2;11.4;414.75;398.25;398.0
0;2;10.2;385.25;392.0;374.0
0;2;14.9;381.5;380.0;370.5
1;2;6.2;194.75;189.25;198.25
1;2;4.0;182.75;180.25;183.5
0;2;2.1;491.25;478.75;477.5
0;2;0.7;523.5;500.75;504.0
0;2;3.0;465.25;480.25;455.75
0;2;3.5;484.5;483.25;479.0
0;2;4.6;491.5;491.0;478.75
1;2;7.3;164.75;165.25;157.5
1;2;7.0;186.5;179.5;188.25
0;2;-0.2;490.5;462.75;475.0
0;2;-0.8;464.25;447.5;458.0
0;2;-1.3;414.0;404.25;411.75
0;2;1.2;425.0;402.5;418.25
0;2;1.8;441.75;445.5;429.25
1;2;1.6;196.75;205.0;192.25
1;2;-0.7;189.25;183.75;193.75
0;2;0.1;495.0;497.5;493.5
0;3;1.5;496.0;497.0;493.5
0;3;0.6;472.0;482.5;471.0
0;3;-0.1;488.5;497.0;485.0
0;3;3.6;467.0;474.0;467.5
1;3;2.5;206.798534799;199.452554745;209.335766423
1;3;4.6;174.531135531;174.996336996;183.959854015
0;3;4.4;456.689781022;438.692307692;450.186131387
0;3;5.3;440.390625;434.482889734;438.233463035
0;3;7.9;457.90625;447.081712062;461.0703125
0;3;14.4;436.726190476;442.848249027;430.792156863
0;3;16.9;440.274509804;454.233463035;427.774319066
1;3;17.3;198.832684825;190.359375;198.45703125
1;3;16.1;188.47265625;187.684824903;192.220472441
0;3;18.2;458.3984375;472.265625;455.521568627
0;3;19.0;432.25;431.0;422.25
0;3;10.4;493.75;503.25;464.5
0;3;16.2;455.0;465.75;457.5
