Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.9;146.5;145.75;150.25
1;1;-1.1;167.25;160.0;173.0
0;1;-2.9;419.25;393.5;412.25
0;1;-2.9;446.25;436.0;451.5
0;1;-2.2;423.333333333;407.5;436.5
1;1;0.4;178.25;176.25;182.75
0;1;12.9;236.0;225.75;235.75
1;1;13.0;178.75;171.75;180.25
1;1;15.4;171.0;166.75;172.0
0;1;10.1;467.5;448.0;459.5
0;1;4.1;482.5;446.5;493.25
0;1;5.1;458.25;441.5;476.25
0;1;5.3;433.0;427.0;438.666666667
0;1;10.7;429.5;422.25;444.5
1;1;6.4;200.5;191.25;209.75
1;1;5.0;154.75;152.25;158.0
0;1;3.6;462.25;426.25;463.25
0;1;1.5;445.25;422.0;445.75
0;1;2.0;443.0;423.0;452.75
0;1;4.6;436.0;426.25;448.25
0;1;2.4;474.25;462.25;500.75
1;1;0.3;199.5;200.0;204.5
1;1;0.3;170.75;169.0;172.0
0;1;-0.3;448.75;428.0;450.0
0;1;-0.2;449.0;414.25;451.5
0;1;5.8;444.5;411.0;455.75
0;1;2.9;424.75;416.25;440.5
0;1;-1.3;469.75;457.5;483.75
1;1;-1.2;185.75;184.25;188.75
1;1;-0.2;168.25;169.75;170.75
0;1;-0.8;423.25;398.75;426.5
0;2;-1.7;397.5;398.25;415.25
0;2;-2.5;404.75;374.25;419.75
0;2;-0.2;391.0;388.5;401.75
0;2;4.2;351.75;343.0;384.5
1;2;6.4;184.5;185.25;184.75
1;2;10.2;172.75;172.5;174.75
0;2;9.6;366.75;377.75;366.5
0;2;10.4;363.75;344.75;361.0
0;2;10.6;378.75;376.25;398.25
0;2;8.6;390.25;382.0;392.0
0;2;11.8;358.0;346.0;380.0
1;2;7.6;180.5;174.5;189.25
1;2;3.8;176.25;176.5;180.25
0;2;2.0;458.0;429.5;478.75
0;2;0.7;485.75;443.75;500.75
0;2;2.5;453.5;444.0;480.25
0;2;2.4;468.0;427.5;483.25
0;2;3.8;461.5;436.25;491.0
1;2;5.8;164.75;158.25;165.25
1;2;5.7;158.25;141.25;179.5
0;2;-0.2;465.5;443.25;462.75
0;2;-1.5;431.25;423.75;447.5
0;2;-2.2;402.75;391.75;404.25
0;2;-0.1;404.5;403.25;402.5
0;2;1.2;411.75;394.25;445.5
1;2;-0.2;207.5;201.25;205.0
1;2;-0.8;175.75;170.75;183.75
0;2;-0.2;484.5;448.25;497.5
0;3;1.0;497.75;446.5;497.0
0;3;0.3;477.0;447.25;482.5
0;3;-1.0;476.75;448.0;497.0
0;3;2.6;462.0;417.75;474.0
1;3;2.2;196.339552239;187.583941606;199.452554745
1;3;3.6;173.919708029;172.396363636;174.996336996
0;3;4.1;436.091240876;400.791970803;438.692307692
0;3;4.2;415.945848375;422.022813688;434.482889734
0;3;5.8;430.31640625;405.642023346;447.081712062
0;3;9.7;424.296875;396.747081712;442.848249027
0;3;13.9;437.221789883;400.65234375;454.233463035
1;3;14.8;187.536964981;186.75;190.359375
1;3;14.9;184.14453125;182.661478599;187.684824903
0;3;17.8;431.72265625;400.515625;472.265625
0;3;18.4;423.75;391.75;431.0
0;3;10.9;479.25;449.25;503.25
0;3;15.7;457.25;427.0;465.75
0;3;13.6;464.0;425.5;487.25
1;3;9.0;172.25;176.5;175.5
1;3;9.1;187.25;185.25;189.5
0;3;6.3;439.5;416.75;433.25
0;3;12.4;424.75;393.25;407.0
0;3;15.4;407.0;378.75;427.5
0;3;16.7;389.5;390.25;411.25
0;3;19.0;418.5;366.5;433.25
1;3;18.6;253.0;230.0;247.25
1;3;13.7;193.25;185.5;196.5
0;3;11.5;NaN;NaN;NaN
0;3;14.9;389.5;NaN;387.5
0;3;15.9;415.25;382.25;407.25
0;3;18.1;434.5;395.75;489.5
0;4;18.3;NaN;NaN;NaN
1;4;20.4;NaN;NaN;NaN
1;4;19.8;NaN;NaN;NaN
0;4;20.2;NaN;NaN;NaN
0;4;14.5;NaN;NaN;NaN
0;4;16.5;NaN;NaN;NaN
0;4;23.8;NaN;NaN;NaN
0;4;17.7;NaN;NaN;NaN
1;4;22.5;NaN;NaN;NaN
1;4;15.5;NaN;NaN;NaN
0;4;17.3;NaN;NaN;NaN
0;4;23.8;NaN;NaN;NaN
0;4;13.1;NaN;NaN;NaN
0;4;13.9;NaN;NaN;NaN
0;4;12.2;NaN;NaN;NaN
1;4;10.6;NaN;NaN;NaN
1;4;14.4;156.25;156.0;156.25
0;4;16.0;401.75;390.5;411.25
0;4;18.5;391.25;374.75;408.5
0;4;19.8;407.0;389.5;396.5
0;4;21.7;382.0;365.0;424.0
0;4;22.0;336.0;340.25;343.5
1;4;22.6;152.25;155.25;153.75
1;4;22.9;142.25;140.25;142.75
1;4;20.2;153.0;148.75;155.0
0;4;13.8;423.75;410.25;434.5
0;4;16.3;402.25;374.75;413.75
0;4;15.0;461.5;425.25;467.0
0;4;14.5;406.0;390.75;441.25
1;4;16.6;174.75;176.5;173.25
1;5;14.9;145.0;145.25;150.0
0;5;18.3;367.5;361.5;391.25
0;5;22.3;401.75;379.25;370.0
