Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.8;171.5;171.5;163.5
1;1;-2.9;159.75;161.25;158.0
0;1;-7.5;165.5;166.25;165.5
0;1;-3.6;178.75;179.0;179.25
0;1;-3.3;176.0;175.0;175.75
1;1;-3.8;167.75;168.0;168.5
0;1;6.8;173.5;175.0;173.75
1;1;11.4;170.25;171.75;170.5
1;1;8.9;166.25;166.5;165.75
0;1;4.9;165.25;165.5;166.0
0;1;3.8;178.0;176.25;176.5
0;1;4.1;NaN;NaN;NaN
0;1;3.2;179.5;177.25;178.5
0;1;4.1;173.25;172.0;171.75
1;1;1.0;179.0;180.5;177.5
1;1;1.2;159.5;160.75;157.5
0;1;-0.8;155.0;155.75;153.75
0;1;-0.8;174.0;178.0;171.25
0;1;-1.2;171.75;173.0;168.5
0;1;2.5;170.5;172.0;170.75
0;1;1.5;171.5;169.5;169.25
1;1;-0.3;168.5;171.0;168.25
1;1;-2.5;175.75;176.25;171.75
0;1;-3.2;163.5;163.25;163.5
0;1;-5.6;171.0;170.5;170.5
0;1;-1.2;176.25;180.25;174.75
0;1;0.8;169.75;170.75;169.5
0;1;-0.5;175.0;172.75;172.25
1;1;-2.1;177.5;177.0;174.5
1;1;-1.5;170.75;174.25;169.0
0;1;-1.2;165.0;166.75;165.0
0;2;-2.3;188.0;186.75;183.5
0;2;-3.5;181.0;180.0;178.75
0;2;-2.5;186.25;182.5;186.75
0;2;-4.1;177.75;179.0;177.5
1;2;-2.4;170.75;172.5;168.25
1;2;-2.3;170.25;169.5;169.25
0;2;-2.0;166.75;167.5;167.75
0;2;-2.4;179.0;177.25;178.5
0;2;1.6;176.0;176.5;176.25
0;2;-1.2;179.0;179.25;178.0
0;2;-2.1;186.0;186.5;184.5
1;2;8.0;175.75;177.5;174.5
1;2;1.9;188.75;187.5;186.0
0;2;1.2;179.75;178.75;180.75
0;2;0.1;187.0;187.25;186.75
0;2;0.0;193.75;194.0;193.75
0;2;3.4;190.25;189.0;189.25
0;2;3.2;182.5;183.5;182.75
1;2;2.7;177.25;185.25;174.5
1;2;-0.4;151.75;151.75;148.25
0;2;0.1;184.25;184.25;180.0
0;2;-2.6;187.25;190.75;187.5
0;2;-3.4;181.25;181.25;181.5
0;2;-6.6;174.75;174.0;175.75
0;2;-7.6;180.5;179.5;180.75
1;2;-1.4;181.25;184.25;176.75
1;2;-2.0;182.0;185.25;176.5
0;2;-1.3;179.75;181.5;178.75
0;3;-0.2;188.5;188.25;188.5
0;3;0.4;187.25;189.25;187.0
0;3;-1.8;181.5;180.75;181.5
0;3;0.0;177.25;176.75;175.0
1;3;0.0;176.25;179.0;174.5
1;3;-3.5;176.47810219;179.452554745;173.912408759
0;3;0.3;172.315018315;171.682481752;174.054744526
0;3;-5.5;183.329710145;183.963898917;184.25631769
0;3;-5.2;186.86770428;186.876494024;187.13229572
0;3;-3.2;194.1875;195.62890625;192.941634241
0;3;-1.1;184.6875;186.175097276;184.266932271
1;3;3.8;183.49609375;190.417670683;183.21875
1;3;5.2;187.490272374;188.763052209;185.122047244
0;3;11.2;185.106299213;184.688715953;185.178988327
0;3;8.5;187.0;188.0;186.0
0;3;8.6;185.0;186.25;184.75
0;3;11.1;184.75;187.0;183.5
0;3;5.3;187.75;188.0;186.5
1;3;5.8;184.0;186.5;184.5
1;3;4.7;185.5;186.25;181.25
0;3;4.3;180.0;181.5;181.75
0;3;-0.2;185.75;184.75;184.0
0;3;0.9;187.0;187.25;185.5
0;3;2.9;193.666666667;194.25;193.5
0;3;3.3;188.0;189.25;188.25
1;3;10.7;184.0;187.75;183.75
1;3;10.8;196.75;NaN;193.0
0;3;10.5;NaN;NaN;NaN
0;3;6.7;NaN;NaN;NaN
0;3;3.0;190.666666667;191.5;197.0
0;3;4.0;193.0;193.25;193.75
0;4;6.0;NaN;NaN;NaN
1;4;7.7;NaN;NaN;NaN
1;4;8.5;NaN;NaN;NaN
0;4;9.4;NaN;NaN;NaN
0;4;9.9;NaN;NaN;NaN
0;4;5.0;NaN;NaN;NaN
0;4;8.2;NaN;NaN;NaN
0;4;17.4;NaN;NaN;NaN
1;4;11.5;NaN;NaN;NaN
1;4;5.2;NaN;NaN;NaN
0;4;6.0;NaN;NaN;NaN
0;4;7.2;NaN;NaN;NaN
0;4;6.8;NaN;NaN;NaN
0;4;3.7;NaN;NaN;NaN
0;4;5.3;NaN;NaN;NaN
1;4;8.9;NaN;NaN;NaN
1;4;5.9;147.75;147.75;148.0
0;4;4.0;142.5;141.5;142.0
0;4;6.1;151.25;151.75;152.25
0;4;5.1;156.25;157.0;157.0
