Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.8;171.0;171.25;171.5
1;1;-3.1;162.75;162.0;161.25
0;1;-5.2;167.5;169.5;166.25
0;1;-3.9;178.0;178.75;179.0
0;1;-3.1;172.25;174.0;175.0
1;1;-3.9;168.5;168.75;168.0
0;1;5.4;175.25;176.0;175.0
1;1;11.1;172.0;173.75;171.75
1;1;9.0;165.0;167.75;166.5
0;1;4.9;168.0;166.0;165.5
0;1;4.2;174.75;182.5;176.25
0;1;4.3;NaN;NaN;NaN
0;1;3.7;177.5;182.25;177.25
0;1;5.8;172.0;176.75;172.0
1;1;1.7;182.25;185.5;180.5
1;1;2.2;160.5;160.0;160.75
0;1;0.0;158.75;159.5;155.75
0;1;0.1;177.25;180.25;178.0
0;1;-1.3;174.75;178.75;173.0
0;1;3.0;174.25;183.0;172.0
0;1;1.8;173.0;175.5;169.5
1;1;-0.1;172.75;175.0;171.0
1;1;-1.7;177.5;175.25;176.25
0;1;-3.2;164.5;169.0;163.25
0;1;-4.6;173.0;178.0;170.5
0;1;-0.8;181.5;191.25;180.25
0;1;1.5;174.75;179.5;170.75
0;1;0.0;174.75;185.75;172.75
1;1;-1.2;183.5;188.0;177.0
1;1;-1.2;177.75;182.75;174.25
0;1;-1.1;167.75;167.0;166.75
0;2;-2.2;189.25;197.75;186.75
0;2;-3.6;181.0;181.5;180.0
0;2;-2.7;183.0;184.5;182.5
0;2;-4.4;183.0;186.75;179.0
1;2;-1.7;173.25;175.0;172.5
1;2;-2.3;174.75;173.25;169.5
0;2;-1.4;168.25;166.0;167.5
0;2;-1.6;178.0;181.0;177.25
0;2;2.7;179.0;181.5;176.5
0;2;-0.3;179.5;183.75;179.25
0;2;-1.4;186.75;195.75;186.5
1;2;8.1;179.0;181.0;177.5
1;2;2.7;188.0;187.75;187.5
0;2;1.1;181.5;185.5;178.75
0;2;0.1;192.0;198.0;187.25
0;2;0.5;199.75;202.25;194.0
0;2;4.0;191.25;192.75;189.0
0;2;3.5;184.0;190.0;183.5
1;2;3.9;186.75;186.0;185.25
1;2;1.1;151.75;152.5;151.75
0;2;0.7;185.5;189.5;184.25
0;2;-2.8;191.25;198.5;190.75
0;2;-2.4;180.5;186.25;181.25
0;2;-7.2;176.0;182.25;174.0
0;2;-7.2;184.0;189.0;179.5
1;2;-1.3;190.25;192.25;184.25
1;2;-2.2;184.5;182.25;185.25
0;2;-1.3;182.25;184.75;181.5
0;3;0.1;188.5;195.5;188.25
0;3;1.1;193.25;200.0;189.25
0;3;-1.9;182.25;188.5;180.75
0;3;-0.1;184.0;187.5;176.75
1;3;-0.2;182.5;179.0;179.0
1;3;-2.8;178.073260073;181.076642336;179.452554745
0;3;1.1;172.286764706;172.344322344;171.682481752
0;3;-4.5;187.018050542;191.03649635;183.963898917
0;3;-4.8;188.80859375;197.019455253;186.876494024
0;3;-2.8;195.73151751;197.765625;195.62890625
0;3;0.3;188.031128405;195.435797665;186.175097276
1;3;6.0;191.984375;193.276264591;190.417670683
1;3;9.3;189.128404669;189.84375;188.763052209
0;3;10.8;185.7265625;188.32421875;184.688715953
0;3;10.2;190.75;199.25;188.0
0;3;7.7;190.25;193.75;186.25
0;3;11.1;192.0;199.0;187.0
0;3;5.1;191.5;197.5;188.0
1;3;5.9;192.25;190.0;186.5
1;3;5.7;188.5;188.0;186.25
0;3;4.9;182.0;181.0;181.5
0;3;0.2;184.0;190.25;184.75
0;3;1.7;186.5;194.5;187.25
0;3;4.8;199.25;201.75;194.25
0;3;4.5;193.5;199.75;189.25
1;3;12.1;193.75;190.75;187.75
1;3;10.2;195.0;192.75;NaN
0;3;6.1;NaN;NaN;NaN
0;3;8.3;NaN;NaN;NaN
0;3;3.7;190.75;191.25;191.5
0;3;4.9;196.75;206.0;193.25
