Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.0;165.0;164.25;167.0
1;1;-0.7;184.5;184.5;184.25
0;1;-2.0;321.25;348.5;271.0
0;1;-2.8;323.5;355.75;263.0
0;1;-2.2;330.25;362.25;267.5
1;1;2.3;197.0;197.75;195.25
0;1;11.0;216.0;230.75;206.25
1;1;12.0;198.5;202.25;198.25
1;1;12.4;194.25;192.75;192.75
0;1;6.4;300.75;346.5;254.0
0;1;4.1;322.25;369.0;281.0
0;1;1.0;323.25;341.0;284.75
0;1;7.0;344.5;358.5;291.25
0;1;4.7;294.5;355.5;264.5
1;1;4.0;187.25;189.0;182.5
1;1;2.9;180.75;175.75;179.75
0;1;3.4;320.75;357.5;256.5
0;1;0.4;311.25;334.25;257.0
0;1;3.2;341.25;368.0;283.75
0;1;3.5;325.75;390.0;264.25
0;1;1.3;288.0;340.5;242.25
1;1;-0.6;205.25;206.0;196.75
1;1;0.6;206.25;200.75;201.75
0;1;-2.3;320.75;335.5;290.0
0;1;-0.4;322.5;338.5;296.0
0;1;1.5;323.0;350.0;279.25
0;1;0.9;307.25;315.75;268.0
0;1;-0.3;293.25;343.75;242.5
1;1;-0.4;192.5;197.0;190.0
1;1;-0.8;186.0;188.75;182.5
0;1;-1.4;295.5;313.25;257.5
0;2;-3.9;277.5;306.5;249.25
0;2;-5.0;282.5;308.5;246.25
0;2;-2.7;273.0;301.0;242.5
0;2;-0.2;254.5;277.5;222.75
1;2;1.4;186.75;181.25;185.25
1;2;2.5;191.0;185.25;188.25
0;2;3.6;265.25;293.75;238.0
0;2;6.4;265.0;276.5;233.0
0;2;3.3;269.5;280.5;243.75
0;2;3.0;265.5;280.5;244.5
0;2;9.0;256.75;278.75;228.0
1;2;3.7;202.0;204.0;199.0
1;2;1.9;196.0;191.0;188.75
0;2;1.0;325.0;372.25;276.5
0;2;0.4;339.5;373.0;281.5
