Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-5.0;1005.9;147.75;145.75
1;1;-1.9;1003.3;161.75;160.0
0;1;-3.9;1007.6;344.0;393.5
0;1;-2.9;1009.2;363.0;436.0
0;1;-2.8;1007.6;369.5;407.5
1;1;-1.5;1004.9;177.25;176.25
0;1;9.7;1005.3;214.75;225.75
1;1;12.1;1003.9;169.75;171.75
1;1;12.3;1003.9;163.0;166.75
0;1;6.5;1005.6;366.5;448.0
0;1;3.7;1001.7;355.25;446.5
0;1;4.7;1004.5;NaN;441.5
0;1;4.2;1001.4;374.75;427.0
0;1;6.1;1003.1;350.75;422.25
1;1;5.2;1005.7;193.25;191.25
1;1;3.0;1015.1;150.25;152.25
0;1;0.6;1011.8;367.75;426.25
0;1;1.3;1011.2;351.0;422.0
0;1;-0.4;1008.0;354.0;423.0
0;1;4.0;1006.5;367.25;426.25
0;1;1.4;1010.3;385.0;462.25
1;1;-0.2;1011.7;187.0;200.0
1;1;-1.6;1007.0;170.75;169.0
0;1;-1.8;1005.4;368.0;428.0
0;1;-1.8;1003.2;354.25;414.25
0;1;1.7;994.4;343.0;411.0
0;1;2.6;999.7;354.5;416.25
0;1;-1.4;1009.2;361.75;457.5
1;1;-1.7;1010.2;182.5;184.25
1;1;-1.1;1006.2;168.25;169.75
0;1;-1.4;1009.9;349.25;398.75
0;2;-1.9;1012.6;336.0;398.25
0;2;-3.2;1013.5;334.5;374.25
0;2;-1.0;1014.6;328.75;388.5
0;2;0.5;1016.2;320.5;343.0
1;2;2.0;1010.0;182.25;185.25
1;2;4.8;1011.0;171.5;172.5
0;2;4.0;1009.8;303.25;377.75
0;2;3.9;1003.9;317.75;344.75
0;2;7.5;1009.3;319.5;376.25
0;2;4.6;1010.5;310.0;382.0
0;2;4.8;1002.2;324.75;346.0
1;2;11.3;999.9;173.25;174.5
1;2;3.4;1003.2;175.25;176.5
0;2;2.0;999.2;381.5;429.5
0;2;0.8;995.8;372.75;443.75
0;2;2.3;992.8;375.25;444.0
0;2;2.2;990.9;375.5;427.5
0;2;3.1;994.8;354.5;436.25
1;2;4.8;998.9;155.0;158.25
1;2;3.2;1001.6;142.5;141.25
0;2;-1.1;1001.3;372.25;443.25
0;2;-2.0;999.7;362.0;423.75
0;2;-4.0;1008.7;352.75;391.75
0;2;-3.1;1013.7;347.5;403.25
