Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.5;1008.4;171.25;171.0
1;1;-3.0;1002.2;162.0;162.75
0;1;-4.2;1005.6;169.5;167.5
0;1;-4.2;1009.4;178.75;178.0
0;1;-3.0;1007.8;174.0;172.25
1;1;-3.5;1006.0;168.75;168.5
0;1;5.0;1002.9;176.0;175.25
1;1;10.9;1005.1;173.75;172.0
1;1;9.7;1004.4;167.75;165.0
0;1;5.4;1003.8;166.0;168.0
0;1;3.8;1003.8;182.5;174.75
0;1;4.2;998.6;NaN;NaN
0;1;3.6;1005.4;182.25;177.5
0;1;5.8;1000.8;176.75;172.0
1;1;2.0;1000.8;185.5;182.25
1;1;1.8;1013.1;160.0;160.5
0;1;0.6;1012.7;159.5;158.75
0;1;0.6;1009.4;180.25;177.25
0;1;-0.8;1009.4;178.75;174.75
0;1;3.1;1006.2;183.0;174.25
0;1;2.1;1007.6;175.5;173.0
1;1;0.5;1011.0;175.0;172.75
1;1;-1.6;1007.8;175.25;177.5
0;1;-3.2;1004.6;169.0;164.5
0;1;-3.6;1005.0;178.0;173.0
0;1;-0.7;995.2;191.25;181.5
0;1;1.2;997.1;179.5;174.75
0;1;-0.1;1005.2;185.75;174.75
1;1;-1.0;1009.6;188.0;183.5
1;1;-1.2;1006.8;182.75;177.75
0;1;-1.0;1007.2;167.0;167.75
0;2;-2.2;1012.0;197.75;189.25
0;2;-3.7;1011.7;181.5;181.0
0;2;-2.0;1014.8;184.5;183.0
0;2;-4.8;1014.3;186.75;183.0
1;2;-2.2;1011.4;175.0;173.25
1;2;-2.1;1009.4;173.25;174.75
0;2;-0.7;1009.9;166.0;168.25
0;2;-0.8;1004.8;181.0;178.0
0;2;2.4;1009.0;181.5;179.0
0;2;0.0;1009.8;183.75;179.5
0;2;-1.0;1004.7;195.75;186.75
1;2;8.2;997.8;181.0;179.0
1;2;2.7;1005.4;187.75;188.0
0;2;1.2;1000.0;185.5;181.5
0;2;0.6;998.0;198.0;192.0
0;2;0.4;993.4;202.25;199.75
0;2;4.3;988.2;192.75;191.25
0;2;3.8;994.1;190.0;184.0
1;2;4.1;998.2;186.0;186.75
1;2;1.9;1001.2;152.5;151.75
0;2;0.7;999.6;189.5;185.5
0;2;-2.2;1000.6;198.5;191.25
0;2;-2.3;1004.6;186.25;180.5
0;2;-7.0;1011.8;182.25;176.0
