Praznik;Mjesec;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;1005.9;147.75;145.75
1;1;1003.3;161.75;160.0
0;1;1007.6;344.0;393.5
0;1;1009.2;363.0;436.0
0;1;1007.6;369.5;407.5
1;1;1004.9;177.25;176.25
0;1;1005.3;214.75;225.75
1;1;1003.9;169.75;171.75
1;1;1003.9;163.0;166.75
0;1;1005.6;366.5;448.0
0;1;1001.7;355.25;446.5
0;1;1004.5;NaN;441.5
0;1;1001.4;374.75;427.0
0;1;1003.1;350.75;422.25
1;1;1005.7;193.25;191.25
1;1;1015.1;150.25;152.25
0;1;1011.8;367.75;426.25
0;1;1011.2;351.0;422.0
0;1;1008.0;354.0;423.0
0;1;1006.5;367.25;426.25
0;1;1010.3;385.0;462.25
1;1;1011.7;187.0;200.0
1;1;1007.0;170.75;169.0
0;1;1005.4;368.0;428.0
0;1;1003.2;354.25;414.25
0;1;994.4;343.0;411.0
0;1;999.7;354.5;416.25
0;1;1009.2;361.75;457.5
1;1;1010.2;182.5;184.25
1;1;1006.2;168.25;169.75
0;1;1009.9;349.25;398.75
0;2;1012.6;336.0;398.25
0;2;1013.5;334.5;374.25
0;2;1014.6;328.75;388.5
0;2;1016.2;320.5;343.0
1;2;1010.0;182.25;185.25
1;2;1011.0;171.5;172.5
0;2;1009.8;303.25;377.75
0;2;1003.9;317.75;344.75
0;2;1009.3;319.5;376.25
0;2;1010.5;310.0;382.0
0;2;1002.2;324.75;346.0
1;2;999.9;173.25;174.5
1;2;1003.2;175.25;176.5
0;2;999.2;381.5;429.5
0;2;995.8;372.75;443.75
0;2;992.8;375.25;444.0
0;2;990.9;375.5;427.5
0;2;994.8;354.5;436.25
1;2;998.9;155.0;158.25
1;2;1001.6;142.5;141.25
0;2;1001.3;372.25;443.25
0;2;999.7;362.0;423.75
0;2;1008.7;352.75;391.75
0;2;1013.7;347.5;403.25
0;2;1012.0;353.75;394.25
1;2;1012.3;180.75;201.25
1;2;1003.1;170.75;170.75
0;2;1009.2;384.5;448.25
0;3;1015.4;372.0;446.5
0;3;1015.2;385.0;447.25
0;3;1016.7;373.75;448.0
0;3;1017.7;352.5;417.75
1;3;1009.5;183.864468864;187.583941606
1;3;1006.3;171.306569343;172.396363636
0;3;1017.3;350.131086142;400.791970803
0;3;1021.3;360.629482072;422.022813688
0;3;1010.8;361.856031128;405.642023346
0;3;1006.2;353.6796875;396.747081712
0;3;1005.6;340.15234375;400.65234375
1;3;1006.4;185.431906615;186.75
1;3;1002.5;182.19921875;182.661478599
0;3;1003.7;392.840466926;400.515625
0;3;1004.6;326.5;391.75
0;3;999.2;354.25;449.25
0;3;987.8;350.5;427.0
0;3;998.2;358.25;425.5
1;3;1006.9;180.25;176.5
1;3;1013.3;177.75;185.25
0;3;1017.5;352.5;416.75
0;3;1020.9;345.0;393.25
0;3;1018.8;332.75;378.75
0;3;1018.5;312.0;390.25
0;3;1006.9;309.0;366.5
1;3;998.4;211.25;230.0
1;3;1002.2;183.0;185.5
0;3;998.2;NaN;NaN
0;3;1002.2;NaN;NaN
0;3;1003.6;328.75;382.25
0;3;1007.1;342.5;395.75
0;4;1009.1;NaN;NaN
1;4;1007.5;NaN;NaN
1;4;1001.0;NaN;NaN
0;4;998.7;NaN;NaN
0;4;1009.6;NaN;NaN
0;4;1012.6;NaN;NaN
0;4;1008.6;NaN;NaN
0;4;1002.9;NaN;NaN
1;4;998.9;NaN;NaN
1;4;1005.6;NaN;NaN
0;4;1006.9;NaN;NaN
0;4;997.4;NaN;NaN
0;4;1000.6;NaN;NaN
0;4;998.7;NaN;NaN
0;4;1001.3;NaN;NaN
1;4;1005.9;NaN;NaN
1;4;1008.6;154.0;156.0
0;4;1008.1;324.75;390.5
0;4;1003.6;329.25;374.75
0;4;1004.3;339.75;389.5
0;4;1003.5;319.5;365.0
0;4;1000.4;281.25;340.25
1;4;999.6;153.25;155.25
1;4;999.7;137.75;140.25
1;4;1001.6;146.0;148.75
0;4;999.6;346.5;410.25
0;4;998.9;310.0;374.75
0;4;998.2;323.75;425.25
0;4;996.8;333.0;390.75
1;4;994.2;160.5;176.5
1;5;989.5;145.0;145.25
0;5;995.1;288.5;361.5
0;5;987.6;318.0;379.25
0;5;1002.3;NaN;379.0
0;5;1008.9;289.981818182;329.769633508
0;5;1013.0;301.408759124;349.080586081
1;5;1007.0;158.531120332;165.864197531
1;5;1002.2;146.315352697;150.468619247
0;5;1010.5;294.25;355.75
0;5;1011.9;279.0;336.75
0;5;1005.7;324.5;387.5
0;5;1001.4;292.0;348.75
0;5;1004.9;NaN;NaN
1;5;1002.0;NaN;228.0
1;5;998.8;186.276422764;196.863453815
0;5;1005.1;354.928286853;378.895652174
0;5;1007.5;332.877729258;378.81981982
0;5;1006.6;333.521367521;399.546255507
0;5;1004.8;341.756521739;386.143478261
0;5;1004.3;314.959459459;383.214953271
1;5;1004.8;134.071748879;184.208888889
1;5;1004.5;146.970588235;150.583333333
0;5;1007.1;328.296460177;377.138528139
0;5;1006.6;372.727678571;440.674107143
0;5;1007.9;349.827272727;403.392307692
0;5;1006.0;339.692982456;391.995670996
0;5;998.0;348.612765957;471.256410256
1;5;1000.4;170.724576271;234.572052402
1;5;1004.6;145.811965812;195.862222222
0;5;1006.0;387.084745763;422.472340426
0;5;1000.4;351.987068966;382.594827586
