Praznik;Mjesec;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;1001.4;162.5;164.25
1;1;1004.5;179.25;184.5
0;1;1008.4;380.0;348.5
0;1;1007.6;387.0;355.75
0;1;1006.4;393.5;362.25
1;1;1002.5;198.25;197.75
0;1;1005.6;237.5;230.75
1;1;1004.1;193.75;202.25
1;1;1002.9;183.0;192.75
0;1;1005.0;403.75;346.5
0;1;998.0;416.25;369.0
0;1;1006.1;375.25;341.0
0;1;999.7;397.5;358.5
0;1;1002.7;391.5;355.5
1;1;1010.3;174.0;189.0
1;1;1014.1;164.0;175.75
0;1;1009.2;388.0;357.5
0;1;1010.2;362.75;334.25
0;1;1006.5;422.0;368.0
0;1;1005.8;425.5;390.0
0;1;1010.1;412.75;340.5
1;1;1008.9;205.5;206.0
1;1;1004.9;185.25;200.75
0;1;1005.4;356.5;335.5
0;1;998.7;361.5;338.5
0;1;994.4;383.0;350.0
0;1;1001.6;346.5;315.75
0;1;1008.7;380.25;343.75
1;1;1007.3;191.5;197.0
1;1;1005.8;187.0;188.75
0;1;1010.7;354.5;313.25
0;2;1011.2;345.75;306.5
0;2;1013.7;333.5;308.5
0;2;1012.6;316.25;301.0
0;2;1013.6;286.25;277.5
1;2;1007.8;181.25;181.25
1;2;1009.9;175.25;185.25
0;2;1006.7;300.75;293.75
0;2;1004.6;294.25;276.5
0;2;1007.4;306.75;280.5
0;2;1006.9;294.75;280.5
0;2;999.5;287.5;278.75
1;2;1005.7;198.75;204.0
1;2;1000.6;184.25;191.0
0;2;998.9;424.5;372.25
0;2;994.0;427.5;373.0
0;2;990.0;406.5;375.25
0;2;992.6;419.25;372.0
0;2;996.7;392.5;337.75
1;2;999.2;149.5;161.75
1;2;998.7;185.25;194.25
0;2;1000.7;396.0;359.75
0;2;1000.9;410.5;374.75
0;2;1009.0;358.0;336.0
0;2;1011.6;356.25;338.25
0;2;1011.4;332.5;310.5
1;2;1007.2;188.25;189.25
1;2;1003.6;199.0;206.25
0;2;1010.8;407.5;357.5
0;3;1015.0;417.0;379.25
0;3;1015.4;418.25;373.25
0;3;1016.6;413.5;363.25
0;3;1015.5;364.0;325.0
1;3;1005.0;195.578754579;196.834558824
1;3;1007.3;NaN;180.767241379
0;3;1019.4;365.569343066;341.208029197
0;3;1015.2;355.933333333;331.832684825
0;3;1005.9;360.151750973;338.345098039
0;3;1003.1;356.26;337.01953125
0;3;1003.4;355.0078125;321.241245136
1;3;1002.4;197.25390625;200.97254902
1;3;1000.7;202.57421875;210.207843137
0;3;1003.9;374.59375;339.471698113
0;3;1001.6;420.75;374.0
0;3;993.6;433.75;372.25
0;3;991.5;390.0;339.25
0;3;1001.2;418.0;364.0
1;3;1007.8;205.0;196.5
1;3;1012.6;190.0;189.0
0;3;1018.2;342.5;307.5
0;3;1017.5;338.25;322.0
0;3;1015.7;340.5;294.75
0;3;1012.5;374.25;333.75
0;3;999.3;363.25;312.75
1;3;995.6;207.75;199.5
1;3;998.6;202.25;194.25
0;3;998.0;NaN;NaN
0;3;1000.7;375.75;297.25
0;3;1001.3;326.0;282.0
0;3;1005.2;319.25;279.75
0;4;1006.3;NaN;NaN
1;4;1002.6;NaN;NaN
1;4;997.8;NaN;NaN
0;4;998.2;NaN;NaN
0;4;1009.1;NaN;NaN
0;4;1010.0;NaN;NaN
0;4;1000.0;NaN;NaN
0;4;999.0;NaN;NaN
1;4;997.7;NaN;NaN
1;4;1001.0;NaN;NaN
0;4;1002.8;NaN;NaN
0;4;994.1;NaN;NaN
0;4;998.4;NaN;NaN
0;4;997.5;NaN;NaN
0;4;1001.2;NaN;NaN
1;4;1005.4;163.25;163.75
1;4;1006.1;152.5;151.5
0;4;1003.8;312.25;252.25
0;4;1000.7;335.0;301.5
0;4;1002.4;332.5;291.0
0;4;999.6;312.5;280.25
0;4;997.2;232.0;184.0
1;4;997.5;151.5;151.25
1;4;998.7;147.75;152.75
1;4;998.0;157.75;159.5
0;4;998.1;356.5;312.25
0;4;996.8;367.25;320.0
0;4;996.9;373.5;324.5
0;4;994.7;339.25;287.5
1;4;990.2;176.25;175.5
1;5;990.0;156.25;157.25
0;5;991.5;292.75;249.5
0;5;990.7;317.5;274.75
0;5;1001.3;317.75;264.5
0;5;1009.1;325.919413919;284.802197802
0;5;1010.0;302.072033898;264.07755102
1;5;1004.3;166.134693878;162.049180328
1;5;1009.1;174.917073171;167.209756098
0;5;1009.6;288.0;254.0
0;5;1008.4;332.5;277.5
0;5;1002.6;317.25;255.0
0;5;997.7;311.5;250.75
0;5;1003.7;NaN;NaN
1;5;996.8;222.75;227.75
1;5;1001.2;201.519047619;205.523148148
0;5;1004.8;333.786069652;296.175609756
0;5;1005.0;346.618025751;310.888412017
0;5;1003.9;329.983471074;289.966942149
0;5;1001.6;346.004065041;289.619834711
0;5;1001.9;322.785714286;268.533039648
1;5;1003.4;192.620853081;187.259803922
1;5;1001.7;164.799107143;168.623318386
0;5;1006.4;369.395348837;331.171171171
0;5;1003.1;379.592105263;331.547826087
0;5;1006.0;372.25;320.0
0;5;1000.3;370.398230088;320.612068966
0;5;993.5;438.309734513;389.225531915
1;5;1000.5;172.399122807;167.145833333
1;5;1003.6;175.132478632;165.948717949
0;5;1002.4;365.622881356;315.49137931
0;5;996.8;453.812765957;380.787234043
