Praznik;Mjesec;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;1001.5;165.0;167.0
1;1;1004.9;184.5;184.25
0;1;1009.0;321.25;271.0
0;1;1007.8;323.5;263.0
0;1;1006.8;330.25;267.5
1;1;1002.4;197.0;195.25
0;1;1005.6;216.0;206.25
1;1;1004.7;198.5;198.25
1;1;1003.1;194.25;192.75
0;1;1004.5;300.75;254.0
0;1;998.3;322.25;281.0
0;1;1006.8;323.25;284.75
0;1;1000.7;344.5;291.25
0;1;1002.6;294.5;264.5
1;1;1011.8;187.25;182.5
1;1;1014.1;180.75;179.75
0;1;1008.9;320.75;256.5
0;1;1010.1;311.25;257.0
0;1;1006.4;341.25;283.75
0;1;1006.6;325.75;264.25
0;1;1010.7;288.0;242.25
1;1;1008.9;205.25;196.75
1;1;1005.1;206.25;201.75
0;1;1005.9;320.75;290.0
0;1;998.0;322.5;296.0
0;1;995.2;323.0;279.25
0;1;1002.6;307.25;268.0
0;1;1009.1;293.25;242.5
1;1;1007.3;192.5;190.0
1;1;1006.4;186.0;182.5
0;1;1011.3;295.5;257.5
0;2;1011.5;277.5;249.25
0;2;1014.6;282.5;246.25
0;2;1012.8;273.0;242.5
0;2;1013.4;254.5;222.75
1;2;1008.6;186.75;185.25
1;2;1010.3;191.0;188.25
0;2;1006.6;265.25;238.0
0;2;1006.0;265.0;233.0
0;2;1008.4;269.5;243.75
0;2;1006.5;265.5;244.5
0;2;999.3;256.75;228.0
1;2;1006.2;202.0;199.0
1;2;1000.8;196.0;188.75
0;2;999.0;325.0;276.5
0;2;994.2;339.5;281.5
0;2;989.5;333.0;282.5
0;2;994.1;364.5;317.25
0;2;997.6;303.5;271.25
1;2;1000.0;168.25;171.5
1;2;999.0;202.75;209.5
0;2;1001.1;334.5;303.5
0;2;1002.0;330.25;275.5
0;2;1010.7;323.0;257.75
0;2;1012.5;342.75;295.0
0;2;1012.2;285.5;248.0
1;2;1006.6;199.25;194.25
1;2;1004.7;218.75;213.25
0;2;1011.3;324.75;283.5
0;3;1015.7;329.0;282.75
0;3;1015.9;318.5;270.25
0;3;1017.5;324.0;277.0
0;3;1015.1;298.5;247.0
1;3;1004.9;201.428571429;203.642335766
1;3;1009.3;186.175182482;182.795620438
0;3;1020.4;333.666666667;300.379562044
0;3;1015.0;315.847058824;266.708
0;3;1006.5;336.25;276.04296875
0;3;1003.8;336.76171875;302.57421875
0;3;1004.6;307.01953125;275.25
1;3;1002.5;211.643137255;208.1640625
1;3;1001.1;215.575875486;209.822834646
0;3;1004.8;329.25;287.25
0;3;1002.7;348.75;301.0
0;3;992.7;341.5;291.75
0;3;992.2;334.75;301.75
0;3;1002.9;320.0;276.25
1;3;1009.3;201.0;208.5
1;3;1013.9;198.5;206.0
0;3;1019.2;287.5;261.5
0;3;1017.9;331.25;276.5
0;3;1016.9;274.25;254.5
0;3;1012.7;315.25;280.0
0;3;999.7;307.25;273.75
1;3;997.3;205.5;207.0
1;3;999.1;193.75;205.25
0;3;999.0;NaN;NaN
0;3;1001.7;252.25;245.0
0;3;1002.3;260.25;249.25
0;3;1006.5;264.75;243.0
0;4;1007.7;NaN;NaN
1;4;1002.9;NaN;NaN
1;4;998.7;NaN;NaN
0;4;1002.6;NaN;NaN
0;4;1010.5;NaN;NaN
0;4;1010.4;NaN;NaN
0;4;999.1;NaN;NaN
0;4;999.2;NaN;NaN
1;4;1000.0;NaN;NaN
1;4;1002.4;NaN;NaN
0;4;1002.9;NaN;NaN
0;4;999.3;NaN;NaN
0;4;999.5;NaN;NaN
0;4;999.2;NaN;NaN
0;4;1002.7;NaN;NaN
1;4;1006.4;167.25;174.25
1;4;1007.3;156.0;158.75
0;4;1004.0;238.0;215.75
0;4;1001.2;268.0;214.75
0;4;1003.0;245.25;227.5
0;4;999.9;261.75;235.75
0;4;997.8;173.5;164.5
1;4;998.9;152.5;150.75
1;4;999.6;151.0;151.25
1;4;998.7;160.75;161.75
0;4;998.4;291.0;248.5
0;4;997.0;287.5;254.75
0;4;997.4;290.75;260.5
0;4;994.9;243.25;203.5
1;4;991.1;185.25;175.25
1;5;991.6;161.5;166.25
0;5;991.2;215.25;201.25
0;5;994.5;264.25;222.75
0;5;1003.1;225.75;190.5
0;5;1010.4;231.626373626;198.156934307
0;5;1010.1;236.357142857;209.738589212
1;5;1004.9;161.407407407;163.433884298
1;5;1010.4;167.234042553;161.327659574
0;5;1010.5;220.75;198.5
0;5;1008.4;218.5;200.75
0;5;1002.9;229.0;209.25
0;5;998.3;233.0;206.5
0;5;1004.1;NaN;NaN
1;5;997.1;219.75;205.0
1;5;1001.9;213.796460177;207.502242152
0;5;1005.7;266.180094787;229.693023256
0;5;1005.3;288.942731278;245.654867257
0;5;1004.3;264.042372881;237.445945946
0;5;1002.1;278.479820628;243.601851852
0;5;1002.4;216.103004292;186.670995671
1;5;1003.9;179.942307692;179.823529412
1;5;1002.5;173.389423077;171.0
0;5;1006.9;280.230088496;262.793577982
0;5;1003.7;291.057268722;233.034632035
0;5;1006.9;270.75;239.5
0;5;1000.2;259.308370044;216.688596491
0;5;994.3;293.276595745;208.215859031
1;5;1001.1;168.755458515;168.439130435
1;5;1004.1;162.886075949;161.483050847
0;5;1002.5;267.725321888;228.415584416
0;5;997.0;301.939914163;231.356223176
