Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;0.95;1001.6;158.25;162.5
1;1;0.91;1004.1;172.25;179.25
0;1;0.95;1008.1;406.5;380.0
0;1;0.78;1007.7;402.0;387.0
0;1;0.8;1006.1;413.25;393.5
1;1;0.72;1002.7;194.75;198.25
0;1;0.68;1005.4;227.5;237.5
1;1;0.66;1004.0;189.0;193.75
1;1;0.6;1002.8;176.5;183.0
0;1;0.89;1005.2;451.75;403.75
0;1;0.97;998.4;458.25;416.25
0;1;0.86;1005.9;413.0;375.25
0;1;0.86;999.5;441.5;397.5
0;1;0.79;1002.6;422.25;391.5
1;1;0.88;1009.8;166.0;174.0
1;1;0.88;1014.1;162.5;164.0
0;1;0.85;1009.4;431.25;388.0
0;1;0.96;1010.1;386.75;362.75
0;1;0.97;1006.4;464.25;422.0
0;1;0.6;1005.7;471.25;425.5
0;1;0.56;1009.9;449.5;412.75
1;1;0.61;1009.4;205.5;205.5
1;1;0.55;1004.8;183.0;185.25
0;1;0.56;1005.1;388.75;356.5
0;1;0.63;999.0;406.5;361.5
0;1;0.49;994.1;428.25;383.0
0;1;0.89;1001.1;415.0;346.5
0;1;0.73;1008.3;445.25;380.25
1;1;0.77;1007.4;192.75;191.5
1;1;0.66;1005.6;190.75;187.0
0;1;0.78;1010.3;414.5;354.5
0;2;0.75;1011.0;393.25;345.75
0;2;0.74;1013.1;397.25;333.5
0;2;0.69;1012.5;356.75;316.25
0;2;0.49;1013.9;333.5;286.25
1;2;0.29;1007.6;181.0;181.25
1;2;0.37;1009.6;180.25;175.25
0;2;0.34;1006.6;365.0;300.75
0;2;0.34;1004.1;345.75;294.25
0;2;0.34;1007.1;372.0;306.75
0;2;0.45;1007.0;326.75;294.75
0;2;0.4;999.5;331.0;287.5
1;2;0.52;1004.9;200.0;198.75
1;2;0.87;1000.5;182.25;184.25
0;2;0.91;998.3;476.0;424.5
0;2;0.89;994.1;489.75;427.5
0;2;0.91;990.3;452.75;406.5
0;2;0.9;992.5;462.75;419.25
0;2;0.86;996.1;443.75;392.5
1;2;0.65;998.5;158.5;149.5
1;2;0.53;998.5;185.75;185.25
0;2;0.79;1000.3;443.0;396.0
0;2;0.8;1000.2;435.75;410.5
0;2;0.52;1008.3;402.75;358.0
0;2;0.44;1011.4;382.0;356.25
0;2;0.48;1010.7;352.0;332.5
1;2;0.63;1007.4;190.25;188.25
1;2;0.75;1003.0;195.75;199.0
0;2;0.75;1010.2;468.75;407.5
0;3;0.74;1014.9;449.5;417.0
0;3;0.89;1014.7;439.5;418.25
0;3;0.76;1016.4;447.25;413.5
0;3;0.68;1015.3;413.5;364.0
1;3;0.69;1005.2;199.671532847;195.578754579
1;3;0.36;1006.7;182.151515152;NaN
0;3;0.3;1018.9;403.912408759;365.569343066
0;3;0.23;1015.6;390.8;355.933333333
0;3;0.23;1005.8;431.05859375;360.151750973
0;3;0.17;1003.1;391.6015625;356.26
0;3;0.22;1003.2;395.326848249;355.0078125
1;3;0.27;1002.8;197.682352941;197.25390625
1;3;0.42;1000.7;195.19140625;202.57421875
0;3;0.53;1003.8;418.9453125;374.59375
0;3;0.43;1001.4;432.25;420.75
0;3;0.9;994.0;477.75;433.75
0;3;0.51;991.3;429.5;390.0
0;3;0.47;1000.2;436.25;418.0
1;3;0.6;1007.5;217.25;205.0
1;3;0.42;1012.3;188.5;190.0
0;3;0.45;1017.6;406.25;342.5
0;3;0.27;1017.4;385.75;338.25
0;3;0.36;1015.5;407.25;340.5
0;3;0.2;1013.3;422.5;374.25
0;3;0.24;999.3;374.5;363.25
1;3;0.34;995.0;206.75;207.75
1;3;0.63;998.5;201.25;202.25
0;3;0.92;997.8;NaN;NaN
0;3;0.39;1000.4;414.5;375.75
0;3;0.25;1001.0;377.0;326.0
0;3;0.28;1005.3;368.25;319.25
0;4;0.38;1005.9;NaN;NaN
1;4;0.35;1002.7;NaN;NaN
1;4;0.34;997.7;NaN;NaN
0;4;0.37;996.2;NaN;NaN
0;4;0.44;1009.1;NaN;NaN
0;4;0.36;1010.2;NaN;NaN
0;4;0.32;1000.9;NaN;NaN
0;4;0.41;999.1;NaN;NaN
1;4;0.27;997.0;NaN;NaN
1;4;0.27;1000.7;NaN;NaN
0;4;0.35;1003.0;NaN;NaN
0;4;0.29;992.0;NaN;NaN
0;4;0.21;997.9;NaN;NaN
0;4;0.38;997.0;NaN;NaN
0;4;0.45;1000.8;NaN;NaN
1;4;0.48;1005.0;172.75;163.25
1;4;0.29;1006.2;160.75;152.5
0;4;0.21;1003.9;381.5;312.25
0;4;0.29;1000.7;380.0;335.0
