Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;0.94;1008.4;171.25;171.0
1;1;0.96;1002.2;162.0;162.75
0;1;0.96;1005.6;169.5;167.5
0;1;0.92;1009.4;178.75;178.0
0;1;0.86;1007.8;174.0;172.25
1;1;0.9;1006.0;168.75;168.5
0;1;0.84;1002.9;176.0;175.25
1;1;0.72;1005.1;173.75;172.0
1;1;0.96;1004.4;167.75;165.0
0;1;0.98;1003.8;166.0;168.0
0;1;0.93;1003.8;182.5;174.75
0;1;0.97;998.6;NaN;NaN
0;1;0.96;1005.4;182.25;177.5
0;1;0.94;1000.8;176.75;172.0
1;1;0.92;1000.8;185.5;182.25
1;1;0.98;1013.1;160.0;160.5
0;1;0.98;1012.7;159.5;158.75
0;1;0.93;1009.4;180.25;177.25
0;1;0.98;1009.4;178.75;174.75
0;1;0.86;1006.2;183.0;174.25
0;1;0.7;1007.6;175.5;173.0
1;1;0.68;1011.0;175.0;172.75
1;1;0.68;1007.8;175.25;177.5
0;1;0.94;1004.6;169.0;164.5
0;1;0.84;1005.0;178.0;173.0
0;1;0.76;995.2;191.25;181.5
0;1;0.86;997.1;179.5;174.75
0;1;0.88;1005.2;185.75;174.75
1;1;0.81;1009.6;188.0;183.5
1;1;0.76;1006.8;182.75;177.75
0;1;0.74;1007.2;167.0;167.75
0;2;0.77;1012.0;197.75;189.25
0;2;0.89;1011.7;181.5;181.0
0;2;0.73;1014.8;184.5;183.0
0;2;0.9;1014.3;186.75;183.0
1;2;0.9;1011.4;175.0;173.25
1;2;0.9;1009.4;173.25;174.75
0;2;0.87;1009.9;166.0;168.25
0;2;0.86;1004.8;181.0;178.0
0;2;0.88;1009.0;181.5;179.0
0;2;0.88;1009.8;183.75;179.5
0;2;0.87;1004.7;195.75;186.75
1;2;0.59;997.8;181.0;179.0
1;2;0.6;1005.4;187.75;188.0
0;2;0.94;1000.0;185.5;181.5
0;2;0.88;998.0;198.0;192.0
0;2;0.92;993.4;202.25;199.75
0;2;0.92;988.2;192.75;191.25
0;2;0.95;994.1;190.0;184.0
1;2;0.73;998.2;186.0;186.75
1;2;0.93;1001.2;152.5;151.75
0;2;0.81;999.6;189.5;185.5
0;2;0.71;1000.6;198.5;191.25
0;2;0.66;1004.6;186.25;180.5
0;2;0.9;1011.8;182.25;176.0
0;2;0.8;1012.6;189.0;184.0
1;2;0.74;1012.8;192.25;190.25
1;2;0.79;1003.6;182.25;184.5
