Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;0.93;1008.5;NaN;171.25
1;1;0.96;1002.2;161.75;162.0
0;1;0.95;1005.3;171.5;169.5
0;1;0.92;1009.4;181.0;178.75
0;1;0.88;1007.7;175.0;174.0
1;1;0.91;1006.1;175.25;168.75
0;1;0.83;1002.5;177.75;176.0
1;1;0.75;1005.2;170.0;173.75
1;1;0.89;1004.8;168.75;167.75
0;1;0.99;1003.5;167.5;166.0
0;1;0.92;1004.0;185.0;182.5
0;1;0.97;998.2;191.5;NaN
0;1;0.96;1006.0;181.25;182.25
0;1;0.93;1000.9;186.75;176.75
1;1;0.92;1001.0;180.5;185.5
1;1;0.97;1013.0;162.25;160.0
0;1;0.98;1013.2;160.5;159.5
0;1;0.92;1009.2;182.5;180.25
0;1;0.98;1009.3;180.25;178.75
0;1;0.86;1006.1;188.25;183.0
0;1;0.7;1007.7;177.0;175.5
1;1;0.68;1011.1;175.5;175.0
1;1;0.65;1007.8;174.75;175.25
0;1;0.91;1004.8;167.5;169.0
0;1;0.77;1005.6;180.75;178.0
0;1;0.77;995.7;197.25;191.25
0;1;0.86;997.0;186.75;179.5
0;1;0.89;1004.9;186.25;185.75
1;1;0.79;1009.7;188.25;188.0
1;1;0.76;1007.0;181.75;182.75
0;1;0.73;1007.2;170.5;167.0
0;2;0.76;1012.0;205.25;197.75
0;2;0.9;1011.8;185.25;181.5
0;2;0.73;1015.2;186.75;184.5
0;2;0.9;1013.9;194.0;186.75
1;2;0.9;1011.8;171.0;175.0
1;2;0.89;1009.1;174.75;173.25
0;2;0.86;1010.1;168.75;166.0
0;2;0.86;1004.9;185.5;181.0
0;2;0.77;1008.7;185.0;181.5
0;2;0.87;1009.9;184.0;183.75
0;2;0.86;1005.3;194.5;195.75
1;2;0.59;997.9;184.5;181.0
1;2;0.58;1005.5;185.25;187.75
0;2;0.93;1000.2;185.0;185.5
0;2;0.87;998.5;205.75;198.0
0;2;0.9;993.5;209.75;202.25
0;2;0.92;988.1;194.5;192.75
0;2;0.95;994.2;193.75;190.0
1;2;0.75;998.3;182.25;186.0
1;2;0.87;1001.0;151.25;152.5
0;2;0.73;999.5;188.75;189.5
0;2;0.68;1000.7;204.5;198.5
0;2;0.68;1004.4;188.25;186.25
0;2;0.89;1011.6;187.5;182.25
0;2;0.83;1012.8;194.0;189.0
1;2;0.7;1012.6;192.0;192.25
1;2;0.8;1004.1;180.5;182.25
0;2;0.86;1005.7;190.5;184.75
0;3;0.87;1012.7;202.5;195.5
0;3;0.75;1015.7;205.75;200.0
0;3;0.87;1016.0;191.75;188.5
0;3;0.84;1017.4;191.25;187.5
1;3;0.89;1013.4;180.25;179.0
1;3;0.89;1004.8;180.649635036;181.076642336
0;3;0.39;1012.5;176.0;172.344322344
0;3;0.75;1021.7;197.799270073;191.03649635
0;3;0.71;1012.7;196.46184739;197.019455253
0;3;0.67;1006.3;203.054474708;197.765625
0;3;0.43;1003.9;197.62109375;195.435797665
1;3;0.52;1005.8;194.34765625;193.276264591
1;3;0.68;1002.2;191.875;189.84375
0;3;0.62;1001.0;188.40234375;188.32421875
0;3;0.87;1005.2;202.0;199.25
0;3;0.89;1001.9;195.5;193.75
0;3;0.91;989.1;201.25;199.0
0;3;0.92;993.9;202.75;197.5
1;3;0.88;1004.9;191.25;190.0
1;3;0.55;1010.7;185.5;188.0
0;3;0.56;1014.9;185.75;181.0
0;3;0.86;1020.4;192.0;190.25
0;3;0.77;1018.0;196.25;194.5
