Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-5.0;0.96;1006.3;153.0;147.75
1;1;-2.0;0.95;1002.9;161.25;161.75
0;1;-3.9;0.98;1007.1;284.0;344.0
0;1;-2.8;0.8;1008.9;276.5;363.0
0;1;-2.9;0.87;1007.3;273.25;369.5
1;1;-2.4;0.88;1005.0;165.75;177.25
0;1;9.3;0.79;1005.1;195.75;214.75
1;1;11.6;0.72;1003.9;170.75;169.75
1;1;9.3;0.93;1004.1;164.25;163.0
0;1;5.7;0.95;1005.3;266.5;366.5
0;1;3.5;0.98;1001.6;278.5;355.25
0;1;4.7;0.95;1003.5;NaN;NaN
0;1;4.0;0.95;1001.7;312.5;374.75
0;1;4.8;0.96;1003.0;254.5;350.75
1;1;4.0;0.93;1005.3;178.0;193.25
1;1;2.3;0.98;1015.0;154.5;150.25
0;1;-0.3;0.99;1011.8;291.5;367.75
0;1;0.1;0.96;1011.4;286.5;351.0
0;1;-2.0;0.97;1008.4;275.0;354.0
0;1;3.5;0.65;1006.3;280.0;367.25
0;1;1.3;0.73;1010.0;285.5;385.0
1;1;-0.2;0.64;1011.7;178.25;187.0
1;1;-2.7;0.8;1007.1;171.25;170.75
0;1;-2.4;0.88;1005.2;290.25;368.0
0;1;-2.2;0.84;1003.3;275.75;354.25
0;1;-0.3;0.83;994.1;265.25;343.0
0;1;2.5;0.82;999.0;278.75;354.5
0;1;-0.9;0.77;1008.4;283.5;361.75
1;1;-2.2;0.92;1010.1;188.75;182.5
1;1;-1.3;0.82;1005.9;171.0;168.25
0;1;-1.4;0.77;1009.5;277.5;349.25
0;2;-2.1;0.66;1012.4;289.5;336.0
0;2;-3.2;0.8;1013.1;286.25;334.5
0;2;-1.6;0.75;1014.2;281.5;328.75
0;2;-3.3;0.92;1015.9;270.75;320.5
1;2;-0.7;0.94;1009.9;189.75;182.25
1;2;1.1;0.83;1011.0;170.75;171.5
0;2;1.2;0.85;1010.0;268.25;303.25
0;2;1.5;0.81;1003.3;292.25;317.75
0;2;5.7;0.78;1009.1;274.5;319.5
0;2;2.3;0.83;1010.4;273.0;310.0
0;2;-0.2;0.92;1002.5;261.25;324.75
1;2;11.0;0.55;998.6;170.75;173.25
1;2;3.0;0.54;1003.2;176.25;175.25
0;2;1.7;0.94;999.2;286.5;381.5
0;2;0.6;0.94;996.2;285.25;372.75
0;2;1.7;0.95;993.0;303.0;375.25
0;2;2.2;0.93;990.1;306.5;375.5
0;2;3.1;0.94;994.5;293.0;354.5
1;2;2.7;0.87;998.9;164.25;155.0
1;2;2.5;0.89;1001.7;142.75;142.5
0;2;-1.3;0.9;1001.2;280.0;372.25
0;2;-2.3;0.86;999.6;286.75;362.0
0;2;-5.0;0.69;1008.3;278.5;352.75
0;2;-4.4;0.66;1013.6;268.5;347.5
0;2;-2.4;0.59;1012.3;264.75;353.75
1;2;-1.3;0.7;1012.7;173.25;180.75
1;2;-1.8;0.84;1002.9;170.5;170.75
0;2;-1.3;0.9;1008.8;282.5;384.5
0;3;0.2;0.78;1015.1;298.5;372.0
0;3;0.1;0.8;1015.2;307.75;385.0
0;3;-1.3;0.81;1016.5;281.0;373.75
0;3;0.8;0.8;1017.7;266.5;352.5
1;3;0.3;0.86;1009.8;180.390510949;183.864468864
1;3;0.4;0.91;1005.9;170.087912088;171.306569343
0;3;2.2;0.43;1017.1;252.45620438;350.131086142
0;3;0.8;0.46;1021.6;283.614814815;360.629482072
0;3;0.9;0.57;1011.2;277.30078125;361.856031128
0;3;2.8;0.48;1006.3;285.902723735;353.6796875
0;3;8.8;0.48;1005.7;275.3125;340.15234375
1;3;8.0;0.56;1006.6;183.99609375;185.431906615
1;3;11.3;0.5;1002.5;180.7421875;182.19921875
0;3;14.7;0.62;1003.4;294.76953125;392.840466926
0;3;14.0;0.74;1004.7;284.0;326.5
0;3;10.8;0.74;999.5;283.75;354.25
0;3;11.4;0.93;987.3;295.25;350.5
0;3;10.9;0.69;996.9;292.75;358.25
1;3;5.9;0.91;1006.7;187.75;180.25
1;3;5.4;0.56;1013.2;177.5;177.75
0;3;4.8;0.62;1017.3;282.75;352.5
0;3;6.6;0.66;1020.7;265.0;345.0
0;3;9.1;0.56;1018.6;261.0;332.75
0;3;12.1;0.51;1018.6;261.75;312.0
0;3;11.8;0.52;1007.8;257.75;309.0
1;3;14.1;0.64;998.5;194.25;211.25
1;3;11.5;0.72;1002.0;179.0;183.0
0;3;10.0;0.91;998.0;NaN;NaN
0;3;10.7;0.91;1002.1;NaN;NaN
0;3;9.9;0.71;1003.5;273.0;328.75
0;3;13.2;0.46;1006.8;281.75;342.5
0;4;13.1;0.53;1008.7;NaN;NaN
1;4;14.8;0.67;1007.7;NaN;NaN
1;4;15.6;0.56;1001.1;NaN;NaN
