Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.6;0.95;1002.8;150.25;158.5
1;1;-0.7;0.9;1003.0;171.0;172.25
0;1;-2.5;0.97;1007.2;415.25;403.75
0;1;-1.7;0.68;1008.0;440.0;423.75
0;1;-1.8;0.75;1006.3;433.25;426.25
1;1;2.0;0.67;1002.9;186.25;187.25
0;1;12.9;0.64;1004.8;233.0;232.75
1;1;13.9;0.65;1003.3;181.0;179.75
1;1;15.9;0.5;1002.7;176.75;177.75
0;1;11.5;0.79;1004.8;492.75;489.5
0;1;4.3;0.97;999.0;486.25;495.0
0;1;6.8;0.8;1004.7;472.5;NaN
0;1;10.4;0.68;998.7;419.75;402.25
0;1;12.9;0.58;1002.2;452.75;459.25
1;1;11.4;0.69;1007.1;198.75;191.5
1;1;9.1;0.75;1014.1;162.5;163.0
0;1;9.4;0.71;1010.0;457.0;454.75
0;1;4.8;0.88;1010.1;427.5;421.0
0;1;2.2;0.95;1006.3;464.25;445.25
0;1;4.1;0.59;1005.6;473.0;448.25
0;1;2.8;0.53;1009.4;490.25;477.25
1;1;0.9;0.62;1009.6;213.0;208.0
1;1;1.5;0.46;1005.1;176.25;185.75
0;1;2.5;0.57;1004.9;461.5;439.25
0;1;0.8;0.64;1000.6;433.5;421.75
0;1;7.5;0.48;993.3;437.5;439.5
0;1;2.5;0.87;1000.1;453.0;456.75
0;1;-0.4;0.74;1008.2;482.5;470.75
1;1;0.1;0.8;1008.2;189.75;188.75
1;1;0.0;0.67;1005.4;174.0;177.0
0;1;-0.5;0.81;1009.8;444.25;457.25
0;2;-1.3;0.67;1011.4;436.0;429.75
0;2;-2.1;0.73;1013.3;433.0;417.25
0;2;1.5;0.62;1013.2;415.0;408.5
0;2;6.9;0.48;1014.6;360.0;362.0
1;2;12.8;0.44;1008.0;185.0;185.75
1;2;12.4;0.38;1010.0;176.0;178.25
0;2;15.6;0.32;1007.4;384.75;381.25
0;2;14.6;0.36;1003.3;362.0;375.25
0;2;11.4;0.38;1007.5;414.75;398.0
0;2;10.2;0.42;1008.1;385.25;374.0
0;2;14.9;0.34;999.9;381.5;370.5
1;2;6.2;0.6;1003.4;194.75;198.25
1;2;4.0;0.57;1001.0;182.75;183.5
0;2;2.1;0.93;998.6;491.25;477.5
0;2;0.7;0.89;994.4;523.5;504.0
0;2;3.0;0.92;991.8;465.25;455.75
0;2;3.5;0.89;991.8;484.5;479.0
0;2;4.6;0.84;995.1;491.5;478.75
1;2;7.3;0.63;998.0;164.75;157.5
1;2;7.0;0.48;999.4;186.5;188.25
0;2;-0.2;0.77;1000.3;490.5;475.0
0;2;-0.8;0.86;999.6;464.25;458.0
0;2;-1.3;0.55;1008.1;414.0;411.75
0;2;1.2;0.57;1012.0;425.0;418.25
0;2;1.8;0.45;1010.6;441.75;429.25
1;2;1.6;0.69;1009.5;196.75;192.25
1;2;-0.7;0.76;1002.8;189.25;193.75
0;2;0.1;0.75;1009.6;495.0;493.5
0;3;1.5;0.73;1015.2;496.0;493.5
0;3;0.6;0.72;1014.4;472.0;471.0
0;3;-0.1;0.77;1016.5;488.5;485.0
0;3;3.6;0.63;1016.2;467.0;467.5
1;3;2.5;0.71;1006.5;206.798534799;209.335766423
1;3;4.6;0.62;1006.0;174.531135531;183.959854015
0;3;4.4;0.35;1017.8;456.689781022;450.186131387
0;3;5.3;0.24;1018.2;440.390625;438.233463035
0;3;7.9;0.31;1007.5;457.90625;461.0703125
0;3;14.4;0.26;1004.2;436.726190476;430.792156863
0;3;16.9;0.27;1004.2;440.274509804;427.774319066
1;3;17.3;0.25;1003.0;198.832684825;198.45703125
1;3;16.1;0.4;1001.2;188.47265625;192.220472441
0;3;18.2;0.49;1003.7;458.3984375;455.521568627
0;3;19.0;0.41;1002.6;432.25;422.25
0;3;10.4;0.9;996.2;493.75;464.5
0;3;16.2;0.5;989.4;455.0;457.5
0;3;11.3;0.67;999.1;476.5;466.0
1;3;8.9;0.58;1006.5;178.0;198.25
1;3;9.5;0.44;1012.5;189.5;187.25
0;3;7.9;0.47;1017.8;445.0;424.5
0;3;13.4;0.35;1018.8;415.5;398.0
0;3;16.6;0.38;1016.9;426.0;408.25
0;3;18.5;0.32;1015.4;413.0;426.5
0;3;22.5;0.21;1001.7;435.25;419.25
1;3;20.0;0.34;996.0;217.75;202.5
1;3;15.1;0.53;999.9;202.25;194.75
0;3;12.3;0.85;997.9;NaN;NaN
0;3;15.0;0.55;1001.3;389.5;391.0
0;3;17.4;0.28;1001.7;390.0;383.5
0;3;19.1;0.3;1005.9;493.25;497.0
0;4;19.7;0.33;1006.7;NaN;NaN
1;4;21.0;0.41;1004.6;NaN;NaN
1;4;21.5;0.36;998.9;NaN;NaN
0;4;22.5;0.42;996.5;NaN;NaN
0;4;15.6;0.43;1008.9;NaN;NaN
0;4;17.4;0.4;1011.6;NaN;NaN
0;4;25.6;0.33;1004.5;NaN;NaN
0;4;19.3;0.46;1000.7;NaN;NaN
1;4;22.3;0.32;997.5;NaN;NaN
1;4;17.2;0.29;1002.2;NaN;NaN
0;4;18.7;0.38;1004.8;NaN;NaN
0;4;25.3;0.23;994.1;NaN;NaN
0;4;11.2;0.4;998.4;NaN;NaN
0;4;14.9;0.29;997.1;NaN;NaN
0;4;12.3;0.47;1001.1;NaN;NaN
1;4;13.5;0.44;1005.1;NaN;NaN
1;4;15.6;0.33;1007.1;156.75;157.25
0;4;16.6;0.37;1005.7;419.0;411.75
0;4;18.6;0.32;1001.6;440.0;428.75
0;4;21.2;0.3;1003.2;411.5;388.5
0;4;23.5;0.25;1001.5;428.0;413.0
0;4;22.9;0.28;998.6;342.5;322.75
1;4;23.3;0.3;998.2;158.0;163.5
1;4;23.7;0.27;998.8;143.75;145.0
1;4;21.1;0.51;999.8;157.0;162.25
0;4;14.6;0.73;999.1;434.75;428.0
0;4;16.9;0.51;997.4;416.0;418.5
0;4;15.1;0.58;997.6;472.333333333;454.25
0;4;14.6;0.77;995.5;448.25;440.75
1;4;17.6;0.6;991.9;170.25;167.0
1;5;17.9;0.59;988.9;158.5;160.75
0;5;19.6;0.47;993.6;393.0;396.5
0;5;22.2;0.41;986.7;367.0;363.25
0;5;12.6;0.36;1001.2;398.75;383.25
0;5;16.0;0.31;1009.0;385.322097378;401.907063197
0;5;17.3;0.33;1011.5;371.816849817;360.435897436
1;5;22.6;0.38;1005.5;178.18699187;178.391836735
1;5;12.6;0.81;1004.6;174.31120332;177.280487805
0;5;18.1;0.34;1009.5;422.25;412.25
0;5;23.4;0.29;1010.3;367.0;371.75
0;5;25.1;0.32;1004.0;372.75;380.25
0;5;27.1;0.27;999.2;405.0;405.0
0;5;22.4;0.49;1004.5;NaN;NaN
1;5;25.1;0.42;999.8;227.0;230.5
1;5;12.0;0.81;999.6;218.7375;210.466346154
0;5;16.9;0.46;1004.8;425.625550661;404.049107143
0;5;18.2;0.5;1005.8;402.447826087;403.245614035
0;5;22.3;0.45;1005.5;440.12601626;421.939271255
0;5;24.8;0.46;1003.0;427.37751004;425.78
0;5;26.3;0.38;1002.9;431.608108108;430.9004329
1;5;27.0;0.37;1002.8;194.737864078;193.943925234
1;5;25.6;0.42;1002.7;161.004385965;163.935064935
0;5;26.8;0.42;1005.9;495.971962617;485.692307692
0;5;26.8;0.45;1004.7;477.251121076;471.905063291
0;5;25.0;0.39;1007.2;453.5;459.25
