Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;5;7.4;0.72;1011.7;199.432234432;192.054744526
0;5;9.6;0.67;1010.3;186.378723404;180.358649789
1;5;11.0;0.63;1005.4;170.975308642;165.589211618
1;5;8.9;0.78;1011.2;170.091666667;170.76446281
0;5;14.5;0.61;1011.3;188.75;182.25
0;5;13.1;0.72;1008.4;197.5;191.0
0;5;14.3;0.67;1003.5;206.25;204.5
0;5;16.4;0.69;999.1;206.5;203.0
0;5;17.4;0.74;1004.5;NaN;NaN
1;5;16.9;0.6;997.5;214.25;214.25
1;5;10.2;0.85;1002.8;213.358974359;212.991701245
0;5;12.6;0.66;1006.7;206.180995475;193.981651376
0;5;15.7;0.64;1005.8;219.291304348;194.439655172
0;5;14.9;0.79;1004.4;198.845454545;184.540178571
0;5;16.4;0.73;1002.7;224.431111111;200.383966245
0;5;18.1;0.8;1002.9;183.034782609;184.054298643
1;5;16.1;0.85;1004.8;180.338383838;176.89119171
1;5;16.6;0.87;1003.7;177.40625;168.164705882
0;5;18.9;0.88;1007.2;222.331818182;207.254545455
0;5;18.6;0.75;1004.7;214.686098655;202.852678571
0;5;18.0;0.52;1007.4;202.0;193.0
0;5;17.1;0.67;1000.4;204.703539823;197.352422907
0;5;21.3;0.67;995.0;196.995708155;191.708860759
1;5;13.6;0.89;1002.0;168.449781659;165.103448276
1;5;13.8;0.75;1005.0;164.567099567;168.274678112
0;5;17.5;0.7;1002.5;214.206896552;205.343220339
0;5;19.0;0.84;997.7;199.564655172;200.666666667
