Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.3;0.95;1002.3;158.5;158.0
1;1;-0.5;0.9;1003.2;172.25;170.75
0;1;-2.4;0.96;1007.4;403.75;405.75
0;1;-1.7;0.66;1007.7;423.75;408.25
0;1;-1.7;0.75;1006.2;426.25;422.75
1;1;2.1;0.71;1002.8;187.25;186.75
0;1;13.1;0.63;1004.8;232.75;233.25
1;1;14.4;0.62;1003.5;179.75;185.5
1;1;15.2;0.5;1002.8;177.75;178.0
0;1;11.1;0.89;1004.2;489.5;466.0
0;1;4.3;0.97;998.5;495.0;491.25
0;1;7.0;0.81;1005.3;NaN;NaN
0;1;10.1;0.68;998.7;402.25;409.0
0;1;12.4;0.61;1002.3;459.25;427.75
1;1;12.5;0.63;1007.8;191.5;173.25
1;1;9.9;0.73;1014.0;163.0;161.5
0;1;10.5;0.62;1009.9;454.75;450.0
0;1;4.8;0.91;1010.2;421.0;399.0
0;1;2.3;0.95;1006.2;445.25;450.0
0;1;3.9;0.61;1005.5;448.25;450.0
0;1;2.8;0.53;1009.2;477.25;461.0
1;1;0.8;0.6;1010.0;208.0;203.5
1;1;1.4;0.46;1004.9;185.75;184.25
0;1;1.8;0.54;1004.9;439.25;418.25
0;1;1.0;0.62;1000.0;421.75;429.0
0;1;7.0;0.47;993.7;439.5;446.25
0;1;2.1;0.88;1000.5;456.75;433.5
0;1;0.0;0.69;1008.3;470.75;457.75
1;1;0.0;0.79;1007.9;188.75;185.0
1;1;0.0;0.66;1005.4;177.0;182.75
0;1;-0.4;0.78;1009.9;457.25;437.25
0;2;-1.3;0.68;1011.1;429.75;421.0
0;2;-2.2;0.73;1013.1;417.25;413.75
0;2;1.6;0.61;1012.7;408.5;376.25
0;2;7.4;0.46;1014.3;362.0;350.75
1;2;15.1;0.28;1007.5;185.75;187.5
1;2;13.5;0.32;1009.7;178.25;179.0
0;2;17.0;0.25;1007.0;381.25;372.0
0;2;14.7;0.31;1003.3;375.25;353.5
0;2;11.8;0.36;1007.2;398.0;403.75
0;2;10.1;0.4;1007.5;374.0;338.75
0;2;16.0;0.29;999.5;370.5;364.75
1;2;5.1;0.53;1003.7;198.25;199.0
1;2;4.0;0.6;1000.8;183.5;184.0
0;2;2.1;0.92;998.4;477.5;481.5
0;2;0.6;0.89;994.0;504.0;503.0
0;2;3.1;0.92;991.5;455.75;477.25
0;2;3.8;0.9;992.2;479.0;479.25
0;2;4.6;0.84;995.3;478.75;468.0
1;2;7.4;0.61;998.0;157.5;160.25
1;2;6.5;0.5;998.9;188.25;185.5
0;2;-0.1;0.77;1000.3;475.0;477.25
0;2;-0.7;0.84;999.7;458.0;458.25
0;2;-0.6;0.52;1008.0;411.75;395.25
0;2;1.4;0.52;1011.7;418.25;415.75
0;2;2.4;0.45;1010.1;429.25;392.0
1;2;1.5;0.67;1008.7;192.25;190.5
1;2;-0.3;0.74;1002.7;193.75;192.5
0;2;0.1;0.76;1009.9;493.5;488.5
0;3;2.3;0.68;1014.8;493.5;482.75
0;3;0.5;0.77;1014.3;471.0;448.25
0;3;0.0;0.77;1016.4;485.0;465.75
0;3;3.7;0.66;1016.2;467.5;440.5
1;3;2.8;0.7;1005.9;209.335766423;207.288321168
1;3;5.1;0.61;1005.8;183.959854015;183.248175182
0;3;4.3;0.35;1018.1;450.186131387;443.725274725
0;3;5.7;0.22;1017.4;438.233463035;429.922178988
0;3;8.6;0.28;1006.8;461.0703125;447.02734375
0;3;15.7;0.21;1003.9;430.792156863;408.175097276
