6;1;-4.5;171.0
7;1;-3.0;162.75
1;1;-4.2;167.5
2;1;-4.2;178.0
3;1;-3.0;172.25
4;1;-3.5;168.5
5;1;5.0;175.25
6;1;10.9;172.0
7;1;9.7;165.0
1;1;5.4;168.0
2;1;3.8;174.75
3;1;4.2;NaN
4;1;3.6;177.5
5;1;5.8;172.0
6;1;2.0;182.25
7;1;1.8;160.5
1;1;0.6;158.75
2;1;0.6;177.25
3;1;-0.8;174.75
4;1;3.1;174.25
5;1;2.1;173.0
6;1;0.5;172.75
7;1;-1.6;177.5
1;1;-3.2;164.5
2;1;-3.6;173.0
3;1;-0.7;181.5
4;1;1.2;174.75
5;1;-0.1;174.75
6;1;-1.0;183.5
7;1;-1.2;177.75
1;1;-1.0;167.75
2;2;-2.2;189.25
3;2;-3.7;181.0
4;2;-2.0;183.0
5;2;-4.8;183.0
6;2;-2.2;173.25
7;2;-2.1;174.75
1;2;-0.7;168.25
2;2;-0.8;178.0
3;2;2.4;179.0
4;2;0.0;179.5
5;2;-1.0;186.75
6;2;8.2;179.0
7;2;2.7;188.0
1;2;1.2;181.5
2;2;0.6;192.0
3;2;0.4;199.75
4;2;4.3;191.25
5;2;3.8;184.0
6;2;4.1;186.75
7;2;1.9;151.75
1;2;0.7;185.5
2;2;-2.2;191.25
3;2;-2.3;180.5
4;2;-7.0;176.0
5;2;-6.8;184.0
6;2;-1.6;190.25
7;2;-2.2;184.5
1;2;-1.0;182.25
2;3;0.1;188.5
3;3;1.0;193.25
4;3;-1.8;182.25
5;3;0.1;184.0
6;3;-0.2;182.5
7;3;-2.7;178.073260073
1;3;1.9;172.286764706
2;3;-4.6;187.018050542
3;3;-4.4;188.80859375
4;3;-2.0;195.73151751
5;3;2.4;188.031128405
6;3;6.1;191.984375
7;3;7.0;189.128404669
1;3;11.0;185.7265625
2;3;9.8;190.75
3;3;8.6;190.25
4;3;11.0;192.0
5;3;5.0;191.5
6;3;6.5;192.25
7;3;6.0;188.5
1;3;5.0;182.0
2;3;0.6;184.0
3;3;1.8;186.5
4;3;4.2;199.25
5;3;4.8;193.5
6;3;12.5;193.75
7;3;10.8;195.0
1;3;6.4;NaN
2;3;9.0;NaN
3;3;4.7;190.75
4;3;5.8;196.75
5;4;7.1;NaN
6;4;8.6;NaN
7;4;9.8;NaN
1;4;10.0;NaN
2;4;10.5;NaN
3;4;6.3;NaN
4;4;8.2;NaN
5;4;15.8;NaN
6;4;14.2;NaN
7;4;8.0;NaN
1;4;7.0;NaN
2;4;9.2;NaN
3;4;6.7;NaN
4;4;6.4;NaN
5;4;7.0;NaN
6;4;8.4;NaN
7;4;9.1;144.25
1;4;5.8;143.75
2;4;8.6;154.25
3;4;6.6;160.5
4;4;7.8;158.25
5;4;8.6;153.5
6;4;10.0;152.5
7;4;14.6;142.0
1;4;11.8;148.0
2;4;14.1;143.25
3;4;12.5;149.5
4;4;11.8;153.0
5;4;11.1;159.75
6;4;12.0;163.0
7;5;11.1;183.75
1;5;10.1;158.25
2;5;11.2;152.0
3;5;7.2;168.75
4;5;4.2;155.75
5;5;4.9;157.644688645
6;5;6.9;158.765432099
7;5;7.8;159.057142857
1;5;6.8;157.0
2;5;11.0;153.25
3;5;10.7;160.5
4;5;11.5;166.75
5;5;19.6;NaN
6;5;14.1;NaN
7;5;14.2;192.0
1;5;10.0;182.482071713
2;5;13.3;158.233050847
3;5;14.6;151.431718062
4;5;12.4;149.807228916
5;5;14.8;156.844262295
6;5;15.6;155.493150685
7;5;12.8;146.732142857
1;5;15.1;148.236363636
2;5;16.9;162.236607143
3;5;16.6;161.165938865
4;5;15.4;160.5
5;5;15.4;172.538793103
6;5;14.1;169.037815126
7;5;10.9;155.098712446
1;5;12.0;154.68487395
2;5;15.8;163.360515021
