Sat;Dan;Mjesec;Godina;Potrosnja;Temperatura
10;8;1;2011;178.75;12.5
11;8;1;2011;180.25;13.0
12;8;1;2011;181.0;13.1
13;8;1;2011;179.75;13.9
14;8;1;2011;185.5;14.4
15;8;1;2011;189.0;13.9
16;8;1;2011;193.75;12.8
17;8;1;2011;202.25;12.6
18;8;1;2011;198.5;12.2
19;8;1;2011;198.25;12.0
20;8;1;2011;193.25;11.9
21;8;1;2011;183.75;11.0
22;8;1;2011;172.75;10.6
23;8;1;2011;168.75;9.8
0;9;1;2011;167.75;9.2
1;9;1;2011;165.0;9.7
2;9;1;2011;166.5;9.0
3;9;1;2011;166.25;9.4
4;9;1;2011;165.75;8.9
5;9;1;2011;166.0;8.1
6;9;1;2011;166.75;6.1
7;9;1;2011;164.25;5.3
8;9;1;2011;163.0;9.3
9;9;1;2011;166.75;12.3
10;9;1;2011;171.0;14.1
11;9;1;2011;172.0;15.4
12;9;1;2011;176.75;15.8
13;9;1;2011;177.75;15.9
14;9;1;2011;178.0;15.2
15;9;1;2011;176.5;14.2
16;9;1;2011;183.0;13.0
17;9;1;2011;192.75;11.7
18;9;1;2011;194.25;11.7
19;9;1;2011;192.75;12.4
20;9;1;2011;190.0;11.6
21;9;1;2011;180.5;11.6
22;9;1;2011;171.0;8.7
23;9;1;2011;167.5;6.6
0;10;1;2011;166.0;5.5
1;10;1;2011;168.0;5.4
2;10;1;2011;165.5;4.9
3;10;1;2011;165.25;4.8
4;10;1;2011;166.0;4.9
5;10;1;2011;171.5;5.0
6;10;1;2011;214.75;5.1
7;10;1;2011;266.5;4.9
8;10;1;2011;366.5;5.7
9;10;1;2011;448.0;6.5
10;10;1;2011;467.5;8.6
11;10;1;2011;459.5;10.1
12;10;1;2011;492.75;11.1
13;10;1;2011;489.5;11.5
14;10;1;2011;466.0;11.1
15;10;1;2011;451.75;10.1
16;10;1;2011;403.75;9.7
17;10;1;2011;346.5;8.4
18;10;1;2011;300.75;7.2
19;10;1;2011;254.0;6.4
20;10;1;2011;220.25;6.5
21;10;1;2011;203.5;5.9
22;10;1;2011;187.25;4.9
23;10;1;2011;185.0;4.7
0;11;1;2011;182.5;3.7
1;11;1;2011;174.75;3.8
2;11;1;2011;176.25;4.2
3;11;1;2011;178.0;4.1
4;11;1;2011;176.5;3.8
5;11;1;2011;184.5;3.7
6;11;1;2011;229.0;3.6
7;11;1;2011;278.5;3.7
8;11;1;2011;355.25;3.5
9;11;1;2011;446.5;3.7
10;11;1;2011;482.5;3.8
11;11;1;2011;493.25;4.1
12;11;1;2011;486.25;4.1
13;11;1;2011;495.0;4.3
14;11;1;2011;491.25;4.3
15;11;1;2011;458.25;4.2
16;11;1;2011;416.25;4.2
17;11;1;2011;369.0;4.1
18;11;1;2011;322.25;4.1
19;11;1;2011;281.0;4.1
20;11;1;2011;244.0;4.1
21;11;1;2011;219.0;4.1
22;11;1;2011;199.25;4.1
23;11;1;2011;191.5;4.1
0;12;1;2011;NaN;4.1
1;12;1;2011;NaN;4.2
2;12;1;2011;NaN;4.3
3;12;1;2011;NaN;4.2
4;12;1;2011;NaN;4.1
5;12;1;2011;NaN;4.1
6;12;1;2011;NaN;4.1
7;12;1;2011;NaN;4.2
8;12;1;2011;NaN;4.7
9;12;1;2011;441.5;4.7
10;12;1;2011;458.25;4.9
11;12;1;2011;476.25;5.1
12;12;1;2011;472.5;6.6
13;12;1;2011;NaN;6.8
14;12;1;2011;NaN;7.0
15;12;1;2011;413.0;6.3
16;12;1;2011;375.25;5.3
17;12;1;2011;341.0;3.0
18;12;1;2011;323.25;1.8
19;12;1;2011;284.75;1.0
20;12;1;2011;225.5;0.5
21;12;1;2011;204.25;1.1
22;12;1;2011;186.25;4.0
23;12;1;2011;181.25;3.7
0;13;1;2011;182.25;3.7
1;13;1;2011;177.5;3.6
2;13;1;2011;177.25;3.7
3;13;1;2011;179.5;3.3
4;13;1;2011;178.5;3.2
5;13;1;2011;192.5;3.3
6;13;1;2011;241.0;3.2
7;13;1;2011;312.5;3.4
8;13;1;2011;374.75;4.0
9;13;1;2011;427.0;4.2
10;13;1;2011;433.0;4.4
11;13;1;2011;438.666666667;5.3
12;13;1;2011;419.75;8.3
13;13;1;2011;402.25;10.4
14;13;1;2011;409.0;10.1
15;13;1;2011;441.5;9.9
16;13;1;2011;397.5;9.0
17;13;1;2011;358.5;7.1
18;13;1;2011;344.5;6.9
19;13;1;2011;291.25;7.0
20;13;1;2011;240.5;6.6
21;13;1;2011;220.5;6.3
22;13;1;2011;199.0;6.4
23;13;1;2011;186.75;6.0
0;14;1;2011;176.75;5.9
1;14;1;2011;172.0;5.8
2;14;1;2011;172.0;5.8
3;14;1;2011;173.25;5.5
4;14;1;2011;171.75;4.1
5;14;1;2011;180.75;3.6
6;14;1;2011;218.0;3.4
7;14;1;2011;254.5;3.2
8;14;1;2011;350.75;4.8
9;14;1;2011;422.25;6.1
10;14;1;2011;429.5;8.9
11;14;1;2011;444.5;10.7
12;14;1;2011;452.75;11.9
13;14;1;2011;459.25;12.9
14;14;1;2011;427.75;12.4
15;14;1;2011;422.25;12.2
16;14;1;2011;391.5;9.7
17;14;1;2011;355.5;7.3
18;14;1;2011;294.5;5.8
19;14;1;2011;264.5;4.7
20;14;1;2011;226.25;4.6
