Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;0.96;163.0;161.75
1;1;0.94;176.5;171.5
0;1;0.92;187.5;181.0
0;1;0.88;180.75;175.0
0;1;0.9;180.25;175.25
1;1;0.83;176.25;177.75
0;1;0.75;175.5;170.0
1;1;0.85;172.75;168.75
1;1;0.97;171.0;167.5
0;1;0.91;187.25;185.0
0;1;0.97;199.25;191.5
0;1;0.96;186.25;181.25
0;1;0.92;199.0;186.75
0;1;0.92;187.5;180.5
1;1;0.96;165.0;162.25
1;1;0.97;163.0;160.5
0;1;0.92;192.5;182.5
0;1;0.98;191.25;180.25
0;1;0.89;193.75;188.25
0;1;0.66;184.5;177.0
0;1;0.68;176.5;175.5
1;1;0.63;181.75;174.75
1;1;0.86;168.5;167.5
0;1;0.8;192.5;180.75
0;1;0.76;201.25;197.25
0;1;0.87;190.0;186.75
0;1;0.89;193.5;186.25
0;1;0.76;190.5;188.25
1;1;0.75;186.5;181.75
1;1;0.72;176.0;170.5
0;1;0.74;215.25;205.25
0;2;0.91;198.75;185.25
0;2;0.74;191.5;186.75
0;2;0.9;199.5;194.0
0;2;0.9;174.5;171.0
1;2;0.89;177.25;174.75
1;2;0.84;170.5;168.75
0;2;0.86;196.25;185.5
0;2;0.64;191.5;185.0
0;2;0.85;192.25;184.0
0;2;0.85;203.0;194.5
0;2;0.59;189.5;184.5
1;2;0.58;186.25;185.25
1;2;0.93;185.25;185.0
0;2;0.91;214.5;205.75
0;2;0.89;215.5;209.75
0;2;0.92;202.25;194.5
0;2;0.95;203.75;193.75
0;2;0.76;187.5;182.25
1;2;0.87;151.5;151.25
1;2;0.7;193.25;188.75
0;2;0.7;212.0;204.5
0;2;0.69;198.75;188.25
0;2;0.89;195.5;187.5
0;2;0.82;201.75;194.0
0;2;0.59;202.5;192.0
1;2;0.83;180.5;180.5
1;2;0.86;189.0;190.5
0;2;0.83;218.5;202.5
0;3;0.75;210.75;205.75
0;3;0.87;199.75;191.75
0;3;0.8;200.25;191.25
0;3;0.89;190.5;180.25
1;3;0.89;182.675373134;180.649635036
1;3;0.39;179.182481752;176.0
0;3;0.73;204.234432234;197.799270073
0;3;0.72;201.207843137;196.46184739
0;3;0.7;207.21875;203.054474708
0;3;0.35;204.13671875;197.62109375
0;3;0.51;201.163424125;194.34765625
1;3;0.58;198.575875486;191.875
1;3;0.6;190.45703125;188.40234375
0;3;0.84;207.25;202.0
0;3;0.85;203.25;195.5
0;3;0.91;206.25;201.25
0;3;0.92;215.75;202.75
0;3;0.87;198.5;191.25
1;3;0.55;196.25;185.5
1;3;0.52;189.5;185.75
0;3;0.86;201.5;192.0
0;3;0.73;208.5;196.25
0;3;0.83;203.75;198.5
0;3;0.74;220.0;210.25
0;3;0.44;194.0;192.75
1;3;0.66;194.25;190.25
1;3;0.76;195.25;187.5
0;3;0.96;NaN;NaN
0;3;0.88;204.75;198.75
0;3;0.75;208.0;203.25
0;3;0.75;212.75;208.0
0;4;0.88;NaN;NaN
1;4;0.78;NaN;NaN
1;4;0.74;NaN;NaN
0;4;0.85;NaN;NaN
0;4;0.87;NaN;NaN
0;4;0.84;NaN;NaN
0;4;0.32;NaN;NaN
0;4;0.69;NaN;NaN
1;4;0.45;NaN;NaN
1;4;0.85;NaN;NaN
0;4;0.78;NaN;NaN
0;4;0.85;NaN;NaN
0;4;0.78;NaN;NaN
0;4;0.73;NaN;NaN
0;4;0.82;NaN;NaN
1;4;0.62;164.75;157.75
1;4;0.74;149.75;148.5
0;4;0.57;172.25;164.25
0;4;0.78;175.0;171.0
0;4;0.81;180.25;170.25
0;4;0.81;179.25;170.0
0;4;0.82;156.5;152.5
1;4;0.54;146.5;144.25
1;4;0.8;153.0;150.0
1;4;0.74;158.75;157.75
0;4;0.69;160.5;156.75
0;4;0.65;168.25;163.75
0;4;0.85;182.75;173.5
0;4;0.92;164.5;159.75
1;4;0.89;196.25;193.5
1;5;0.79;161.25;161.0
0;5;0.82;170.5;160.25
0;5;0.67;175.25;172.75
0;5;0.82;169.75;164.75
0;5;0.68;174.355311355;168.547794118
0;5;0.73;170.56846473;165.319148936
1;5;0.69;161.012244898;161.214285714
1;5;0.84;161.818181818;160.642857143
0;5;0.69;167.25;162.75
0;5;0.77;175.75;169.5
0;5;0.76;185.0;179.75
0;5;0.68;186.75;178.5
0;5;0.82;NaN;NaN
1;5;0.81;214.5;206.0
1;5;0.83;203.4;191.850202429
0;5;0.66;178.222772277;175.06
0;5;0.66;176.42173913;168.566371681
0;5;0.82;172.691666667;165.532520325
0;5;0.79;182.487394958;170.515418502
0;5;0.83;169.121621622;164.962962963
1;5;0.86;159.348039216;153.483870968
1;5;0.87;165.231182796;160.933014354
0;5;0.86;187.230769231;175.762790698
0;5;0.81;185.328947368;180.052863436
0;5;0.59;181.5;172.0
0;5;0.76;187.305676856;181.857777778
0;5;0.82;179.021551724;174.153508772
1;5;0.88;159.079831933;156.004347826
1;5;0.82;162.164556962;155.92173913
0;5;0.78;194.52173913;183.83982684
0;5;0.85;190.756302521;181.438818565
