Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;0.95;169.0;165.75
1;1;0.93;178.0;174.0
0;1;0.92;219.0;205.0
0;1;0.86;230.25;202.75
0;1;0.85;230.75;201.5
1;1;0.84;185.25;179.25
0;1;0.74;194.0;183.75
1;1;0.78;193.25;183.75
1;1;0.65;190.0;180.5
0;1;0.89;220.25;203.5
0;1;0.97;244.0;219.0
0;1;0.96;225.5;204.25
0;1;0.92;240.5;220.5
0;1;0.92;226.25;202.75
1;1;0.96;178.0;171.5
1;1;0.96;176.0;168.75
0;1;0.91;229.25;210.0
0;1;0.98;232.25;210.5
0;1;0.96;230.5;202.5
0;1;0.59;235.25;207.5
0;1;0.67;212.75;192.25
1;1;0.62;192.5;184.75
1;1;0.68;190.0;184.0
0;1;0.79;255.75;211.5
0;1;0.77;246.5;213.0
0;1;0.84;247.75;210.25
0;1;0.9;241.25;220.25
0;1;0.75;225.75;212.5
1;1;0.73;187.25;185.0
1;1;0.69;180.75;179.25
0;1;0.77;242.75;236.0
0;2;0.93;230.25;219.0
0;2;0.86;225.0;207.0
0;2;0.9;230.0;220.25
0;2;0.88;204.75;191.0
1;2;0.85;179.75;179.0
1;2;0.8;184.25;178.0
0;2;0.74;222.75;213.75
0;2;0.54;218.75;211.25
0;2;0.81;223.25;209.5
0;2;0.8;230.5;221.75
0;2;0.61;202.0;196.0
1;2;0.55;191.25;185.75
1;2;0.93;185.25;183.5
0;2;0.82;248.5;228.5
0;2;0.87;248.0;229.5
0;2;0.9;238.25;221.5
0;2;0.93;252.5;224.5
0;2;0.86;251.0;225.25
1;2;0.87;166.25;154.5
1;2;0.71;202.75;198.25
0;2;0.67;258.75;228.25
0;2;0.74;230.0;212.5
0;2;0.66;226.0;206.75
0;2;0.76;248.75;221.75
0;2;0.55;223.0;216.0
1;2;0.83;192.0;187.75
1;2;0.83;203.5;197.0
0;2;0.82;253.5;235.0
0;3;0.78;257.25;235.75
0;3;0.88;239.5;224.5
0;3;0.76;237.25;213.5
0;3;0.9;222.5;213.5
1;3;0.88;195.178832117;190.390510949
1;3;0.38;179.244525547;177.322344322
0;3;0.7;247.996254682;210.937956204
0;3;0.69;244.821011673;222.28125
0;3;0.66;241.910505837;221.132
0;3;0.65;238.105058366;215.819607843
0;3;0.38;233.717647059;209.0546875
1;3;0.49;208.4765625;206.5703125
1;3;0.56;208.715953307;200.482490272
0;3;0.81;241.5;220.25
0;3;0.65;241.0;213.75
0;3;0.9;243.5;227.25
0;3;0.65;272.0;244.5
0;3;0.81;250.0;222.5
1;3;0.54;202.25;197.5
1;3;0.5;202.25;195.5
0;3;0.82;238.0;224.25
0;3;0.64;236.75;226.75
0;3;0.82;234.75;218.0
0;3;0.67;252.25;231.75
0;3;0.37;222.0;205.5
1;3;0.56;204.25;201.5
1;3;0.6;207.5;203.25
0;3;0.95;NaN;NaN
0;3;0.86;238.75;221.25
0;3;0.72;241.0;222.75
0;3;0.74;242.25;229.5
0;4;0.78;NaN;NaN
1;4;0.76;NaN;NaN
1;4;0.75;NaN;NaN
0;4;0.83;NaN;NaN
0;4;0.87;NaN;NaN
0;4;0.82;NaN;NaN
0;4;0.28;NaN;NaN
0;4;0.83;NaN;NaN
1;4;0.46;NaN;NaN
1;4;0.78;NaN;NaN
0;4;0.76;NaN;NaN
0;4;0.84;NaN;NaN
0;4;0.66;NaN;NaN
0;4;0.81;NaN;NaN
0;4;0.84;NaN;NaN
1;4;0.64;177.5;175.75
1;4;0.67;162.25;159.5
0;4;0.59;192.75;183.25
0;4;0.7;198.5;184.0
0;4;0.69;221.0;201.25
0;4;0.74;217.5;200.25
0;4;0.62;165.25;162.75
1;4;0.38;155.5;154.75
1;4;0.71;159.0;158.75
1;4;0.73;163.0;160.75
0;4;0.63;193.75;183.0
0;4;0.61;207.25;187.25
0;4;0.79;226.25;200.25
0;4;0.91;185.75;180.25
1;4;0.85;192.0;210.25
1;5;0.88;167.25;167.75
0;5;0.81;197.5;188.75
0;5;0.77;201.75;186.25
0;5;0.84;187.0;182.5
0;5;0.72;199.432234432;192.054744526
0;5;0.67;186.378723404;180.358649789
1;5;0.63;170.975308642;165.589211618
1;5;0.78;170.091666667;170.76446281
0;5;0.61;188.75;182.25
0;5;0.72;197.5;191.0
0;5;0.67;206.25;204.5
0;5;0.69;206.5;203.0
0;5;0.74;NaN;NaN
1;5;0.6;214.25;214.25
1;5;0.85;213.358974359;212.991701245
0;5;0.66;206.180995475;193.981651376
0;5;0.64;219.291304348;194.439655172
0;5;0.79;198.845454545;184.540178571
0;5;0.73;224.431111111;200.383966245
0;5;0.8;183.034782609;184.054298643
1;5;0.85;180.338383838;176.89119171
1;5;0.87;177.40625;168.164705882
0;5;0.88;222.331818182;207.254545455
0;5;0.75;214.686098655;202.852678571
0;5;0.52;202.0;193.0
0;5;0.67;204.703539823;197.352422907
0;5;0.67;196.995708155;191.708860759
1;5;0.89;168.449781659;165.103448276
1;5;0.75;164.567099567;168.274678112
0;5;0.7;214.206896552;205.343220339
0;5;0.84;199.564655172;200.666666667
