Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;0.96;163.5;156.5
1;1;0.97;158.0;160.25
0;1;0.98;165.5;172.75
0;1;0.91;179.25;183.5
0;1;0.85;175.75;182.0
1;1;0.89;168.5;169.0
0;1;0.77;173.75;173.5
1;1;0.73;170.5;168.0
1;1;0.91;165.75;166.0
0;1;0.95;166.0;171.5
0;1;0.97;176.5;184.5
0;1;0.97;NaN;NaN
0;1;0.96;178.5;192.5
0;1;0.96;171.75;180.75
1;1;0.93;177.5;176.5
1;1;1.0;157.5;157.0
0;1;1.0;153.75;157.75
0;1;0.95;171.25;178.75
0;1;0.97;168.5;171.5
0;1;0.76;170.75;179.5
0;1;0.76;169.25;179.75
1;1;0.67;168.25;166.0
1;1;0.8;171.75;168.0
0;1;0.94;163.5;176.25
0;1;0.89;170.5;172.0
0;1;0.84;174.75;185.25
0;1;0.86;169.5;180.5
0;1;0.83;172.25;186.5
1;1;0.91;174.5;171.25
1;1;0.8;169.0;167.75
0;1;0.71;165.0;171.5
0;2;0.72;183.5;190.0
0;2;0.78;178.75;184.0
0;2;0.77;186.75;191.0
0;2;0.91;177.5;187.5
1;2;0.92;168.25;168.25
1;2;0.91;169.25;170.25
0;2;0.9;167.75;177.0
0;2;0.88;178.5;186.5
0;2;0.82;176.25;182.5
0;2;0.91;178.0;186.75
0;2;0.9;184.5;182.75
1;2;0.62;174.5;174.75
1;2;0.66;186.0;185.75
0;2;0.94;180.75;188.0
0;2;0.95;186.75;189.0
0;2;0.95;193.75;197.0
0;2;0.94;189.25;191.75
0;2;0.96;182.75;186.25
1;2;0.91;174.5;176.0
1;2;0.95;148.25;146.25
0;2;0.92;180.0;188.25
0;2;0.79;187.5;190.5
0;2;0.68;181.5;187.75
0;2;0.78;175.75;183.25
0;2;0.77;180.75;186.0
1;2;0.68;176.75;177.0
1;2;0.8;176.5;175.25
0;2;0.9;178.75;183.75
0;3;0.8;188.5;195.0
0;3;0.79;187.0;188.5
0;3;0.83;181.5;185.0
0;3;0.85;175.0;178.5
1;3;0.87;174.5;178.2
1;3;0.91;173.912408759;175.287313433
0;3;0.46;174.054744526;195.084249084
0;3;0.76;184.25631769;195.707581227
0;3;0.78;187.13229572;205.49609375
0;3;0.72;192.941634241;200.98046875
0;3;0.72;184.266932271;201.3125
1;3;0.7;183.21875;184.019685039
1;3;0.72;185.122047244;184.0078125
0;3;0.7;185.178988327;191.399209486
0;3;0.9;186.0;186.5
0;3;0.83;184.75;186.75
0;3;0.94;183.5;188.75
0;3;0.91;186.5;189.75
1;3;0.9;184.5;183.75
1;3;0.56;181.25;182.25
0;3;0.6;181.75;190.0
0;3;0.88;184.0;197.75
0;3;0.82;185.5;198.25
0;3;0.83;193.5;200.0
0;3;0.83;188.25;192.5
1;3;0.58;183.75;182.5
1;3;0.69;193.0;184.25
0;3;0.92;NaN;NaN
0;3;0.97;NaN;NaN
0;3;0.91;197.0;192.0
0;3;0.85;193.75;201.5
0;4;0.78;NaN;NaN
1;4;0.88;NaN;NaN
1;4;0.82;NaN;NaN
0;4;0.77;NaN;NaN
0;4;0.91;NaN;NaN
0;4;0.86;NaN;NaN
0;4;0.88;NaN;NaN
0;4;0.62;NaN;NaN
1;4;0.9;NaN;NaN
1;4;0.8;NaN;NaN
0;4;0.83;NaN;NaN
0;4;0.83;NaN;NaN
0;4;0.88;NaN;NaN
0;4;0.77;NaN;NaN
0;4;0.83;NaN;NaN
1;4;0.63;NaN;NaN
1;4;0.76;148.0;147.0
0;4;0.79;142.0;146.25
0;4;0.81;152.25;160.5
0;4;0.82;157.0;165.0
0;4;0.83;149.75;157.0
0;4;0.8;151.0;153.5
1;4;0.82;145.25;144.75
1;4;0.73;141.25;139.75
1;4;0.84;139.0;136.0
0;4;0.82;139.75;143.5
0;4;0.71;149.25;150.0
0;4;0.87;150.0;152.25
0;4;0.85;156.75;164.5
1;4;0.95;160.0;163.0
1;5;0.88;159.25;154.25
0;5;0.88;150.5;157.25
0;5;0.83;151.75;158.75
0;5;0.82;NaN;NaN
0;5;0.74;152.75;158.0
0;5;0.68;156.062043796;158.065693431
1;5;0.84;150.008163265;149.567901235
1;5;0.78;150.520491803;145.228215768
0;5;0.7;150.75;150.0
0;5;0.82;151.25;153.5
0;5;0.8;155.0;159.75
0;5;0.79;161.0;164.25
0;5;0.83;NaN;NaN
1;5;0.83;NaN;NaN
1;5;0.77;173.25;173.0
0;5;0.81;173.581300813;187.472
0;5;0.58;152.33877551;150.926829268
0;5;0.8;143.608695652;150.533632287
0;5;0.83;144.588709677;150.024390244
0;5;0.86;152.920704846;155.410714286
1;5;0.84;147.751152074;142.610091743
1;5;0.89;143.858369099;143.703539823
0;5;0.87;145.964285714;154.219827586
0;5;0.85;155.8125;159.46460177
0;5;0.85;158.391304348;163.054545455
0;5;0.75;153.752212389;156.403669725
0;5;0.77;160.783549784;163.587234043
1;5;0.84;154.343220339;155.360515021
1;5;0.86;148.257383966;145.411016949
0;5;0.78;150.863436123;164.17721519
0;5;0.82;160.301724138;167.877637131
