Praznik;Mjesec;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;0.95;158.5;158.0
1;1;0.9;172.25;170.75
0;1;0.96;403.75;405.75
0;1;0.66;423.75;408.25
0;1;0.75;426.25;422.75
1;1;0.71;187.25;186.75
0;1;0.63;232.75;233.25
1;1;0.62;179.75;185.5
1;1;0.5;177.75;178.0
0;1;0.89;489.5;466.0
0;1;0.97;495.0;491.25
0;1;0.81;NaN;NaN
0;1;0.68;402.25;409.0
0;1;0.61;459.25;427.75
1;1;0.63;191.5;173.25
1;1;0.73;163.0;161.5
0;1;0.62;454.75;450.0
0;1;0.91;421.0;399.0
0;1;0.95;445.25;450.0
0;1;0.61;448.25;450.0
0;1;0.53;477.25;461.0
1;1;0.6;208.0;203.5
1;1;0.46;185.75;184.25
0;1;0.54;439.25;418.25
0;1;0.62;421.75;429.0
0;1;0.47;439.5;446.25
0;1;0.88;456.75;433.5
0;1;0.69;470.75;457.75
1;1;0.79;188.75;185.0
1;1;0.66;177.0;182.75
0;1;0.78;457.25;437.25
0;2;0.68;429.75;421.0
0;2;0.73;417.25;413.75
0;2;0.61;408.5;376.25
0;2;0.46;362.0;350.75
1;2;0.28;185.75;187.5
1;2;0.32;178.25;179.0
0;2;0.25;381.25;372.0
0;2;0.31;375.25;353.5
0;2;0.36;398.0;403.75
0;2;0.4;374.0;338.75
0;2;0.29;370.5;364.75
1;2;0.53;198.25;199.0
1;2;0.6;183.5;184.0
0;2;0.92;477.5;481.5
0;2;0.89;504.0;503.0
0;2;0.92;455.75;477.25
0;2;0.9;479.0;479.25
0;2;0.84;478.75;468.0
1;2;0.61;157.5;160.25
1;2;0.5;188.25;185.5
0;2;0.77;475.0;477.25
0;2;0.84;458.0;458.25
0;2;0.52;411.75;395.25
0;2;0.52;418.25;415.75
0;2;0.45;429.25;392.0
1;2;0.67;192.25;190.5
1;2;0.74;193.75;192.5
0;2;0.76;493.5;488.5
0;3;0.68;493.5;482.75
0;3;0.77;471.0;448.25
0;3;0.77;485.0;465.75
0;3;0.66;467.5;440.5
1;3;0.7;209.335766423;207.288321168
1;3;0.61;183.959854015;183.248175182
0;3;0.35;450.186131387;443.725274725
0;3;0.22;438.233463035;429.922178988
0;3;0.28;461.0703125;447.02734375
0;3;0.21;430.792156863;408.175097276
0;3;0.24;427.774319066;417.098039216
1;3;0.24;198.45703125;197.7
1;3;0.4;192.220472441;191.498007968
0;3;0.51;455.521568627;443.785992218
0;3;0.4;422.25;424.5
0;3;0.9;464.5;474.0
0;3;0.5;457.5;458.0
0;3;0.56;466.0;459.25
1;3;0.59;198.25;212.0
1;3;0.42;187.25;186.0
0;3;0.44;424.5;412.25
0;3;0.31;398.0;390.75
0;3;0.36;408.25;417.75
0;3;0.27;426.5;426.0
0;3;0.18;419.25;397.0
1;3;0.32;202.5;209.5
1;3;0.53;194.75;204.0
0;3;0.9;NaN;NaN
0;3;0.52;391.0;401.75
0;3;0.3;383.5;376.5
0;3;0.29;497.0;436.0
0;4;0.33;NaN;NaN
1;4;0.37;NaN;NaN
1;4;0.33;NaN;NaN
0;4;0.38;NaN;NaN
0;4;0.4;NaN;NaN
0;4;0.39;NaN;NaN
0;4;0.32;NaN;NaN
0;4;0.44;NaN;NaN
1;4;0.3;NaN;NaN
1;4;0.27;NaN;NaN
0;4;0.37;NaN;NaN
0;4;0.24;NaN;NaN
0;4;0.24;NaN;NaN
0;4;0.28;NaN;NaN
0;4;0.41;NaN;NaN
1;4;0.41;NaN;170.333333333
1;4;0.33;157.25;158.25
0;4;0.31;411.75;413.0
0;4;0.31;428.75;422.75
0;4;0.29;388.5;398.0
0;4;0.23;413.0;393.75
0;4;0.27;322.75;303.5
1;4;0.28;163.5;156.5
1;4;0.27;145.0;144.75
1;4;0.47;162.25;160.75
0;4;0.69;428.0;420.75
0;4;0.47;418.5;409.5
0;4;0.58;454.25;435.0
0;4;0.71;440.75;414.0
1;4;0.55;167.0;166.25
1;5;0.5;160.75;162.25
0;5;0.46;396.5;364.5
0;5;0.36;363.25;373.5
0;5;0.34;383.25;380.25
0;5;0.3;401.907063197;388.558052434
0;5;0.33;360.435897436;353.820224719
1;5;0.26;178.391836735;169.679012346
1;5;0.7;177.280487805;178.18487395
0;5;0.33;412.25;365.75
0;5;0.28;371.75;356.5
0;5;0.33;380.25;367.75
0;5;0.26;405.0;372.5
0;5;0.42;NaN;NaN
1;5;0.41;230.5;237.75
1;5;0.84;210.466346154;214.121495327
0;5;0.47;404.049107143;410.918918919
0;5;0.47;403.245614035;394.703056769
0;5;0.45;421.939271255;421.61752988
0;5;0.41;425.78;418.497959184
0;5;0.36;430.9004329;417.675438596
1;5;0.42;193.943925234;210.967889908
1;5;0.41;163.935064935;165.375565611
0;5;0.38;485.692307692;499.836283186
0;5;0.42;471.905063291;465.41875
0;5;0.37;459.25;453.0
0;5;0.28;471.230088496;476.809734513
0;5;0.35;535.563559322;537.458515284
1;5;0.73;208.360515021;225.815450644
1;5;0.37;199.1;187.429752066
0;5;0.38;488.99137931;482.327659574
0;5;0.45;522.43776824;537.876068376
