Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;0.95;158.0;158.25
1;1;-0.7;0.91;170.75;172.25
0;1;-2.5;0.96;405.75;406.5
0;1;-2.8;0.68;408.25;402.0
0;1;-1.8;0.77;422.75;413.25
1;1;2.4;0.72;186.75;194.75
0;1;12.5;0.66;233.25;227.5
1;1;13.9;0.62;185.5;189.0
1;1;14.2;0.52;178.0;176.5
0;1;10.1;0.9;466.0;451.75
0;1;4.2;0.97;491.25;458.25
0;1;6.3;0.8;NaN;413.0
0;1;9.9;0.68;409.0;441.5
0;1;12.2;0.63;427.75;422.25
1;1;11.8;0.63;173.25;166.0
1;1;8.9;0.8;161.5;162.5
0;1;10.2;0.67;450.0;431.25
0;1;3.5;0.96;399.0;386.75
0;1;3.0;0.97;450.0;464.25
0;1;3.8;0.61;450.0;471.25
0;1;2.5;0.53;461.0;449.5
1;1;0.6;0.61;203.5;205.5
1;1;1.4;0.48;184.25;183.0
0;1;1.6;0.53;418.25;388.75
0;1;0.9;0.64;429.0;406.5
0;1;6.7;0.47;446.25;428.25
0;1;1.9;0.88;433.5;415.0
0;1;0.1;0.7;457.75;445.25
1;1;-0.1;0.77;185.0;192.75
1;1;-0.1;0.65;182.75;190.75
0;1;-0.5;0.77;437.25;414.5
0;2;-1.6;0.72;421.0;393.25
0;2;-2.1;0.73;413.75;397.25
0;2;1.4;0.62;376.25;356.75
0;2;7.2;0.45;350.75;333.5
1;2;14.8;0.26;187.5;181.0
1;2;13.3;0.31;179.0;180.25
0;2;16.5;0.27;372.0;365.0
0;2;14.8;0.3;353.5;345.75
0;2;11.6;0.35;403.75;372.0
0;2;10.4;0.4;338.75;326.75
0;2;14.4;0.35;364.75;331.0
1;2;4.5;0.55;199.0;200.0
1;2;3.8;0.68;184.0;182.25
0;2;2.1;0.92;481.5;476.0
0;2;0.6;0.89;503.0;489.75
0;2;3.2;0.91;477.25;452.75
0;2;4.2;0.88;479.25;462.75
0;2;4.3;0.86;468.0;443.75
1;2;7.9;0.59;160.25;158.5
1;2;6.2;0.52;185.5;185.75
0;2;-0.9;0.84;477.25;443.0
0;2;-0.4;0.81;458.25;435.75
0;2;-0.5;0.5;395.25;402.75
0;2;1.4;0.47;415.75;382.0
0;2;1.8;0.45;392.0;352.0
1;2;1.5;0.64;190.5;190.25
1;2;-0.5;0.73;192.5;195.75
0;2;0.1;0.75;488.5;468.75
0;3;2.0;0.72;482.75;449.5
0;3;-0.2;0.87;448.25;439.5
0;3;0.1;0.77;465.75;447.25
0;3;3.8;0.66;440.5;413.5
1;3;2.8;0.69;207.288321168;199.671532847
1;3;5.9;0.37;183.248175182;182.151515152
0;3;3.4;0.33;443.725274725;403.912408759
0;3;6.2;0.22;429.922178988;390.8
0;3;9.2;0.25;447.02734375;431.05859375
0;3;16.1;0.18;408.175097276;391.6015625
0;3;17.9;0.22;417.098039216;395.326848249
1;3;17.6;0.25;197.7;197.682352941
1;3;15.2;0.4;191.498007968;195.19140625
0;3;17.4;0.51;443.785992218;418.9453125
0;3;18.7;0.41;424.5;432.25
0;3;10.5;0.9;474.0;477.75
0;3;16.2;0.48;458.0;429.5
0;3;12.5;0.48;459.25;436.25
1;3;7.1;0.62;212.0;217.25
1;3;10.2;0.38;186.0;188.5
0;3;8.5;0.45;412.25;406.25
0;3;13.9;0.28;390.75;385.75
0;3;16.7;0.35;417.75;407.25
0;3;20.3;0.21;426.0;422.5
0;3;22.4;0.17;397.0;374.5
1;3;19.8;0.32;209.5;206.75
1;3;15.6;0.54;204.0;201.25
0;3;11.7;0.91;NaN;NaN
0;3;14.9;0.45;401.75;414.5
0;3;17.2;0.25;376.5;377.0
0;3;18.9;0.28;436.0;368.25
0;4;19.7;0.33;NaN;NaN
1;4;21.3;0.37;NaN;NaN
1;4;21.8;0.32;NaN;NaN
0;4;23.0;0.39;NaN;NaN
0;4;14.6;0.43;NaN;NaN
0;4;18.3;0.36;NaN;NaN
0;4;25.6;0.32;NaN;NaN
0;4;20.4;0.42;NaN;NaN
1;4;21.3;0.28;NaN;NaN
1;4;19.0;0.24;NaN;NaN
0;4;18.6;0.36;NaN;NaN
0;4;23.2;0.25;NaN;NaN
0;4;13.0;0.23;NaN;NaN
0;4;13.6;0.29;NaN;NaN
0;4;13.8;0.42;NaN;NaN
1;4;13.3;0.44;170.333333333;172.75
1;4;14.0;0.3;158.25;160.75
0;4;17.6;0.23;413.0;381.5
0;4;18.2;0.31;422.75;380.0
0;4;21.1;0.27;398.0;371.0
0;4;23.7;0.22;393.75;358.0
0;4;23.5;0.25;303.5;278.5
1;4;23.2;0.27;156.5;154.0
1;4;23.3;0.27;144.75;145.5
1;4;21.6;0.43;160.75;157.0
0;4;13.5;0.8;420.75;394.0
0;4;16.3;0.52;409.5;408.5
0;4;14.9;0.62;435.0;417.5
0;4;16.5;0.63;414.0;379.5
1;4;18.9;0.48;166.25;175.0
1;5;18.4;0.54;162.25;163.25
0;5;19.3;0.46;364.5;330.25
0;5;23.8;0.33;373.5;378.0
0;5;13.6;0.35;380.25;367.5
0;5;15.7;0.3;388.558052434;386.911111111
0;5;17.8;0.3;353.820224719;352.313953488
1;5;22.8;0.21;169.679012346;170.655737705
1;5;13.7;0.63;178.18487395;181.518672199
0;5;18.6;0.33;365.75;324.5
0;5;23.2;0.26;356.5;377.75
0;5;24.9;0.29;367.75;347.75
0;5;25.9;0.28;372.5;359.75
0;5;23.4;0.38;NaN;NaN
1;5;26.0;0.39;237.75;237.0
1;5;11.5;0.84;214.121495327;214.696682464
0;5;16.8;0.44;410.918918919;384.388127854
0;5;19.0;0.49;394.703056769;394.145299145
0;5;22.5;0.43;421.61752988;394.723577236
0;5;24.8;0.37;418.497959184;397.755102041
0;5;26.0;0.37;417.675438596;379.03125
1;5;17.5;0.82;210.967889908;211.469194313
1;5;25.7;0.4;165.375565611;169.952173913
0;5;23.8;0.49;499.836283186;476.127272727
0;5;26.7;0.38;465.41875;457.556053812
0;5;25.3;0.38;453.0;430.0
0;5;26.3;0.28;476.809734513;435.008849558
0;5;30.5;0.31;537.458515284;526.431623932
1;5;15.7;0.7;225.815450644;206.692307692
1;5;22.2;0.36;187.429752066;192.88362069
0;5;24.4;0.37;482.327659574;456.848101266
0;5;26.7;0.45;537.876068376;526.0969163
