Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;0.95;158.25;162.5
1;1;-0.7;0.91;172.25;179.25
0;1;-2.0;0.95;406.5;380.0
0;1;-3.7;0.78;402.0;387.0
0;1;-1.8;0.8;413.25;393.5
1;1;4.0;0.72;194.75;198.25
0;1;12.0;0.68;227.5;237.5
1;1;12.8;0.66;189.0;193.75
1;1;13.0;0.6;176.5;183.0
0;1;9.7;0.89;451.75;403.75
0;1;4.2;0.97;458.25;416.25
0;1;5.3;0.86;413.0;375.25
0;1;9.0;0.86;441.5;397.5
0;1;9.7;0.79;422.25;391.5
1;1;8.3;0.88;166.0;174.0
1;1;7.3;0.88;162.5;164.0
0;1;7.1;0.85;431.25;388.0
0;1;2.5;0.96;386.75;362.75
0;1;3.0;0.97;464.25;422.0
0;1;3.7;0.6;471.25;425.5
0;1;2.2;0.56;449.5;412.75
1;1;0.1;0.61;205.5;205.5
1;1;0.2;0.55;183.0;185.25
0;1;0.4;0.56;388.75;356.5
0;1;0.8;0.63;406.5;361.5
0;1;6.4;0.49;428.25;383.0
0;1;1.8;0.89;415.0;346.5
0;1;-0.2;0.73;445.25;380.25
1;1;-0.1;0.77;192.75;191.5
1;1;-0.2;0.66;190.75;187.0
0;1;-0.9;0.78;414.5;354.5
0;2;-2.2;0.75;393.25;345.75
0;2;-2.5;0.74;397.25;333.5
0;2;0.1;0.69;356.75;316.25
0;2;6.4;0.49;333.5;286.25
1;2;12.7;0.29;181.0;181.25
1;2;11.3;0.37;180.25;175.25
0;2;13.9;0.34;365.0;300.75
0;2;13.3;0.34;345.75;294.25
0;2;10.5;0.34;372.0;306.75
0;2;8.8;0.45;326.75;294.75
0;2;12.9;0.4;331.0;287.5
1;2;4.5;0.52;200.0;198.75
1;2;2.7;0.87;182.25;184.25
0;2;1.9;0.91;476.0;424.5
0;2;0.5;0.89;489.75;427.5
0;2;3.3;0.91;452.75;406.5
0;2;4.0;0.9;462.75;419.25
0;2;4.1;0.86;443.75;392.5
1;2;6.9;0.65;158.5;149.5
1;2;5.8;0.53;185.75;185.25
0;2;-0.9;0.79;443.0;396.0
0;2;-0.4;0.8;435.75;410.5
0;2;-0.8;0.52;402.75;358.0
0;2;0.9;0.44;382.0;356.25
0;2;0.8;0.48;352.0;332.5
1;2;1.1;0.63;190.25;188.25
1;2;-0.7;0.75;195.75;199.0
0;2;0.1;0.75;468.75;407.5
0;3;1.5;0.74;449.5;417.0
0;3;-0.9;0.89;439.5;418.25
0;3;0.1;0.76;447.25;413.5
0;3;2.8;0.68;413.5;364.0
1;3;2.7;0.69;199.671532847;195.578754579
