Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.1;0.95;164.25;165.0
1;1;-0.4;0.92;184.5;184.5
0;1;-1.9;0.88;348.5;321.25
0;1;-3.7;0.85;355.75;323.5
0;1;-2.1;0.82;362.25;330.25
1;1;2.7;0.83;197.75;197.0
0;1;11.6;0.72;230.75;216.0
1;1;12.2;0.69;202.25;198.5
1;1;11.7;0.62;192.75;194.25
0;1;7.2;0.87;346.5;300.75
0;1;4.1;0.97;369.0;322.25
0;1;1.8;0.95;341.0;323.25
0;1;6.9;0.91;358.5;344.5
0;1;5.8;0.93;355.5;294.5
1;1;5.1;0.95;189.0;187.25
1;1;3.9;0.95;175.75;180.75
0;1;4.3;0.92;357.5;320.75
0;1;1.4;0.97;334.25;311.25
0;1;3.1;0.96;368.0;341.25
0;1;3.7;0.56;390.0;325.75
0;1;1.6;0.59;340.5;288.0
1;1;-0.5;0.59;206.0;205.25
1;1;0.6;0.54;200.75;206.25
0;1;-2.1;0.75;335.5;320.75
0;1;-0.3;0.75;338.5;322.5
0;1;2.0;0.8;350.0;323.0
0;1;0.9;0.9;315.75;307.25
0;1;-0.5;0.76;343.75;293.25
1;1;-0.2;0.76;197.0;192.5
1;1;-0.5;0.66;188.75;186.0
0;1;-1.2;0.79;313.25;295.5
0;2;-3.3;0.84;306.5;277.5
0;2;-4.2;0.85;308.5;282.5
0;2;-2.0;0.8;301.0;273.0
0;2;0.6;0.85;277.5;254.5
1;2;3.4;0.76;181.25;186.75
1;2;3.5;0.76;185.25;191.0
0;2;4.6;0.76;293.75;265.25
0;2;8.2;0.51;276.5;265.0
0;2;4.6;0.74;280.5;269.5
0;2;3.7;0.77;280.5;265.5
0;2;10.0;0.53;278.75;256.75
1;2;3.9;0.54;204.0;202.0
1;2;1.8;0.9;191.0;196.0
0;2;1.0;0.88;372.25;325.0
0;2;0.3;0.88;373.0;339.5
0;2;4.2;0.89;375.25;333.0
0;2;3.8;0.93;372.0;364.5
0;2;3.5;0.87;337.75;303.5
1;2;5.9;0.73;161.75;168.25
1;2;3.8;0.68;194.25;202.75
0;2;-1.1;0.8;359.75;334.5
0;2;-0.8;0.79;374.75;330.25
0;2;-1.6;0.58;336.0;323.0
0;2;-1.6;0.55;338.25;342.75
0;2;-0.9;0.56;310.5;285.5
1;2;-1.3;0.75;189.25;199.25
1;2;-0.8;0.76;206.25;218.75
0;2;0.0;0.78;357.5;324.75
0;3;1.1;0.75;379.25;329.0
0;3;-1.1;0.89;373.25;318.5
0;3;0.2;0.78;363.25;324.0
0;3;0.9;0.82;325.0;298.5
1;3;2.0;0.74;196.834558824;201.428571429
1;3;3.8;0.44;180.767241379;186.175182482
0;3;1.3;0.37;341.208029197;333.666666667
0;3;1.1;0.43;331.832684825;315.847058824
0;3;2.7;0.53;338.345098039;336.25
0;3;8.3;0.47;337.01953125;336.76171875
0;3;13.5;0.28;321.241245136;307.01953125
1;3;14.1;0.33;200.97254902;211.643137255
1;3;13.4;0.46;210.207843137;215.575875486
0;3;16.2;0.58;339.471698113;329.25
0;3;16.8;0.51;374.0;348.75
0;3;11.0;0.88;372.25;341.5
0;3;13.9;0.53;339.25;334.75
0;3;8.8;0.8;364.0;320.0
1;3;6.1;0.68;196.5;201.0
1;3;7.9;0.46;189.0;198.5
0;3;6.4;0.53;307.5;287.5
0;3;8.5;0.51;322.0;331.25
0;3;13.6;0.43;294.75;274.25
