Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.8;0.95;171.0;171.5
1;1;-3.1;0.96;162.75;161.25
0;1;-5.2;0.96;167.5;166.25
0;1;-3.9;0.91;178.0;179.0
0;1;-3.1;0.86;172.25;175.0
1;1;-3.9;0.89;168.5;168.0
0;1;5.4;0.84;175.25;175.0
1;1;11.1;0.73;172.0;171.75
1;1;9.0;0.88;165.0;166.5
0;1;4.9;0.97;168.0;165.5
0;1;4.2;0.94;174.75;176.25
0;1;4.3;0.97;NaN;NaN
0;1;3.7;0.96;177.5;177.25
0;1;5.8;0.94;172.0;172.0
1;1;1.7;0.93;182.25;180.5
1;1;2.2;0.98;160.5;160.75
0;1;0.0;0.98;158.75;155.75
0;1;0.1;0.94;177.25;178.0
0;1;-1.3;0.97;174.75;173.0
0;1;3.0;0.9;174.25;172.0
0;1;1.8;0.71;173.0;169.5
1;1;-0.1;0.68;172.75;171.0
1;1;-1.7;0.7;177.5;176.25
0;1;-3.2;0.95;164.5;163.25
0;1;-4.6;0.86;173.0;170.5
0;1;-0.8;0.77;181.5;180.25
0;1;1.5;0.86;174.75;170.75
0;1;0.0;0.87;174.75;172.75
1;1;-1.2;0.83;183.5;177.0
1;1;-1.2;0.76;177.75;174.25
0;1;-1.1;0.73;167.75;166.75
0;2;-2.2;0.75;189.25;186.75
0;2;-3.6;0.89;181.0;180.0
0;2;-2.7;0.81;183.0;182.5
0;2;-4.4;0.91;183.0;179.0
1;2;-1.7;0.91;173.25;172.5
1;2;-2.3;0.9;174.75;169.5
0;2;-1.4;0.88;168.25;167.5
0;2;-1.6;0.87;178.0;177.25
0;2;2.7;0.87;179.0;176.5
0;2;-0.3;0.89;179.5;179.25
0;2;-1.4;0.88;186.75;186.5
1;2;8.1;0.58;179.0;177.5
1;2;2.7;0.57;188.0;187.5
0;2;1.1;0.94;181.5;178.75
0;2;0.1;0.93;192.0;187.25
0;2;0.5;0.93;199.75;194.0
0;2;4.0;0.93;191.25;189.0
0;2;3.5;0.95;184.0;183.5
1;2;3.9;0.75;186.75;185.25
1;2;1.1;0.94;151.75;151.75
0;2;0.7;0.81;185.5;184.25
0;2;-2.8;0.73;191.25;190.75
0;2;-2.4;0.66;180.5;181.25
0;2;-7.2;0.9;176.0;174.0
0;2;-7.2;0.79;184.0;179.5
1;2;-1.3;0.68;190.25;184.25
1;2;-2.2;0.78;184.5;185.25
0;2;-1.3;0.89;182.25;181.5
0;3;0.1;0.82;188.5;188.25
0;3;1.1;0.76;193.25;189.25
0;3;-1.9;0.83;182.25;180.75
0;3;-0.1;0.86;184.0;176.75
1;3;-0.2;0.88;182.5;179.0
1;3;-2.8;0.9;178.073260073;179.452554745
0;3;1.1;0.41;172.286764706;171.682481752
0;3;-4.5;0.74;187.018050542;183.963898917
0;3;-4.8;0.77;188.80859375;186.876494024
0;3;-2.8;0.78;195.73151751;195.62890625
0;3;0.3;0.77;188.031128405;186.175097276
