Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-3.5;0.96;163.0;161.75
1;1;-3.2;0.94;176.5;171.5
0;1;-4.9;0.92;187.5;181.0
0;1;-3.0;0.88;180.75;175.0
0;1;-4.1;0.9;180.25;175.25
1;1;4.9;0.83;176.25;177.75
0;1;11.4;0.75;175.5;170.0
1;1;9.8;0.85;172.75;168.75
1;1;6.6;0.97;171.0;167.5
0;1;4.7;0.91;187.25;185.0
0;1;4.1;0.97;199.25;191.5
0;1;3.7;0.96;186.25;181.25
0;1;6.0;0.92;199.0;186.75
0;1;2.9;0.92;187.5;180.5
1;1;3.3;0.96;165.0;162.25
1;1;0.9;0.97;163.0;160.5
0;1;2.1;0.92;192.5;182.5
0;1;-0.8;0.98;191.25;180.25
0;1;3.1;0.89;193.75;188.25
0;1;2.6;0.66;184.5;177.0
0;1;0.7;0.68;176.5;175.5
1;1;-0.7;0.63;181.75;174.75
1;1;-2.3;0.86;168.5;167.5
0;1;-1.8;0.8;192.5;180.75
0;1;-0.3;0.76;201.25;197.25
0;1;0.7;0.87;190.0;186.75
0;1;0.0;0.89;193.5;186.25
0;1;-0.1;0.76;190.5;188.25
1;1;-1.1;0.75;186.5;181.75
1;1;-1.2;0.72;176.0;170.5
0;1;-2.0;0.74;215.25;205.25
0;2;-3.6;0.91;198.75;185.25
0;2;-2.1;0.74;191.5;186.75
0;2;-4.7;0.9;199.5;194.0
0;2;-1.4;0.9;174.5;171.0
1;2;-1.1;0.89;177.25;174.75
1;2;0.6;0.84;170.5;168.75
0;2;0.6;0.86;196.25;185.5
0;2;6.7;0.64;191.5;185.0
0;2;1.2;0.85;192.25;184.0
0;2;0.4;0.85;203.0;194.5
0;2;9.0;0.59;189.5;184.5
1;2;3.0;0.58;186.25;185.25
1;2;1.2;0.93;185.25;185.0
0;2;0.9;0.91;214.5;205.75
0;2;0.4;0.89;215.5;209.75
0;2;4.6;0.92;202.25;194.5
0;2;4.0;0.95;203.75;193.75
0;2;4.0;0.76;187.5;182.25
1;2;3.9;0.87;151.5;151.25
1;2;2.0;0.7;193.25;188.75
0;2;-2.2;0.7;212.0;204.5
0;2;-1.8;0.69;198.75;188.25
0;2;-6.0;0.89;195.5;187.5
0;2;-6.3;0.82;201.75;194.0
0;2;-1.1;0.59;202.5;192.0
1;2;-3.1;0.83;180.5;180.5
1;2;-1.2;0.86;189.0;190.5
0;2;0.1;0.83;218.5;202.5
0;3;1.0;0.75;210.75;205.75
0;3;-1.8;0.87;199.75;191.75
0;3;0.4;0.8;200.25;191.25
0;3;-1.9;0.89;190.5;180.25
1;3;-1.9;0.89;182.675373134;180.649635036
1;3;1.0;0.39;179.182481752;176.0
0;3;-4.2;0.73;204.234432234;197.799270073
0;3;-3.4;0.72;201.207843137;196.46184739
0;3;-1.3;0.7;207.21875;203.054474708
0;3;7.7;0.35;204.13671875;197.62109375
0;3;7.4;0.51;201.163424125;194.34765625
1;3;9.4;0.58;198.575875486;191.875
1;3;11.6;0.6;190.45703125;188.40234375
0;3;11.4;0.84;207.25;202.0
