Praznik;Mjesec;Temperatura;Potrosnja
1;1;-4.2;171.25
1;1;-3.2;162.0
0;1;-4.0;169.5
0;1;-4.6;178.75
0;1;-3.2;174.0
1;1;-3.9;168.75
0;1;5.0;176.0
1;1;11.0;173.75
1;1;9.2;167.75
0;1;5.5;166.0
0;1;3.7;182.5
0;1;4.1;NaN
0;1;3.7;182.25
0;1;5.9;176.75
1;1;2.6;185.5
1;1;3.0;160.0
0;1;0.7;159.5
0;1;1.1;180.25
0;1;-0.8;178.75
0;1;3.1;183.0
0;1;2.5;175.5
1;1;0.6;175.0
1;1;-1.1;175.25
0;1;-2.5;169.0
0;1;-2.1;178.0
0;1;-0.4;191.25
0;1;1.0;179.5
0;1;0.0;185.75
1;1;-0.6;188.0
1;1;-1.2;182.75
0;1;-1.0;167.0
0;2;-2.0;197.75
0;2;-3.7;181.5
0;2;-2.0;184.5
0;2;-5.3;186.75
1;2;-2.1;175.0
1;2;-1.4;173.25
0;2;0.0;166.0
0;2;0.4;181.0
0;2;4.5;181.5
0;2;0.7;183.75
0;2;0.0;195.75
1;2;8.8;181.0
1;2;2.6;187.75
0;2;1.2;185.5
0;2;0.8;198.0
0;2;0.3;202.25
0;2;4.8;192.75
0;2;4.0;190.0
1;2;3.8;186.0
1;2;3.8;152.5
0;2;1.8;189.5
0;2;-2.2;198.5
0;2;-1.9;186.25
0;2;-6.4;182.25
0;2;-6.6;189.0
1;2;-1.4;192.25
1;2;-2.6;182.25
0;2;-1.2;184.75
0;3;0.1;195.5
0;3;1.0;200.0
0;3;-1.8;188.5
0;3;0.1;187.5
1;3;-0.4;179.0
1;3;-2.3;181.076642336
0;3;2.5;172.344322344
0;3;-4.5;191.03649635
0;3;-3.3;197.019455253
0;3;-1.3;197.765625
0;3;6.2;195.435797665
1;3;7.2;193.276264591
1;3;7.3;189.84375
0;3;11.4;188.32421875
0;3;10.1;199.25
0;3;8.7;193.75
0;3;11.1;199.0
0;3;5.9;197.5
1;3;6.5;190.0
1;3;6.3;188.0
0;3;5.3;181.0
0;3;0.7;190.25
0;3;2.9;194.5
0;3;4.9;201.75
0;3;5.5;199.75
1;3;12.4;190.75
1;3;10.8;192.75
0;3;7.5;NaN
0;3;9.4;NaN
0;3;4.9;191.25
0;3;5.7;206.0
0;4;7.4;NaN
1;4;10.0;NaN
1;4;10.3;NaN
0;4;11.7;NaN
0;4;10.6;NaN
0;4;6.5;NaN
0;4;8.9;NaN
0;4;18.8;NaN
1;4;13.1;NaN
1;4;7.7;NaN
0;4;7.8;NaN
0;4;9.9;NaN
0;4;7.4;NaN
0;4;4.7;NaN
0;4;7.6;NaN
1;4;7.3;NaN
1;4;9.4;151.0
0;4;5.9;146.25
0;4;9.0;158.75
0;4;7.4;168.0
0;4;8.7;162.75
0;4;9.1;160.25
1;4;10.0;151.75
1;4;15.5;143.25
1;4;13.2;148.75
0;4;13.9;153.0
0;4;12.6;158.5
0;4;13.3;155.5
0;4;10.9;169.25
1;4;12.2;161.25
1;5;11.9;188.0
0;5;12.0;159.75
0;5;11.7;153.25
0;5;8.1;174.25
0;5;4.3;165.25
0;5;5.5;161.270072993
1;5;7.7;164.452674897
1;5;8.6;160.172131148
0;5;8.1;160.25
0;5;11.5;154.0
0;5;11.4;166.75
0;5;12.1;174.5
0;5;19.5;NaN
1;5;15.0;NaN
1;5;14.3;196.8
0;5;9.9;186.187755102
0;5;12.5;164.068181818
0;5;14.6;157.226086957
0;5;12.9;155.0
0;5;15.0;164.175438596
1;5;15.7;159.963800905
1;5;13.2;153.584745763
0;5;15.8;154.251184834
0;5;17.7;167.793859649
0;5;17.7;171.017699115
0;5;15.2;166.5
0;5;15.7;176.770562771
1;5;16.3;169.575757576
1;5;12.3;155.551724138
0;5;12.7;154.628820961
0;5;15.7;174.811158798
