Praznik;Mjesec;Temperatura;Potrosnja
1;1;-4.6;171.5
1;1;-3.2;159.75
0;1;-7.2;165.5
0;1;-3.6;178.75
0;1;-3.2;176.0
1;1;-4.1;167.75
0;1;5.9;173.5
1;1;11.1;170.25
1;1;9.4;166.25
0;1;4.8;165.25
0;1;4.1;178.0
0;1;4.2;NaN
0;1;3.3;179.5
0;1;5.5;173.25
1;1;1.4;179.0
1;1;2.1;159.5
0;1;-0.2;155.0
0;1;0.0;174.0
0;1;-2.0;171.75
0;1;2.2;170.5
0;1;1.6;171.5
1;1;-0.3;168.5
1;1;-2.3;175.75
0;1;-3.2;163.5
0;1;-5.1;171.0
0;1;-1.2;176.25
0;1;1.1;169.75
0;1;-0.1;175.0
1;1;-2.0;177.5
1;1;-1.4;170.75
0;1;-1.0;165.0
0;2;-2.2;188.0
0;2;-3.5;181.0
0;2;-2.7;186.25
0;2;-4.5;177.75
1;2;-2.2;170.75
1;2;-2.2;170.25
0;2;-1.6;166.75
0;2;-1.9;179.0
0;2;2.4;176.0
0;2;-0.5;179.0
0;2;-1.9;186.0
1;2;8.9;175.75
1;2;2.1;188.75
0;2;1.1;179.75
0;2;0.1;187.0
0;2;0.2;193.75
0;2;3.7;190.25
0;2;3.4;182.5
1;2;3.5;177.25
1;2;0.6;151.75
0;2;0.3;184.25
0;2;-3.1;187.25
0;2;-2.6;181.25
0;2;-7.2;174.75
0;2;-7.4;180.5
1;2;-1.4;181.25
1;2;-2.0;182.0
0;2;-1.3;179.75
0;3;0.1;188.5
0;3;1.0;187.25
0;3;-1.9;181.5
0;3;-0.1;177.25
1;3;-0.2;176.25
1;3;-3.5;176.47810219
0;3;0.9;172.315018315
0;3;-4.7;183.329710145
0;3;-5.1;186.86770428
0;3;-2.7;194.1875
0;3;-0.5;184.6875
1;3;4.9;183.49609375
1;3;7.1;187.490272374
0;3;11.0;185.106299213
0;3;8.8;187.0
0;3;7.7;185.0
0;3;11.1;184.75
0;3;5.0;187.75
1;3;5.8;184.0
1;3;4.9;185.5
0;3;4.4;180.0
0;3;0.0;185.75
0;3;1.2;187.0
0;3;4.6;193.666666667
0;3;3.8;188.0
1;3;11.3;184.0
1;3;10.7;196.75
0;3;6.5;NaN
0;3;8.0;NaN
0;3;3.0;190.666666667
0;3;5.0;193.0
0;4;6.0;NaN
1;4;7.9;NaN
1;4;9.2;NaN
0;4;9.0;NaN
0;4;9.9;NaN
0;4;5.6;NaN
0;4;8.0;NaN
0;4;15.7;NaN
1;4;11.0;NaN
1;4;5.7;NaN
0;4;6.5;NaN
0;4;7.7;NaN
0;4;6.8;NaN
0;4;5.9;NaN
0;4;5.6;NaN
1;4;8.7;NaN
1;4;7.0;147.75
0;4;4.1;142.5
0;4;7.0;151.25
0;4;5.3;156.25
0;4;6.8;150.5
0;4;7.4;151.75
1;4;8.3;145.5
1;4;14.1;141.0
1;4;11.3;142.5
0;4;13.1;140.25
0;4;12.3;150.25
0;4;13.1;151.25
0;4;11.5;158.5
1;4;12.0;158.5
1;5;11.6;176.25
0;5;8.6;153.5
0;5;11.5;150.25
0;5;6.0;NaN
0;5;4.4;153.75
0;5;4.2;155.382352941
1;5;6.1;153.157676349
1;5;7.8;155.265560166
0;5;5.8;152.0
0;5;10.6;152.5
0;5;9.3;158.0
0;5;9.9;163.0
0;5;17.5;NaN
1;5;12.6;NaN
1;5;13.7;182.75
0;5;9.8;175.079497908
0;5;13.5;154.421052632
0;5;13.8;148.055319149
0;5;12.2;145.457831325
0;5;13.8;153.805194805
1;5;14.4;150.413636364
1;5;12.1;146.163090129
0;5;14.6;146.938596491
0;5;15.4;157.627705628
0;5;16.0;159.107758621
0;5;14.3;156.25
0;5;14.6;161.679487179
1;5;13.1;157.151515152
1;5;9.8;154.200854701
0;5;11.0;150.449152542
0;5;14.5;160.225531915
