Praznik;Mjesec;Temperatura;Potrosnja
1;1;-5.0;147.75
1;1;-2.0;161.75
0;1;-3.9;344.0
0;1;-2.8;363.0
0;1;-2.9;369.5
1;1;-2.4;177.25
0;1;9.3;214.75
1;1;11.6;169.75
1;1;9.3;163.0
0;1;5.7;366.5
0;1;3.5;355.25
0;1;4.7;NaN
0;1;4.0;374.75
0;1;4.8;350.75
1;1;4.0;193.25
1;1;2.3;150.25
0;1;-0.3;367.75
0;1;0.1;351.0
0;1;-2.0;354.0
0;1;3.5;367.25
0;1;1.3;385.0
1;1;-0.2;187.0
1;1;-2.7;170.75
0;1;-2.4;368.0
0;1;-2.2;354.25
0;1;-0.3;343.0
0;1;2.5;354.5
0;1;-0.9;361.75
1;1;-2.2;182.5
1;1;-1.3;168.25
0;1;-1.4;349.25
0;2;-2.1;336.0
0;2;-3.2;334.5
0;2;-1.6;328.75
0;2;-3.3;320.5
1;2;-0.7;182.25
1;2;1.1;171.5
0;2;1.2;303.25
0;2;1.5;317.75
0;2;5.7;319.5
0;2;2.3;310.0
0;2;-0.2;324.75
1;2;11.0;173.25
1;2;3.0;175.25
0;2;1.7;381.5
0;2;0.6;372.75
0;2;1.7;375.25
0;2;2.2;375.5
0;2;3.1;354.5
1;2;2.7;155.0
1;2;2.5;142.5
0;2;-1.3;372.25
0;2;-2.3;362.0
0;2;-5.0;352.75
0;2;-4.4;347.5
0;2;-2.4;353.75
1;2;-1.3;180.75
1;2;-1.8;170.75
0;2;-1.3;384.5
0;3;0.2;372.0
0;3;0.1;385.0
0;3;-1.3;373.75
0;3;0.8;352.5
1;3;0.3;183.864468864
1;3;0.4;171.306569343
0;3;2.2;350.131086142
0;3;0.8;360.629482072
0;3;0.9;361.856031128
0;3;2.8;353.6796875
0;3;8.8;340.15234375
1;3;8.0;185.431906615
1;3;11.3;182.19921875
0;3;14.7;392.840466926
0;3;14.0;326.5
0;3;10.8;354.25
0;3;11.4;350.5
0;3;10.9;358.25
1;3;5.9;180.25
1;3;5.4;177.75
0;3;4.8;352.5
0;3;6.6;345.0
0;3;9.1;332.75
0;3;12.1;312.0
0;3;11.8;309.0
1;3;14.1;211.25
1;3;11.5;183.0
0;3;10.0;NaN
0;3;10.7;NaN
0;3;9.9;328.75
0;3;13.2;342.5
0;4;13.1;NaN
1;4;14.8;NaN
1;4;15.6;NaN
0;4;15.8;NaN
0;4;11.1;NaN
0;4;14.8;NaN
0;4;16.6;NaN
0;4;16.5;NaN
1;4;17.0;NaN
1;4;13.6;NaN
0;4;14.9;NaN
0;4;19.2;NaN
0;4;10.7;NaN
0;4;10.1;NaN
0;4;11.2;NaN
1;4;10.5;NaN
1;4;12.7;154.0
0;4;14.3;324.75
0;4;15.3;329.25
0;4;14.7;339.75
0;4;15.1;319.5
0;4;17.9;281.25
1;4;18.1;153.25
1;4;19.4;137.75
1;4;14.6;146.0
0;4;12.4;346.5
0;4;15.0;310.0
0;4;13.0;323.75
0;4;12.9;333.0
1;4;13.8;160.5
1;5;14.4;145.0
0;5;15.2;288.5
0;5;18.9;318.0
0;5;9.9;NaN
0;5;13.8;289.981818182
0;5;13.2;301.408759124
1;5;15.0;158.531120332
1;5;18.9;146.315352697
0;5;15.4;294.25
0;5;19.4;279.0
0;5;20.4;324.5
0;5;20.8;292.0
0;5;19.6;NaN
1;5;19.9;NaN
1;5;15.4;186.276422764
0;5;15.2;354.928286853
0;5;16.5;332.877729258
0;5;16.7;333.521367521
0;5;20.3;341.756521739
0;5;22.8;314.959459459
1;5;23.0;134.071748879
1;5;19.4;146.970588235
0;5;21.1;328.296460177
0;5;22.6;372.727678571
0;5;23.8;349.827272727
0;5;20.2;339.692982456
0;5;23.0;348.612765957
1;5;12.4;170.724576271
1;5;18.4;145.811965812
0;5;21.4;387.084745763
0;5;23.0;351.987068966
