RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;16668;16630
1;12;17790;17627
1;12;18088;17957
1;12;17168;17008
1;12;16303;16060
0;12;15780;15507
0;1;13800;13611
0;1;15207;15207
1;1;16224;16113
1;1;16517;16422
1;1;17731;17616
1;1;18742;18570
1;1;16797;16591
0;1;16946;16742
0;1;15458;15348
1;1;17377;16669
1;1;17334;17258
1;1;18025;17850
1;1;17134;16996
1;1;17143;17056
0;1;15852;15649
0;1;16385;16294
0;1;18287;18109
1;1;19498;19282
1;1;19707;19421
1;1;18123;17948
1;1;19252;19037
0;1;18836;18740
0;1;18115;17904
1;1;19012;18754
1;1;18232;17999
1;1;19399;19179
1;1;18911;18700
1;1;18930;18543
0;1;16566;16232
0;1;15387;15158
1;1;17588;17328
1;2;17402;17106
1;2;17314;17054
1;2;17412;17264
1;2;17261;16925
0;2;14654;14280
0;2;14543;14317
1;2;16336;16097
1;2;16712;16466
1;2;16222;16047
1;2;17601;17506
1;2;17116;16858
0;2;15352;15123
0;2;14713;14446
1;2;17415;17335
1;2;16025;16080
1;2;16343;16285
1;2;16707;16505
1;2;17189;16974
0;2;16019;15593
0;2;15161;14837
0;2;18010;17730
1;2;17253;17010
1;2;16892;16671
1;2;17403;17246
1;2;17291;17063
0;2;15479;15255
0;2;15123;14862
1;2;17501;17370
1;3;17836;17591
1;3;17262;17066
1;3;17400;17177
1;3;17198;16951
0;3;15106;14722
0;3;14910;14839
1;3;16429;16149
1;3;17619;17654
1;3;18236;17972
1;3;17458;17188
1;3;17676;17503
0;3;16257;15909
0;3;14620;14404
1;3;16673;16438
1;3;16456;16195
1;3;16401;16187
1;3;16378;16146
1;3;16066;15764
0;3;14228;13881
0;3;14373;14169
1;3;16600;16332
1;3;15905;15667
1;3;16561;16444
1;3;16945;16697
1;3;15574;15371
0;3;14208;13825
0;3;13179;12642
1;3;17584;17390
1;3;16524;16275
1;3;15755;15524
1;3;15643;15381
1;4;15698;15356
0;4;15671;15374
0;4;14250;14098
1;4;16159;15899
1;4;15767;15465
1;4;15581;15434
1;4;15729;15538
1;4;15578;15310
0;4;13451;13128
0;4;13094;12831
1;4;15562;15353
1;4;15766;15553
1;4;15647;15397
1;4;15552;15322
1;4;15491;15203
0;4;13321;12991
0;4;12964;12785
1;4;15538;15345
1;4;15882;15775
1;4;16640;16568
1;4;15455;15270
1;4;15334;15095
0;4;14595;14357
0;4;13627;13317
1;4;15810;15586
1;4;15665;15480
1;4;16347;16215
1;4;15872;15683
1;4;15556;15336
0;4;14470;14309
0;5;13751;13467
1;5;15643;15422
1;5;15575;15384
1;5;15559;15362
1;5;15642;15434
1;5;15471;15217
0;5;14481;14173
0;5;13341;13105
1;5;15916;15673
1;5;15996;15924
1;5;16360;16271
1;5;15770;15568
1;5;15360;15210
0;5;13627;13339
0;5;13571;13400
1;5;15977;15796
1;5;15881;15691
1;5;15749;15596
1;5;15769;15610
1;5;15618;15433
0;5;13562;13396
0;5;13480;13248
1;5;16057;15855
1;5;16449;16298
1;5;16567;16395
1;5;16235;16070
1;5;15876;15683
0;5;13679;13502
0;5;13134;12974
0;5;13614;13422
1;5;16440;16349
1;6;16395;16318
1;6;16768;16688
1;6;17126;17014
0;6;15536;15512
0;6;16776;16831
1;6;18435;18535
1;6;20573;20776
1;6;21185;21626
1;6;21708;21925
1;6;21378;21597
0;6;21014;21059
0;6;20603;20713
1;6;24590;24905
1;6;22777;22313
1;6;16997;16801
1;6;16689;16590
1;6;17199;17078
0;6;14775;14563
0;6;13849;13663
1;6;17921;17982
1;6;19315;19525
1;6;18619;18417
1;6;18634;18110
1;6;19957;20234
0;6;21262;21597
0;6;22287;22393
1;6;24282;24352
1;6;22112;22081
1;6;23558;23085
1;6;21615;21742
1;7;19972;20037
0;7;17320;17259
0;7;15515;15503
0;7;15832;15894
1;7;20901;21218
1;7;20183;19972
1;7;17525;17440
1;7;17160;16893
0;7;15540;15492
0;7;17168;17488
1;7;23673;23990
1;7;21406;21742
1;7;19783;19831
1;7;21985;22370
1;7;23465;23578
0;7;20522;20611
