RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;12964;13682
1;12;15112;16122
1;12;16543;17681
1;12;15165;16392
1;12;14487;15761
0;12;13333;14152
0;1;11207;11540
0;1;12182;12804
1;1;14415;15767
1;1;14722;16302
1;1;15282;16837
1;1;15790;17006
1;1;15682;16995
0;1;13160;14146
0;1;12773;13403
1;1;15640;17150
1;1;15971;17317
1;1;15845;17380
1;1;15612;17080
1;1;14511;16006
0;1;13499;14495
0;1;13226;13917
0;1;15375;16590
1;1;18264;19612
1;1;18774;20064
1;1;17338;18530
1;1;18232;19612
0;1;16597;17559
0;1;14665;15308
1;1;17908;19095
1;1;17578;18692
1;1;16948;18179
1;1;18031;19231
1;1;18833;20074
0;1;15876;16785
0;1;13508;14164
1;1;16920;18223
1;2;17717;18968
1;2;17500;18746
1;2;16991;18230
1;2;15794;17031
0;2;13487;14296
0;2;12386;12986
1;2;15626;16931
1;2;15683;16906
1;2;15460;16676
1;2;15048;16588
1;2;15914;17167
0;2;13556;14450
0;2;12555;13239
1;2;16427;17632
1;2;15236;16389
1;2;15320;16513
1;2;15752;16990
1;2;16106;17368
0;2;14608;15517
0;2;13416;14083
0;2;14655;15688
1;2;15614;16849
1;2;15273;16456
1;2;16240;17468
1;2;15886;17070
0;2;14322;15231
0;2;13215;13923
1;2;16389;17677
1;3;15327;16524
1;3;16002;17184
1;3;16577;17792
1;3;16862;18023
0;3;13992;14913
0;3;12596;13307
1;3;15167;16416
1;3;14938;16356
1;3;16945;18220
1;3;17173;18303
1;3;16636;17836
0;3;13159;14211
0;3;12494;13298
1;3;15728;16942
1;3;15760;16974
1;3;15522;16745
1;3;15626;16862
1;3;15228;16474
0;3;12822;13856
0;3;12000;12799
1;3;14736;16235
1;3;15221;16333
1;3;14797;16168
1;3;15093;16572
1;3;14098;15253
0;3;12459;13499
0;3;11714;12575
1;3;14528;16241
1;3;14716;16224
1;3;14531;15754
1;3;14454;15734
1;4;14144;15669
0;4;11826;13129
0;4;10659;11183
1;4;14166;15738
1;4;14449;15789
1;4;13900;15395
1;4;13622;15090
1;4;13580;15124
0;4;11212;12259
0;4;10563;11344
1;4;13461;15020
1;4;14272;15724
1;4;14312;15718
1;4;14059;15467
1;4;14070;15509
0;4;11594;12641
0;4;10617;11374
1;4;12242;13831
1;4;12828;14429
1;4;12561;14172
1;4;12717;14194
1;4;12824;14343
0;4;10877;11953
0;4;10131;10946
1;4;13353;14950
1;4;13702;15135
1;4;13369;15107
1;4;13554;15151
1;4;13585;15082
0;4;10846;12014
0;5;10095;10984
1;5;13362;14855
1;5;13524;15049
1;5;13550;15060
1;5;13658;15211
1;5;13420;15044
0;5;11096;12351
0;5;10431;11363
1;5;13242;14997
1;5;13248;14877
1;5;13047;14716
1;5;13210;14882
1;5;13307;14877
0;5;10698;11854
0;5;9812;10688
1;5;13022;14793
1;5;13132;14752
1;5;13162;14805
1;5;13097;14755
1;5;12969;14653
0;5;10715;11912
0;5;9993;10905
1;5;13134;14929
1;5;13397;15217
1;5;13790;15527
1;5;13613;15339
1;5;13195;14923
0;5;10506;11621
0;5;9718;10599
0;5;9908;10963
1;5;12795;14698
1;6;13188;14954
1;6;13216;15071
1;6;13090;14907
0;6;11032;12371
0;6;10650;11836
1;6;13935;15801
1;6;14366;16433
1;6;14686;16819
1;6;15532;17705
1;6;15775;17824
0;6;13386;14920
0;6;13016;14184
1;6;16997;19273
1;6;17711;19857
1;6;14321;15941
1;6;13481;15258
1;6;13276;15046
0;6;11074;12310
0;6;10245;11192
1;6;12964;14885
1;6;13400;15426
1;6;14139;16230
1;6;13213;15067
1;6;13382;15403
0;6;12746;14380
0;6;13222;14623
1;6;16337;18478
1;6;16771;18745
1;6;16468;18563
1;6;15904;17842
1;7;14740;16502
0;7;12646;13993
0;7;10678;11711
0;7;10699;11615
1;7;12999;15036
1;7;15312;17095
1;7;13542;15189
1;7;13157;14850
0;7;10963;12060
0;7;10804;11846
1;7;14991;17222
1;7;15227;17245
1;7;14410;16258
1;7;15047;17361
1;7;16081;18107
0;7;13931;15199
0;7;13379;14256
1;7;16943;19015
1;7;17546;19629
1;7;17014;19173
1;7;15950;18012
1;7;15810;18029
0;7;13848;15187
0;7;11423;12473
1;7;15266;17276
1;7;15947;18160
1;7;17993;20323
1;7;15548;17076
1;7;13882;15858
0;7;12932;14067
0;7;11847;12755
1;8;14389;16258
1;8;15291;17439
1;8;16013;18144
1;8;16147;18137
1;8;16955;18937
0;8;13452;14717
0;8;11992;12940
1;8;15409;17506
1;8;16958;18764
1;8;16075;18044
1;8;16684;18703
1;8;16485;18076
0;8;15362;16886
0;8;14902;15881
1;8;15905;17456
1;8;14016;15797
1;8;14338;16254
1;8;13863;15542
1;8;13663;15434
0;8;12538;13611
0;8;12800;13716
1;8;15029;16857
1;8;14062;15872
1;8;13981;15601
1;8;13465;15166
1;8;13452;15226
0;8;12058;13284
0;8;11980;12936
1;8;16002;17846
1;8;16904;18530
1;8;17215;18896
1;9;15980;17511
1;9;14470;16132
0;9;12063;13171
0;9;10934;11780
0;9;10867;11674
1;9;13540;15100
1;9;13945;15447
1;9;14314;15849
1;9;14836;16284
0;9;11358;12462
0;9;10247;10993
1;9;13978;15585
1;9;15499;16956
1;9;15967;17498
1;9;17049;18629
1;9;16255;17735
0;9;12570;13567
0;9;11294;12023
1;9;14032;15441
1;9;15040;16560
1;9;14454;15803
1;9;14283;15610
1;9;15112;16622
0;9;11318;12231
0;9;10154;10906
1;9;14258;15793
1;9;14665;15942
1;9;13619;14946
1;9;13996;15398
1;9;13556;14893
0;10;11119;12130
0;10;10195;10902
1;10;13512;14943
1;10;13958;15414
1;10;14110;15496
1;10;14709;16241
1;10;15103;16649
0;10;12904;14013
0;10;10626;11301
0;10;12121;13334
1;10;13842;15355
1;10;13885;15505
1;10;13871;15406
1;10;13878;15578
0;10;11614;12692
0;10;10702;11330
1;10;13884;15276
1;10;14046;15721
1;10;13916;15330
1;10;13914;15295
1;10;14125;15553
0;10;11801;12848
0;10;10809;11630
1;10;14271;15795
1;10;14411;16186
1;10;14681;16220
1;10;14899;16311
1;10;14816;16368
0;10;12300;13372
0;10;11736;12669
1;10;14242;15449
1;11;14085;15372
1;11;14022;15333
1;11;14653;15935
1;11;13955;15204
0;11;11305;12417
0;11;10417;11314
1;11;13784;15228
1;11;14036;15239
1;11;14510;15741
1;11;14126;15506
0;11;13896;15080
0;11;12753;13699
0;11;11353;12065
1;11;13786;15110
1;11;14472;15919
1;11;14295;15656
1;11;14269;15569
1;11;15296;16584
0;11;13273;14284
0;11;11975;12698
1;11;14767;16042
1;11;14531;16159
1;11;15305;16724
0;11;12944;13950
1;11;13771;14586
0;11;13292;14152
0;11;12082;12739
1;11;14875;16369
1;11;14588;15989
1;11;14215;15875
1;12;14822;16197
1;12;15051;16492
0;12;13555;14580
0;12;12735;13655
1;12;16397;17703
1;12;16240;17641
1;12;16708;17936
1;12;17427;18667
1;12;16251;17714
0;12;13965;14916
0;12;12873;13675
1;12;16058;17399
1;12;17203;18698
1;12;18185;19523
1;12;18357;19659
1;12;16152;17777
0;12;13775;14787
0;12;13217;13991
1;12;16539;18019
1;12;17282;18593
1;12;17367;18738
1;12;17050;18466
1;12;15299;16601
0;12;12415;13362
0;12;11844;12701
0;12;11584;12365
1;12;14442;15715
1;12;14951;16165
1;12;13711;15091
1;12;13404;14721
0;12;13096;13856
