RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;13682;14692
1;12;16122;17063
1;12;17681;18372
1;12;16392;17138
1;12;15761;16560
0;12;14152;15110
0;1;11540;12248
0;1;12804;13725
1;1;15767;16098
1;1;16302;16564
1;1;16837;17151
1;1;17006;17655
1;1;16995;17122
0;1;14146;15301
0;1;13403;14373
1;1;17150;17506
1;1;17317;17489
1;1;17380;17800
1;1;17080;17306
1;1;16006;16392
0;1;14495;15483
0;1;13917;14947
0;1;16590;17492
1;1;19612;19819
1;1;20064;20266
1;1;18530;18664
1;1;19612;19873
0;1;17559;18695
0;1;15308;16299
1;1;19095;19534
1;1;18692;18909
1;1;18179;18713
1;1;19231;19493
1;1;20074;20238
0;1;16785;17780
0;1;14164;15121
1;1;18223;18400
1;2;18968;18994
1;2;18746;18758
1;2;18230;18328
1;2;17031;17517
0;2;14296;15196
0;2;12986;13916
1;2;16931;17195
1;2;16906;17137
1;2;16676;16843
1;2;16588;17105
1;2;17167;17561
0;2;14450;15622
0;2;13239;14224
1;2;17632;17817
1;2;16389;16614
1;2;16513;16671
1;2;16990;17275
1;2;17368;17690
0;2;15517;16528
0;2;14083;14914
0;2;15688;16748
1;2;16849;17482
1;2;16456;16934
1;2;17468;17927
1;2;17070;17678
0;2;15231;16090
0;2;13923;14729
1;2;17677;18000
1;3;16524;17343
1;3;17184;17445
1;3;17792;18041
1;3;18023;18156
0;3;14913;15776
0;3;13307;14125
1;3;16416;16667
1;3;16356;16835
1;3;18220;18675
1;3;18303;18337
1;3;17836;18047
0;3;14211;15462
0;3;13298;14194
1;3;16942;17194
1;3;16974;17182
1;3;16745;16953
1;3;16862;17021
1;3;16474;16705
0;3;13856;14826
0;3;12799;13686
1;3;16235;16703
1;3;16333;16533
1;3;16168;16558
1;3;16572;17168
1;3;15253;15840
0;3;13499;14582
0;3;12575;13388
1;3;16241;17012
1;3;16224;16608
1;3;15754;16051
1;3;15734;15989
1;4;15669;16096
0;4;13129;14528
0;4;11183;12082
1;4;15738;16226
1;4;15789;16038
1;4;15395;15695
1;4;15090;15515
1;4;15124;15664
0;4;12259;13342
0;4;11344;12296
1;4;15020;15487
1;4;15724;16027
1;4;15718;15983
1;4;15467;15728
1;4;15509;15839
0;4;12641;13617
0;4;11374;12277
1;4;13831;14777
1;4;14429;15150
1;4;14172;15121
1;4;14194;14990
1;4;14343;15072
0;4;11953;13299
0;4;10946;12096
1;4;14950;15500
1;4;15135;15508
1;4;15107;15761
1;4;15151;15663
1;4;15082;15551
0;4;12014;13312
0;5;10984;12132
1;5;14855;15319
1;5;15049;15470
1;5;15060;15417
1;5;15211;15573
1;5;15044;15502
0;5;12351;13662
0;5;11363;12485
1;5;14997;15608
1;5;14877;15374
1;5;14716;15295
1;5;14882;15450
1;5;14877;15336
0;5;11854;13104
0;5;10688;11789
1;5;14793;15460
1;5;14752;15304
1;5;14805;15394
1;5;14755;15290
1;5;14653;15205
0;5;11912;13104
0;5;10905;12062
1;5;14929;15568
1;5;15217;15868
1;5;15527;16124
1;5;15339;15993
1;5;14923;15547
0;5;11621;12872
0;5;10599;11735
0;5;10963;12221
1;5;14698;15517
1;6;14954;15624
1;6;15071;15695
1;6;14907;15766
0;6;12371;13790
0;6;11836;13323
1;6;15801;16703
1;6;16433;17521
1;6;16819;18031
1;6;17705;18833
1;6;17824;18895
0;6;14920;16710
0;6;14184;15864
1;6;19273;20692
1;6;19857;21097
1;6;15941;16589
1;6;15258;15977
1;6;15046;15970
0;6;12310;13683
0;6;11192;12400
1;6;14885;16034
1;6;15426;16657
1;6;16230;17373
1;6;15067;16200
1;6;15403;16859
0;6;14380;16283
0;6;14623;16466
1;6;18478;20084
1;6;18745;19933
1;6;18563;20269
1;6;17842;19068
1;7;16502;17689
0;7;13993;15465
0;7;11711;13034
0;7;11615;12898
1;7;15036;16488
1;7;17095;18304
1;7;15189;16234
1;7;14850;16019
0;7;12060;13380
0;7;11846;13148
1;7;17222;18943
1;7;17245;18561
1;7;16258;17516
1;7;17361;18464
1;7;18107;19683
0;7;15199;16793
0;7;14256;15545
1;7;19015;20469
1;7;19629;21244
1;7;19173;20842
1;7;18012;19582
1;7;18029;19837
0;7;15187;16751
0;7;12473;13881
1;7;17276;18849
1;7;18160;19935
1;7;20323;22099
1;7;17076;18058
1;7;15858;17309
0;7;14067;15340
0;7;12755;13992
1;8;16258;17492
1;8;17439;19203
1;8;18144;19914
1;8;18137;19731
1;8;18937;20685
0;8;14717;16175
0;8;12940;14324
1;8;17506;19199
1;8;18764;20005
1;8;18044;19733
1;8;18703;20310
1;8;18076;19459
0;8;16886;18822
0;8;15881;17412
1;8;17456;18468
1;8;15797;17033
1;8;16254;17693
1;8;15542;16781
1;8;15434;16846
0;8;13611;14962
0;8;13716;15075
1;8;16857;18386
1;8;15872;17201
1;8;15601;16896
1;8;15166;16432
1;8;15226;16598
0;8;13284;14934
0;8;12936;14494
1;8;17846;19251
1;8;18530;20057
1;8;18896;20138
1;9;17511;18786
1;9;16132;17435
0;9;13171;14627
0;9;11780;13066
0;9;11674;12941
1;9;15100;16088
1;9;15447;16321
1;9;15849;16758
1;9;16284;17053
0;9;12462;13832
0;9;10993;12188
1;9;15585;16558
1;9;16956;17959
1;9;17498;18225
1;9;18629;19439
1;9;17735;18461
0;9;13567;14977
0;9;12023;13294
1;9;15441;16332
1;9;16560;17408
1;9;15803;16617
1;9;15610;16470
1;9;16622;17501
0;9;12231;13528
0;9;10906;12096
1;9;15793;16514
1;9;15942;16493
1;9;14946;15495
1;9;15398;16085
1;9;14893;15356
0;10;12130;13322
0;10;10902;12114
1;10;14943;15529
1;10;15414;16053
1;10;15496;16012
1;10;16241;16769
1;10;16649;17446
0;10;14013;15432
0;10;11301;12363
0;10;13334;14438
1;10;15355;15894
1;10;15505;16001
1;10;15406;15987
1;10;15578;16159
0;10;12692;13897
0;10;11330;12426
1;10;15276;15476
1;10;15721;16023
1;10;15330;15647
1;10;15295;15679
1;10;15553;15858
0;10;12848;14056
0;10;11630;12735
1;10;15795;16164
1;10;16186;16652
1;10;16220;16538
1;10;16311;16485
1;10;16368;16680
0;10;13372;14547
0;10;12669;13593
1;10;15449;15814
1;11;15372;15705
1;11;15333;15651
1;11;15935;16116
1;11;15204;15627
0;11;12417;13520
0;11;11314;12491
1;11;15228;15480
1;11;15239;15542
1;11;15741;16007
1;11;15506;15995
0;11;15080;15820
