RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;14692;15683
1;12;17063;17758
1;12;18372;18715
1;12;17138;17631
1;12;16560;17015
0;12;15110;15883
0;1;12248;13049
0;1;13725;14515
1;1;16098;16284
1;1;16564;16710
1;1;17151;17379
1;1;17655;18190
1;1;17122;17157
0;1;15301;16240
0;1;14373;15137
1;1;17506;17698
1;1;17489;17472
1;1;17800;18015
1;1;17306;17449
1;1;16392;16705
0;1;15483;16130
0;1;14947;15808
0;1;17492;18137
1;1;19819;19897
1;1;20266;20280
1;1;18664;18591
1;1;19873;19941
0;1;18695;19305
0;1;16299;17262
1;1;19534;19665
1;1;18909;18909
1;1;18713;19156
1;1;19493;19529
1;1;20238;20174
0;1;17780;18192
0;1;15121;15728
1;1;18400;18373
1;2;18994;18732
1;2;18758;18518
1;2;18328;18219
1;2;17517;17603
0;2;15196;15724
0;2;13916;14549
1;2;17195;17146
1;2;17137;17207
1;2;16843;16783
1;2;17105;17447
1;2;17561;17693
0;2;15622;16269
0;2;14224;14885
1;2;17817;17851
1;2;16614;16558
1;2;16671;16692
1;2;17275;17223
1;2;17690;17671
0;2;16528;17074
0;2;14914;15464
0;2;16748;17633
1;2;17482;17739
1;2;16934;17138
1;2;17927;18081
1;2;17678;17896
0;2;16090;16531
0;2;14729;15341
1;2;18000;17993
1;3;17343;17748
1;3;17445;17577
1;3;18041;18044
1;3;18156;18076
0;3;15776;16202
0;3;14125;14667
1;3;16667;16781
1;3;16835;17057
1;3;18675;18762
1;3;18337;18246
1;3;18047;18026
0;3;15462;16320
0;3;14194;14831
1;3;17194;17199
1;3;17182;17149
1;3;16953;16968
1;3;17021;17022
1;3;16705;16728
0;3;14826;15305
0;3;13686;14278
1;3;16703;16835
1;3;16533;16487
1;3;16558;16693
1;3;17168;17304
1;3;15840;16143
0;3;14582;15110
0;3;13388;13886
1;3;17012;17392
1;3;16608;16729
1;3;16051;16105
1;3;15989;16055
1;4;16096;16226
0;4;14528;15563
0;4;12082;13053
1;4;16226;16388
1;4;16038;16089
1;4;15695;16145
1;4;15515;15706
1;4;15664;15856
0;4;13342;14029
0;4;12296;13021
1;4;15487;15688
1;4;16027;16100
1;4;15983;16063
1;4;15728;15819
1;4;15839;15946
