RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;NaN;12828
1;12;14312;13322
1;12;15512;14536
1;12;14726;13675
1;12;13837;12749
0;12;13980;12840
0;1;13127;12231
0;1;12949;11998
1;1;12687;11744
1;1;12695;11702
1;1;13101;12086
1;1;14056;13086
1;1;13798;12813
0;1;14064;13022
0;1;13766;12832
1;1;13156;12299
1;1;13661;12693
1;1;13958;12956
1;1;13589;12622
1;1;12988;11917
0;1;13805;12848
0;1;14185;13252
0;1;14156;13307
1;1;15438;14599
1;1;16608;15596
1;1;15254;14266
1;1;15489;14617
0;1;16943;15973
0;1;15584;14660
1;1;15891;15111
1;1;15489;14608
1;1;15069;14160
1;1;15517;14667
1;1;16475;15584
0;1;16136;15228
0;1;14495;13610
1;1;13894;13140
1;2;14932;14061
1;2;14696;13886
1;2;14462;13631
1;2;13996;13049
0;2;13910;12973
0;2;13217;12327
1;2;13231;12232
1;2;13326;12423
1;2;13186;12266
1;2;13071;12139
1;2;13795;12950
0;2;14177;13202
0;2;13511;12616
1;2;13471;12695
1;2;13623;12649
1;2;13025;12097
1;2;13272;12389
1;2;13837;12983
0;2;14856;13958
0;2;14338;13452
0;2;13725;12920
1;2;13898;13021
1;2;13849;12896
1;2;14393;13489
1;2;14618;13675
0;2;14447;13570
0;2;13868;13023
1;2;13733;12949
1;3;14118;13196
1;3;13840;12928
1;3;14218;13334
1;3;14647;13720
0;3;14346;13441
0;3;13469;12636
1;3;12736;11969
1;3;12909;11994
1;3;14658;13933
1;3;15013;14193
1;3;14687;13820
0;3;13958;12984
0;3;13531;12645
1;3;13100;12398
1;3;13590;12753
1;3;13384;12540
1;3;13491;12634
1;3;13383;12503
0;3;13331;12411
0;3;12773;11994
1;3;12300;11546
1;3;13150;12284
1;3;12761;11888
1;3;13377;12465
1;3;13348;12410
0;3;12903;12058
0;3;12772;11836
1;3;11898;11170
1;3;12855;11934
1;3;12624;11715
1;3;12415;11514
1;4;12265;11498
0;4;12264;11355
0;4;11962;11089
1;4;12238;11265
1;4;12791;11748
1;4;12129;11159
1;4;11971;10950
1;4;12085;11131
0;4;12060;11010
0;4;11653;10795
1;4;11222;10383
1;4;12177;11286
1;4;12342;11419
1;4;12248;11289
1;4;12213;11242
0;4;12243;11285
0;4;11527;10708
1;4;11128;10266
1;4;11702;10792
1;4;11867;10869
1;4;12093;11102
1;4;11797;10930
0;4;11803;10847
0;4;11620;10748
1;4;11315;10467
1;4;12077;11177
1;4;11783;10766
1;4;12012;11072
1;4;12148;11195
0;4;11919;10917
0;5;11655;10684
1;5;11347;10459
1;5;11841;10935
1;5;11875;10929
1;5;11908;10953
1;5;11924;10996
0;5;11912;10950
0;5;11943;11018
1;5;11333;10462
1;5;11782;10814
1;5;11835;10802
1;5;11977;10940
1;5;11740;10815
0;5;11815;10753
0;5;11386;10429
1;5;11212;10320
1;5;11817;10793
1;5;11700;10742
1;5;11756;10712
1;5;11770;10751
0;5;11830;10809
0;5;11484;10583
1;5;11201;10358
1;5;11921;10933
1;5;12303;11227
1;5;12284;11303
1;5;12121;11140
0;5;11942;10896
0;5;11476;10483
0;5;11230;10297
1;5;11174;10259
1;6;11909;10934
1;6;12144;11016
1;6;12218;11155
0;6;12534;11384
0;6;13063;11908
1;6;13567;12387
1;6;13326;12264
1;6;14862;13420
1;6;15491;14092
1;6;15465;14075
0;6;15675;14189
0;6;16168;14838
1;6;16189;14983
1;6;18029;16517
1;6;14593;13261
1;6;12499;11394
1;6;12449;11446
0;6;12572;11429
0;6;12169;11122
1;6;11746;10768
1;6;12920;11717
1;6;14230;12832
1;6;13227;11972
1;6;13274;12072
0;6;14975;13581
0;6;16678;15201
1;6;16797;15346
1;6;17154;15880
1;6;16456;15116
1;6;15981;14704
1;7;15358;13981
0;7;15059;13886
0;7;13515;12232
0;7;12754;11629
1;7;13146;11943
1;7;15743;14346
1;7;13855;12642
1;7;13085;11953
0;7;12447;11389
0;7;12887;11853
1;7;15165;13909
1;7;16944;15247
1;7;14718;13511
1;7;14990;13717
1;7;16872;15399
0;7;16608;15166
0;7;16201;14940
1;7;16484;15308
1;7;17964;16553
1;7;18743;17157
1;7;17606;15961
1;7;17345;15680
0;7;17266;15635
0;7;14347;13126
1;7;14718;13690
1;7;17236;15657
1;7;18994;17451
1;7;17394;15772
1;7;14335;13096
0;7;15499;14176
0;7;14538;13306
1;8;13744;12720
1;8;15736;14354
1;8;17266;15809
1;8;17359;15852
1;8;17583;16148
0;8;16791;15306
0;8;14754;13575
1;8;15522;14340
1;8;17762;16271
1;8;16971;15507
1;8;17741;16247
1;8;17744;16184
0;8;17683;16388
0;8;18690;17294
1;8;15914;14770
1;8;14032;12852
1;8;14374;13274
1;8;14738;13412
1;8;13960;12770
0;8;13870;12852
0;8;14751;13687
1;8;15824;14507
1;8;14718;13412
1;8;13975;12808
1;8;13395;12234
1;8;13769;12515
0;8;14270;13057
0;8;14105;13003
1;8;15104;14051
1;8;16607;15280
1;8;16137;14950
1;9;17132;15628
1;9;14915;13579
0;9;14879;13583
0;9;13221;12178
0;9;12600;11626
1;9;12128;11232
1;9;12983;11951
1;9;13547;12354
1;9;14366;13108
0;9;13041;11917
0;9;11933;10977
