RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;15578;14312
1;12;16961;15512
1;12;16270;14726
1;12;15362;13837
1;12;15430;13980
0;12;13962;13127
0;1;14014;12949
0;1;14056;12687
1;1;14137;12695
1;1;14636;13101
1;1;15567;14056
1;1;15240;13798
1;1;15342;14064
0;1;14882;13766
0;1;14403;13156
1;1;15176;13661
1;1;15414;13958
1;1;15055;13589
1;1;14554;12988
1;1;15099;13805
0;1;15277;14185
0;1;15224;14156
0;1;16798;15438
1;1;18045;16608
1;1;16754;15254
1;1;16923;15489
1;1;18206;16943
0;1;16736;15584
0;1;17160;15891
1;1;16950;15489
1;1;16552;15069
1;1;16838;15517
1;1;17875;16475
1;1;17392;16136
0;1;15595;14495
0;1;15061;13894
1;1;16292;14932
1;2;16095;14696
1;2;15958;14462
1;2;15373;13996
1;2;15154;13910
0;2;14213;13217
0;2;14194;13231
1;2;14715;13326
1;2;14610;13186
1;2;14402;13071
1;2;15156;13795
1;2;15418;14177
0;2;14498;13511
0;2;14610;13471
1;2;15043;13623
1;2;14453;13025
1;2;14674;13272
1;2;15265;13837
1;2;16095;14856
0;2;15319;14338
0;2;14724;13725
0;2;15132;13898
1;2;15168;13849
1;2;15677;14393
1;2;15938;14618
1;2;15633;14447
0;2;14859;13868
0;2;14808;13733
1;2;15522;14118
1;3;15239;13840
1;3;15628;14218
1;3;16061;14647
1;3;15528;14346
0;3;14495;13469
0;3;13863;12736
1;3;14331;12909
1;3;15962;14658
1;3;16450;15013
1;3;16108;14687
1;3;15269;13958
0;3;14625;13531
0;3;14210;13100
1;3;15015;13590
1;3;14773;13384
1;3;14938;13491
1;3;14670;13383
1;3;14524;13331
0;3;13745;12773
0;3;13408;12300
1;3;14555;13150
1;3;14147;12761
1;3;14798;13377
1;3;14782;13348
1;3;14068;12903
0;3;13910;12772
0;3;12920;11898
1;3;14409;12855
1;3;14079;12624
1;3;13831;12415
1;3;13846;12265
1;4;13549;12264
0;4;13151;11962
0;4;13525;12238
1;4;14367;12791
1;4;13684;12129
1;4;13557;11971
1;4;13647;12085
1;4;13422;12060
0;4;12755;11653
0;4;12535;11222
1;4;13686;12177
1;4;13847;12342
1;4;13792;12248
1;4;13746;12213
1;4;13572;12243
0;4;12614;11527
0;4;12257;11128
1;4;13170;11702
1;4;13401;11867
1;4;13630;12093
1;4;13282;11797
1;4;13061;11803
0;4;12738;11620
0;4;12577;11315
1;4;13694;12077
1;4;13439;11783
1;4;13641;12012
1;4;13732;12148
1;4;13365;11919
0;4;12830;11655
0;5;12640;11347
1;5;13415;11841
1;5;13513;11875
1;5;13490;11908
1;5;13516;11924
1;5;13350;11912
0;5;13104;11943
0;5;12569;11333
1;5;13436;11782
1;5;13502;11835
1;5;13664;11977
1;5;13450;11740
1;5;13259;11815
0;5;12556;11386
0;5;12499;11212
1;5;13447;11817
1;5;13364;11700
1;5;13325;11756
1;5;13404;11770
1;5;13257;11830
0;5;12588;11484
0;5;12495;11201
1;5;13466;11921
1;5;13763;12303
1;5;13920;12284
1;5;13793;12121
1;5;13405;11942
0;5;12632;11476
0;5;12294;11230
0;5;12522;11174
1;5;13603;11909
1;6;13795;12144
1;6;14121;12218
1;6;14142;12534
0;6;14469;13063
0;6;15389;13567
1;6;15026;13326
1;6;17002;14862
1;6;17676;15491
1;6;17723;15465
1;6;17600;15675
0;6;17975;16168
0;6;18189;16189
1;6;20427;18029
1;6;16633;14593
1;6;14068;12499
1;6;14026;12449
1;6;14134;12572
0;6;13390;12169
0;6;13126;11746
1;6;14687;12920
1;6;16234;14230
1;6;15100;13227
1;6;15007;13274
1;6;16913;14975
0;6;18491;16678
0;6;18783;16797
1;6;19322;17154
1;6;18428;16456
1;6;17896;15981
1;6;17372;15358
1;7;16759;15059
0;7;14884;13515
0;7;13855;12754
0;7;14416;13146
1;7;17734;15743
1;7;15687;13855
1;7;14733;13085
1;7;13872;12447
0;7;14173;12887
0;7;16911;15165
1;7;19389;16944
1;7;16745;14718
1;7;16769;14990
1;7;18979;16872
1;7;18601;16608
0;7;17781;16201
0;7;18108;16484
1;7;20012;17964
1;7;20934;18743
1;7;19981;17606
1;7;19479;17345
1;7;19277;17266
0;7;15892;14347
0;7;16245;14718
1;7;19426;17236
1;7;21077;18994
1;7;19611;17394
1;7;16171;14335
1;7;17132;15499
0;7;15968;14538
0;7;15141;13744
1;8;17679;15736
1;8;19466;17266
1;8;19568;17359
1;8;19542;17583
1;8;18713;16791
0;8;16294;14754
0;8;17153;15522
1;8;19796;17762
1;8;18971;16971
1;8;19905;17741
1;8;19872;17744
1;8;19481;17683
0;8;20384;18690
0;8;17518;15914
1;8;15743;14032
1;8;16054;14374
1;8;16677;14738
