RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;9;16708;17355
1;9;16809;17142
1;9;15722;16150
0;10;14633;15117
0;10;15434;16090
1;10;17492;17824
1;10;17753;18161
1;10;18195;18549
1;10;18443;18773
1;10;18688;18537
0;10;17390;17023
0;10;15337;15360
0;10;17094;17035
1;10;17593;17473
1;10;17661;17482
1;10;17589;17473
1;10;17199;16855
0;10;15823;15703
0;10;15960;15965
1;10;17393;17430
1;10;17498;17467
1;10;17417;17358
1;10;17180;17250
1;10;16554;16400
0;10;16095;15766
0;10;16275;16094
1;10;18200;17875
1;10;18508;18088
1;10;18013;17849
1;10;18000;17804
1;10;17360;16951
0;10;16468;16087
0;10;16140;15668
1;10;16852;16295
1;11;17920;17329
1;11;17896;17406
1;11;17772;17254
1;11;16898;16255
0;11;15481;14942
0;11;16236;15701
1;11;17982;17377
1;11;17768;17257
1;11;18279;17696
1;11;17922;17419
0;11;17514;16977
0;11;16160;15614
0;11;16210;15732
1;11;17783;17231
1;11;18266;17644
1;11;18048;17473
1;11;18427;17958
1;11;18254;17678
0;11;16859;16350
0;11;16710;16295
1;11;18267;17742
1;11;18808;18297
1;11;19111;18592
0;11;14704;14692
1;11;17804;17316
0;11;17373;16874
0;11;17570;17119
1;11;18976;18346
1;11;18411;17884
1;11;18430;17870
1;12;18846;18304
1;12;18751;18155
0;12;18160;17665
0;12;18894;18449
1;12;20549;19961
1;12;20378;19884
1;12;21080;20751
1;12;20429;20163
1;12;20004;19290
0;12;18085;17612
0;12;18656;18372
1;12;20518;20111
1;12;21563;21171
1;12;21733;21359
1;12;21010;20529
1;12;19756;19122
0;12;18396;17913
0;12;18988;18818
1;12;21159;20811
1;12;20966;20587
1;12;20939;20609
1;12;20401;19961
1;12;18620;18091
0;12;16250;15623
0;12;15096;14992
0;12;17636;17267
1;12;19317;18823
1;12;18967;18367
1;12;18350;17728
1;12;18306;17816
0;12;18189;17397
