RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;17952;16917
1;12;19565;18514
1;12;18994;17877
1;12;17977;16913
1;12;17744;16818
0;12;15648;14901
0;1;15656;14980
0;1;16637;15456
1;1;17054;15787
1;1;17516;16291
1;1;18429;17170
1;1;18317;16936
1;1;17487;16594
0;1;16872;15994
0;1;16912;15753
1;1;18094;16849
1;1;18431;17115
1;1;18049;16747
1;1;17508;16249
1;1;17184;16312
0;1;17039;16298
0;1;17268;16377
0;1;19587;18370
1;1;20931;19725
1;1;19880;18565
1;1;19703;18536
1;1;20227;19461
0;1;19018;17957
0;1;19170;18212
1;1;19847;18603
1;1;19427;18241
1;1;19729;18474
1;1;20580;19485
1;1;19518;18670
0;1;17460;16684
0;1;17462;16417
1;1;19143;17896
1;2;18888;17746
1;2;18764;17608
1;2;18142;16957
1;2;17330;16486
0;2;15849;15167
0;2;15659;14961
1;2;17527;16318
1;2;17440;16274
1;2;17172;15981
1;2;18077;16810
1;2;17548;16691
0;2;16305;15551
0;2;16897;15953
1;2;18003;16734
1;2;17191;16050
1;2;17429;16257
1;2;17986;16877
1;2;18233;17357
0;2;17113;16365
0;2;16747;15842
0;2;17821;16600
1;2;17818;16677
1;2;18149;17104
1;2;18483;17419
1;2;17727;16853
0;2;16544;15877
0;2;17125;16059
1;2;18391;17127
1;3;18131;16882
1;3;18402;17248
1;3;18838;17701
1;3;17639;16770
0;3;16220;15525
0;3;16415;15272
1;3;17217;16000
1;3;18820;17535
1;3;19327;18130
1;3;18762;17678
1;3;17671;16639
0;3;16574;15726
0;3;16513;15568
1;3;17939;16700
1;3;17555;16403
1;3;17501;16475
1;3;17330;16165
1;3;16513;15693
0;3;15371;14711
0;3;15855;14751
1;3;17465;16230
1;3;16900;15767
1;3;17623;16392
1;3;17306;16262
1;3;16140;15252
0;3;15652;14972
0;3;15030;14138
1;3;17515;16151
1;3;16992;15759
1;3;16631;15453
1;3;16658;15464
1;4;15743;14831
0;4;15166;14306
0;4;15813;14870
1;4;17024;15943
1;4;16426;15375
1;4;16316;15229
1;4;16340;15283
1;4;15419;14645
0;4;14383;13799
0;4;15018;13965
1;4;16465;15350
1;4;16609;15528
1;4;16369;15409
1;4;16222;15297
1;4;15503;14751
0;4;14232;13667
0;4;14343;13479
1;4;15768;14739
1;4;15955;14955
1;4;16406;15290
1;4;15581;14722
1;4;15117;14325
0;4;14550;13842
0;4;14733;13946
1;4;16381;15361
1;4;15980;15079
1;4;16394;15328
1;4;16181;15285
1;4;15281;14600
0;4;14652;13956
0;5;14812;14023
1;5;16200;15119
1;5;16049;15163
1;5;16060;15141
1;5;15876;15102
1;5;15329;14624
0;5;14755;14171
0;5;14682;13934
1;5;16121;15169
1;5;16025;15229
1;5;16344;15467
1;5;15763;15112
1;5;15021;14590
0;5;14054;13645
0;5;14663;13849
1;5;15924;15081
1;5;15827;15062
1;5;15759;15000
1;5;15595;14942
1;5;14883;14521
0;5;14094;13634
0;5;14418;13805
1;5;16208;15168
1;5;16370;15393
1;5;16522;15460
1;5;16216;15422
1;5;15275;14757
0;5;14043;13728
0;5;13610;13288
0;5;14542;14060
1;5;16078;15386
1;6;16014;15584
1;6;16243;15852
1;6;15891;15497
0;6;15840;15715
0;6;17723;17285
1;6;17744;16915
1;6;19857;19232
1;6;20771;19882
1;6;20511;19841
1;6;19752;19260
0;6;19741;19439
0;6;20663;20026
1;6;23731;22874
1;6;19539;18679
1;6;16435;15733
1;6;16370;15650
1;6;15803;15421
0;6;14541;14399
0;6;14451;14425
1;6;16878;16530
1;6;18583;18163
1;6;17225;16834
1;6;16962;16695
1;6;18743;18457
0;6;20411;20090
0;6;21059;20639
1;6;22067;21438
1;6;20854;20247
1;6;20254;19675
1;6;19859;19197
1;7;18638;18131
0;7;16335;16120
0;7;14823;14718
0;7;15608;15392
1;7;20285;19622
1;7;18207;17393
1;7;16561;16175
1;7;15747;15156
0;7;15485;15276
0;7;18537;18437
1;7;22482;21716
1;7;19264;18582
1;7;18847;18421
1;7;21412;20877
1;7;20870;20332
0;7;19500;19177
0;7;19902;19663
1;7;22998;22059
1;7;23752;23054
1;7;22837;22134
1;7;22130;21477
1;7;22432;21303
0;7;17623;17258
0;7;17959;17742
1;7;22234;21567
1;7;24004;23179
1;7;22963;21809
1;7;18427;17879
1;7;19148;18634
0;7;17665;17279
0;7;16969;16519
1;8;20496;19563
1;8;22639;21589
1;8;22788;21687
1;8;22484;21620
1;8;21587;20569
0;8;18272;17736
0;8;19313;18775
1;8;23045;21916
1;8;21993;20978
1;8;23115;22031
1;8;23249;22026
1;8;22186;21077
0;8;22946;21977
0;8;20179;19120
1;8;18490;17494
1;8;18651;17739
1;8;19661;18558
1;8;18277;17363
1;8;17363;16613
0;8;17952;17341
0;8;20622;19468
1;8;20160;18781
1;8;18539;17451
1;8;17622;16618
1;8;18235;17187
1;8;18381;17405
0;8;17386;16636
0;8;18757;17908
1;8;21759;20399
1;8;21024;19802
1;8;22621;21293
1;9;20300;18835
1;9;19495;18304
0;9;16676;15835
0;9;15842;14979
0;9;16530;15363
1;9;18046;16665
1;9;18688;17207
1;9;19313;17976
1;9;17090;15983
0;9;15209;14355
0;9;15892;14753
1;9;20889;19296
1;9;21022;19352
1;9;21756;20312
1;9;20295;19027
1;9;17926;16876
0;9;16836;15937
0;9;16727;15481
1;9;18640;17121
1;9;19005;17543
1;9;18398;16909
1;9;18424;17015
1;9;17388;16122
0;9;14696;13891
0;9;15353;14269
1;9;17794;16504
1;9;16839;15496
1;9;16680;15392
1;9;16434;15152
1;9;15550;14612
0;10;14595;13813
0;10;15458;14227
1;10;17022;15680
1;10;17317;15876
1;10;17796;16290
1;10;18032;16783
1;10;17938;16897
0;10;16219;15292
0;10;14765;13841
0;10;16273;15085
1;10;16721;15452
1;10;16766;15455
1;10;16742;15531
1;10;16151;15216
0;10;15176;14339
0;10;15388;14269
1;10;16678;15438
1;10;16654;15443
1;10;16675;15431
1;10;16581;15379
1;10;15817;14952
0;10;15208;14351
0;10;15503;14356
1;10;17056;15743
1;10;17245;15990
1;10;17208;15986
1;10;17057;15894
1;10;16332;15478
0;10;15483;14696
0;10;14971;13756
1;10;15795;14709
1;11;16439;15103
1;11;16578;15291
1;11;16438;15147
1;11;15515;14549
0;11;14326;13547
0;11;14931;13793
1;11;16541;15325
1;11;16441;15194
1;11;16834;15587
1;11;16656;15639
0;11;16303;15466
0;11;15086;14390
0;11;15013;13893
1;11;16397;15200
1;11;16791;15541
1;11;16609;15291
1;11;17318;16199
1;11;17011;16085
0;11;15817;15092
0;11;15646;14537
1;11;16878;15660
1;11;17567;16483
1;11;17937;16902
0;11;14585;14189
1;11;16746;15987
0;11;16300;15518
0;11;16345;15113
1;11;17447;16114
1;11;17063;15694
1;11;17108;15862
1;12;17563;16413
1;12;17592;16736
0;12;17092;16336
0;12;17791;16577
1;12;19151;17775
1;12;19214;17936
1;12;20144;18887
1;12;19499;18350
1;12;18521;17404
0;12;17081;16359
0;12;17815;16625
1;12;19439;18247
1;12;20575;19443
1;12;20818;19752
1;12;19881;18748
1;12;18420;17445
0;12;17474;16799
0;12;18324;17273
1;12;20133;18919
1;12;19985;18820
1;12;19962;18899
1;12;19298;18256
1;12;17483;16630
0;12;15263;14926
0;12;14783;14251
0;12;16725;15838
1;12;18127;17051
1;12;17675;16503
1;12;16969;15886
1;12;17260;16456
0;12;16666;15890
