RadniDan;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;12;18657;17952
1;12;20293;19565
1;12;19778;18994
1;12;18625;17977
1;12;18342;17744
0;12;16503;15648
0;1;16108;15656
0;1;17400;16637
1;1;17874;17054
1;1;18296;17516
1;1;19252;18429
1;1;19282;18317
1;1;18105;17487
0;1;17529;16872
0;1;17616;16912
1;1;18909;18094
1;1;19205;18431
1;1;18953;18049
1;1;18297;17508
1;1;17793;17184
0;1;17458;17039
0;1;17700;17268
0;1;20343;19587
1;1;21727;20931
1;1;20845;19880
1;1;20362;19703
1;1;20810;20227
0;1;19940;19018
0;1;19819;19170
1;1;20630;19847
1;1;20203;19427
1;1;20636;19729
1;1;21210;20580
1;1;20083;19518
0;1;18046;17460
0;1;18085;17462
1;1;19854;19143
1;2;19563;18888
1;2;19430;18764
1;2;18992;18142
1;2;17859;17330
0;2;16363;15849
0;2;16007;15659
1;2;18285;17527
1;2;18246;17440
1;2;17922;17172
1;2;18894;18077
1;2;18222;17548
0;2;16824;16305
0;2;17460;16897
1;2;18844;18003
1;2;17949;17191
1;2;18146;17429
1;2;18624;17986
1;2;18776;18233
0;2;17614;17113
0;2;17286;16747
0;2;18693;17821
1;2;18567;17818
1;2;18738;18149
1;2;19242;18483
1;2;18317;17727
0;2;17060;16544
0;2;17759;17125
1;2;19244;18391
1;3;19005;18131
1;3;19092;18402
1;3;19439;18838
1;3;18252;17639
0;3;16670;16220
0;3;17155;16415
1;3;18069;17217
1;3;19653;18820
1;3;19983;19327
1;3;19342;18762
1;3;18418;17671
0;3;17202;16574
0;3;17091;16513
1;3;18597;17939
1;3;18223;17555
1;3;18151;17501
1;3;17938;17330
1;3;17045;16513
0;3;15776;15371
0;3;16468;15855
1;3;18114;17465
1;3;17499;16900
1;3;18337;17623
1;3;17886;17306
1;3;16632;16140
0;3;16045;15652
0;3;15268;15030
1;3;18405;17515
1;3;17722;16992
1;3;17293;16631
1;3;17277;16658
1;4;16299;15743
0;4;15834;15166
0;4;15836;15813
1;4;16925;17024
1;4;16165;16426
1;4;16027;16316
1;4;16385;16340
1;4;15076;15419
0;4;13875;14383
0;4;14320;15018
1;4;16159;16465
1;4;16553;16609
1;4;15945;16369
1;4;15729;16222
1;4;14935;15503
0;4;13673;14232
0;4;13718;14343
1;4;15292;15768
1;4;15519;15955
1;4;16249;16406
1;4;15047;15581
1;4;14950;15117
0;4;14631;14550
0;4;14027;14733
1;4;15879;16381
1;4;15309;15980
1;4;16466;16394
1;4;15633;16181
1;4;14597;15281
0;4;14714;14652
0;5;14038;14812
1;5;15932;16200
1;5;15416;16049
1;5;15482;16060
1;5;15127;15876
1;5;15080;15329
0;5;14524;14755
0;5;14028;14682
1;5;15450;16121
1;5;15315;16025
1;5;15683;16344
1;5;14997;15763
1;5;14335;15021
0;5;13388;14054
0;5;14289;14663
1;5;15387;15924
1;5;15273;15827
1;5;15273;15759
1;5;14976;15595
1;5;14406;14883
0;5;13763;14094
0;5;13982;14418
1;5;16107;16208
1;5;16444;16370
1;5;16601;16522
