Praznik;Mjesec;Temperatura;PrethodnaPotrosnja;Potrosnja
1;1;-5.1;156.5;157.25
1;1;-2.9;160.25;163.0
0;1;-5.4;172.75;224.5
0;1;-3.8;183.5;228.25
0;1;-3.3;182.0;222.5
1;1;-3.5;169.0;167.0
0;1;8.2;173.5;192.25
1;1;10.6;168.0;171.75
1;1;6.1;166.0;166.75
0;1;5.1;171.5;214.75
0;1;3.6;184.5;229.0
0;1;4.1;NaN;NaN
0;1;3.2;192.5;241.0
0;1;3.4;180.75;218.0
1;1;2.6;176.5;179.5
1;1;2.7;157.0;158.25
0;1;-1.6;157.75;228.25
0;1;-1.1;178.75;244.5
0;1;-2.2;171.5;237.0
0;1;3.1;179.5;249.5
0;1;1.3;179.75;243.0
1;1;-0.3;166.0;181.25
1;1;-3.2;168.0;177.0
0;1;-4.3;176.25;238.25
0;1;-3.0;172.0;228.0
0;1;-1.1;185.25;227.0
0;1;1.6;180.5;234.0
0;1;-0.9;186.5;236.75
1;1;-2.8;171.25;185.25
1;1;-1.9;167.75;172.5
0;1;-1.4;171.5;230.75
0;2;-2.4;190.0;259.75
0;2;-3.6;184.0;243.25
0;2;-2.3;191.0;250.25
0;2;-4.4;187.5;237.75
1;2;-3.0;168.25;178.0
1;2;-2.9;170.25;177.5
0;2;-2.5;177.0;215.25
0;2;-2.8;186.5;234.0
0;2;1.4;182.5;230.75
0;2;-1.4;186.75;228.5
0;2;-2.9;182.75;223.0
1;2;8.9;174.75;179.25
1;2;2.1;185.75;185.0
0;2;1.2;188.0;247.25
0;2;0.2;189.0;260.5
0;2;0.4;197.0;254.5
0;2;2.7;191.75;255.0
0;2;2.9;186.25;247.25
1;2;0.2;176.0;184.5
1;2;-0.4;146.25;146.0
0;2;-1.5;188.25;239.0
0;2;-2.6;190.5;247.5
0;2;-5.4;187.75;236.25
0;2;-7.0;183.25;222.75
0;2;-8.2;186.0;243.25
1;2;-1.4;177.0;180.75
1;2;-2.1;175.25;175.75
0;2;-1.4;183.75;243.0
0;3;-0.2;195.0;247.25
0;3;0.2;188.5;240.75
0;3;-1.9;185.0;237.5
0;3;0.0;178.5;240.0
1;3;0.0;178.2;182.467153285
1;3;-2.4;175.287313433;171.959854015
0;3;0.1;195.084249084;226.282051282
0;3;-5.0;195.707581227;246.064981949
0;3;-5.7;205.49609375;243.1875
0;3;-3.2;200.98046875;241.921875
0;3;-0.4;201.3125;234.234375
1;3;0.4;184.019685039;189.330708661
1;3;8.3;184.0078125;181.723735409
0;3;12.6;191.399209486;248.57480315
0;3;8.0;186.5;237.25
0;3;9.5;186.75;242.0
0;3;10.5;188.75;241.0
0;3;6.8;189.75;245.25
1;3;5.8;183.75;194.25
1;3;4.3;182.25;180.5
0;3;3.8;190.0;231.25
0;3;-0.2;197.75;236.0
0;3;1.2;198.25;233.25
0;3;3.9;200.0;227.5
0;3;3.7;192.5;224.75
1;3;11.1;182.5;189.0
1;3;10.3;184.25;185.5
0;3;9.6;NaN;NaN
0;3;6.3;NaN;NaN
0;3;4.1;192.0;245.75
0;3;5.3;201.5;253.5
0;4;8.2;NaN;NaN
1;4;8.9;NaN;NaN
1;4;8.8;NaN;NaN
0;4;11.0;NaN;NaN
0;4;9.0;NaN;NaN
0;4;7.1;NaN;NaN
0;4;10.0;NaN;NaN
0;4;14.8;NaN;NaN
1;4;13.6;NaN;NaN
1;4;7.6;NaN;NaN
0;4;11.1;NaN;NaN
0;4;11.7;NaN;NaN
0;4;6.4;NaN;NaN
0;4;5.3;NaN;NaN
0;4;8.2;NaN;NaN
1;4;9.0;NaN;NaN
1;4;9.3;147.0;158.25
0;4;7.2;146.25;203.25
0;4;8.4;160.5;204.75
0;4;8.6;165.0;208.0
0;4;10.3;157.0;211.0
0;4;10.8;153.5;187.25
1;4;10.6;144.75;149.0
1;4;15.3;139.75;136.5
1;4;12.8;136.0;141.25
0;4;12.9;143.5;196.75
0;4;13.6;150.0;209.75
0;4;11.4;152.25;208.5
0;4;11.7;164.5;219.75
1;4;12.1;163.0;156.0
1;5;12.3;154.25;145.5
0;5;11.0;157.25;189.5
0;5;14.1;158.75;186.5
0;5;7.5;NaN;NaN
0;5;9.4;158.0;191.5
0;5;9.6;158.065693431;198.981684982
1;5;10.2;149.567901235;159.253061224
1;5;13.6;145.228215768;142.547325103
0;5;12.1;150.0;205.25
0;5;13.6;153.5;206.0
0;5;16.3;159.75;222.5
0;5;14.3;164.25;219.0
0;5;16.8;NaN;NaN
1;5;16.5;NaN;NaN
1;5;15.3;173.0;171.5
0;5;11.7;187.472;240.599190283
0;5;14.6;150.926829268;207.514423077
0;5;14.4;150.533632287;203.697777778
0;5;16.5;150.024390244;215.123505976
0;5;18.0;155.410714286;204.115555556
1;5;19.2;142.610091743;164.78440367
1;5;15.1;143.703539823;143.286956522
0;5;18.3;154.219827586;195.561085973
0;5;19.0;159.46460177;198.013043478
0;5;19.7;163.054545455;204.401785714
0;5;17.7;156.403669725;204.205240175
0;5;18.4;163.587234043;205.259574468
1;5;12.9;155.360515021;163.329113924
1;5;14.9;145.411016949;144.406779661
0;5;17.1;164.17721519;199.940425532
0;5;19.3;167.877637131;208.829787234
