Praznik;Mjesec;Temperatura;PrethodnaPotrosnja;Potrosnja
1;1;-3.5;163.0;161.75
1;1;-3.2;176.5;171.5
0;1;-4.9;187.5;181.0
0;1;-3.0;180.75;175.0
0;1;-4.1;180.25;175.25
1;1;4.9;176.25;177.75
0;1;11.4;175.5;170.0
1;1;9.8;172.75;168.75
1;1;6.6;171.0;167.5
0;1;4.7;187.25;185.0
0;1;4.1;199.25;191.5
0;1;3.7;186.25;181.25
0;1;6.0;199.0;186.75
0;1;2.9;187.5;180.5
1;1;3.3;165.0;162.25
1;1;0.9;163.0;160.5
0;1;2.1;192.5;182.5
0;1;-0.8;191.25;180.25
0;1;3.1;193.75;188.25
0;1;2.6;184.5;177.0
0;1;0.7;176.5;175.5
1;1;-0.7;181.75;174.75
1;1;-2.3;168.5;167.5
0;1;-1.8;192.5;180.75
0;1;-0.3;201.25;197.25
0;1;0.7;190.0;186.75
0;1;0.0;193.5;186.25
0;1;-0.1;190.5;188.25
1;1;-1.1;186.5;181.75
1;1;-1.2;176.0;170.5
0;1;-2.0;215.25;205.25
0;2;-3.6;198.75;185.25
0;2;-2.1;191.5;186.75
0;2;-4.7;199.5;194.0
0;2;-1.4;174.5;171.0
1;2;-1.1;177.25;174.75
1;2;0.6;170.5;168.75
0;2;0.6;196.25;185.5
0;2;6.7;191.5;185.0
0;2;1.2;192.25;184.0
0;2;0.4;203.0;194.5
0;2;9.0;189.5;184.5
1;2;3.0;186.25;185.25
1;2;1.2;185.25;185.0
0;2;0.9;214.5;205.75
0;2;0.4;215.5;209.75
0;2;4.6;202.25;194.5
0;2;4.0;203.75;193.75
0;2;4.0;187.5;182.25
1;2;3.9;151.5;151.25
1;2;2.0;193.25;188.75
0;2;-2.2;212.0;204.5
0;2;-1.8;198.75;188.25
0;2;-6.0;195.5;187.5
0;2;-6.3;201.75;194.0
0;2;-1.1;202.5;192.0
1;2;-3.1;180.5;180.5
1;2;-1.2;189.0;190.5
0;2;0.1;218.5;202.5
0;3;1.0;210.75;205.75
0;3;-1.8;199.75;191.75
0;3;0.4;200.25;191.25
0;3;-1.9;190.5;180.25
1;3;-1.9;182.675373134;180.649635036
1;3;1.0;179.182481752;176.0
0;3;-4.2;204.234432234;197.799270073
0;3;-3.4;201.207843137;196.46184739
0;3;-1.3;207.21875;203.054474708
0;3;7.7;204.13671875;197.62109375
0;3;7.4;201.163424125;194.34765625
1;3;9.4;198.575875486;191.875
1;3;11.6;190.45703125;188.40234375
0;3;11.4;207.25;202.0
0;3;10.1;203.25;195.5
0;3;10.2;206.25;201.25
0;3;7.5;215.75;202.75
0;3;6.8;198.5;191.25
1;3;6.1;196.25;185.5
1;3;5.8;189.5;185.75
0;3;0.8;201.5;192.0
0;3;3.4;208.5;196.25
0;3;5.8;203.75;198.5
0;3;6.2;220.0;210.25
0;3;12.6;194.0;192.75
1;3;10.8;194.25;190.25
1;3;9.5;195.25;187.5
0;3;9.9;NaN;NaN
0;3;5.6;204.75;198.75
0;3;6.5;208.0;203.25
0;3;8.4;212.75;208.0
0;4;11.2;NaN;NaN
1;4;10.4;NaN;NaN
1;4;11.8;NaN;NaN
0;4;10.8;NaN;NaN
0;4;6.5;NaN;NaN
0;4;9.0;NaN;NaN
0;4;21.4;NaN;NaN
0;4;13.9;NaN;NaN
1;4;10.5;NaN;NaN
1;4;7.7;NaN;NaN
0;4;9.9;NaN;NaN
0;4;7.8;NaN;NaN
0;4;3.7;NaN;NaN
0;4;6.1;NaN;NaN
0;4;7.3;NaN;NaN
1;4;9.3;164.75;157.75
1;4;5.9;149.75;148.5
0;4;9.4;172.25;164.25
0;4;7.8;175.0;171.0
0;4;9.5;180.25;170.25
0;4;9.8;179.25;170.0
0;4;10.5;156.5;152.5
1;4;16.9;146.5;144.25
1;4;14.2;153.0;150.0
1;4;14.7;158.75;157.75
0;4;13.1;160.5;156.75
0;4;13.6;168.25;163.75
0;4;11.2;182.75;173.5
0;4;12.0;164.5;159.75
1;4;12.0;196.25;193.5
1;5;11.9;161.25;161.0
0;5;12.1;170.5;160.25
0;5;8.0;175.25;172.75
0;5;5.0;169.75;164.75
0;5;6.0;174.355311355;168.547794118
0;5;8.7;170.56846473;165.319148936
1;5;9.4;161.012244898;161.214285714
1;5;8.3;161.818181818;160.642857143
0;5;12.8;167.25;162.75
0;5;12.0;175.75;169.5
0;5;12.9;185.0;179.75
0;5;17.0;186.75;178.5
0;5;15.5;NaN;NaN
1;5;14.2;214.5;206.0
1;5;9.9;203.4;191.850202429
0;5;11.8;178.222772277;175.06
0;5;15.5;176.42173913;168.566371681
0;5;13.3;172.691666667;165.532520325
0;5;15.4;182.487394958;170.515418502
0;5;16.6;169.121621622;164.962962963
1;5;14.0;159.348039216;153.483870968
1;5;15.8;165.231182796;160.933014354
0;5;18.9;187.230769231;175.762790698
0;5;18.0;185.328947368;180.052863436
0;5;15.6;181.5;172.0
0;5;15.6;187.305676856;181.857777778
0;5;20.4;179.021551724;174.153508772
1;5;13.2;159.079831933;156.004347826
1;5;13.0;162.164556962;155.92173913
0;5;16.2;194.52173913;183.83982684
0;5;17.0;190.756302521;181.438818565
