Praznik;Mjesec;Temperatura;PrethodnaPotrosnja;Potrosnja
1;1;-4.8;171.0;171.5
1;1;-3.1;162.75;161.25
0;1;-5.2;167.5;166.25
0;1;-3.9;178.0;179.0
0;1;-3.1;172.25;175.0
1;1;-3.9;168.5;168.0
0;1;5.4;175.25;175.0
1;1;11.1;172.0;171.75
1;1;9.0;165.0;166.5
0;1;4.9;168.0;165.5
0;1;4.2;174.75;176.25
0;1;4.3;NaN;NaN
0;1;3.7;177.5;177.25
0;1;5.8;172.0;172.0
1;1;1.7;182.25;180.5
1;1;2.2;160.5;160.75
0;1;0.0;158.75;155.75
0;1;0.1;177.25;178.0
0;1;-1.3;174.75;173.0
0;1;3.0;174.25;172.0
0;1;1.8;173.0;169.5
1;1;-0.1;172.75;171.0
1;1;-1.7;177.5;176.25
0;1;-3.2;164.5;163.25
0;1;-4.6;173.0;170.5
0;1;-0.8;181.5;180.25
0;1;1.5;174.75;170.75
0;1;0.0;174.75;172.75
1;1;-1.2;183.5;177.0
1;1;-1.2;177.75;174.25
0;1;-1.1;167.75;166.75
0;2;-2.2;189.25;186.75
0;2;-3.6;181.0;180.0
0;2;-2.7;183.0;182.5
0;2;-4.4;183.0;179.0
1;2;-1.7;173.25;172.5
1;2;-2.3;174.75;169.5
0;2;-1.4;168.25;167.5
0;2;-1.6;178.0;177.25
0;2;2.7;179.0;176.5
0;2;-0.3;179.5;179.25
0;2;-1.4;186.75;186.5
1;2;8.1;179.0;177.5
1;2;2.7;188.0;187.5
0;2;1.1;181.5;178.75
0;2;0.1;192.0;187.25
0;2;0.5;199.75;194.0
0;2;4.0;191.25;189.0
0;2;3.5;184.0;183.5
1;2;3.9;186.75;185.25
1;2;1.1;151.75;151.75
0;2;0.7;185.5;184.25
0;2;-2.8;191.25;190.75
0;2;-2.4;180.5;181.25
0;2;-7.2;176.0;174.0
0;2;-7.2;184.0;179.5
1;2;-1.3;190.25;184.25
1;2;-2.2;184.5;185.25
0;2;-1.3;182.25;181.5
0;3;0.1;188.5;188.25
0;3;1.1;193.25;189.25
0;3;-1.9;182.25;180.75
0;3;-0.1;184.0;176.75
1;3;-0.2;182.5;179.0
1;3;-2.8;178.073260073;179.452554745
0;3;1.1;172.286764706;171.682481752
0;3;-4.5;187.018050542;183.963898917
0;3;-4.8;188.80859375;186.876494024
0;3;-2.8;195.73151751;195.62890625
0;3;0.3;188.031128405;186.175097276
1;3;6.0;191.984375;190.417670683
1;3;9.3;189.128404669;188.763052209
0;3;10.8;185.7265625;184.688715953
0;3;10.2;190.75;188.0
0;3;7.7;190.25;186.25
0;3;11.1;192.0;187.0
0;3;5.1;191.5;188.0
1;3;5.9;192.25;186.5
1;3;5.7;188.5;186.25
0;3;4.9;182.0;181.5
0;3;0.2;184.0;184.75
0;3;1.7;186.5;187.25
0;3;4.8;199.25;194.25
0;3;4.5;193.5;189.25
1;3;12.1;193.75;187.75
1;3;10.2;195.0;NaN
0;3;6.1;NaN;NaN
0;3;8.3;NaN;NaN
0;3;3.7;190.75;191.5
0;3;4.9;196.75;193.25
0;4;5.9;NaN;NaN
1;4;8.4;NaN;NaN
1;4;9.2;NaN;NaN
0;4;9.8;NaN;NaN
0;4;10.3;NaN;NaN
0;4;5.7;NaN;NaN
0;4;8.3;NaN;NaN
0;4;15.6;NaN;NaN
1;4;12.1;NaN;NaN
1;4;6.3;NaN;NaN
0;4;6.8;NaN;NaN
0;4;8.2;NaN;NaN
0;4;6.7;NaN;NaN
0;4;7.7;NaN;NaN
0;4;5.8;NaN;NaN
1;4;8.9;NaN;NaN
1;4;8.6;144.25;147.75
0;4;5.3;143.75;141.5
0;4;7.3;154.25;151.75
0;4;5.8;160.5;157.0
0;4;7.6;158.25;152.5
0;4;7.9;153.5;151.5
1;4;9.1;152.5;146.25
1;4;15.1;142.0;143.0
1;4;10.9;148.0;143.25
0;4;13.7;143.25;141.75
0;4;12.6;149.5;150.25
0;4;13.0;153.0;152.5
0;4;11.2;159.75;158.75
1;4;12.1;163.0;159.75
1;5;11.2;183.75;179.0
0;5;9.0;158.25;152.75
0;5;12.2;152.0;150.75
0;5;6.6;168.75;167.0
0;5;4.5;155.75;154.75
0;5;4.5;157.644688645;154.620437956
1;5;6.9;158.765432099;155.367768595
1;5;8.3;159.057142857;156.493775934
0;5;6.6;157.0;150.75
0;5;11.2;153.25;152.25
0;5;9.7;160.5;158.5
0;5;10.5;166.75;165.0
0;5;18.2;NaN;NaN
1;5;13.1;NaN;NaN
1;5;13.6;192.0;187.25
0;5;9.8;182.482071713;179.93877551
0;5;13.5;158.233050847;154.858870968
0;5;13.8;151.431718062;150.49339207
0;5;12.3;149.807228916;145.241935484
0;5;14.4;156.844262295;154.791878173
1;5;14.8;155.493150685;152.966824645
1;5;12.2;146.732142857;147.353982301
0;5;15.0;148.236363636;147.823529412
0;5;16.0;162.236607143;157.113537118
0;5;16.0;161.165938865;160.386666667
0;5;14.5;160.5;157.5
0;5;14.8;172.538793103;163.029535865
1;5;13.6;169.037815126;161.513043478
1;5;10.2;155.098712446;155.560869565
0;5;11.5;154.68487395;149.769911504
0;5;14.8;163.360515021;162.868644068
