Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;Potrosnja
1;1;-4.2;162.5;164.25
1;1;-0.5;179.25;184.5
0;1;-1.9;380.0;348.5
0;1;-4.7;387.0;355.75
0;1;-2.0;393.5;362.25
1;1;3.8;198.25;197.75
0;1;11.8;237.5;230.75
1;1;12.6;193.75;202.25
1;1;11.7;183.0;192.75
0;1;8.4;403.75;346.5
0;1;4.1;416.25;369.0
0;1;3.0;375.25;341.0
0;1;7.1;397.5;358.5
0;1;7.3;391.5;355.5
1;1;6.2;174.0;189.0
1;1;5.0;164.0;175.75
0;1;4.5;388.0;357.5
0;1;1.6;362.75;334.25
0;1;3.1;422.0;368.0
0;1;3.7;425.5;390.0
0;1;1.7;412.75;340.5
1;1;-0.3;205.5;206.0
1;1;0.4;185.25;200.75
0;1;-1.1;356.5;335.5
0;1;0.5;361.5;338.5
0;1;3.2;383.0;350.0
0;1;1.1;346.5;315.75
0;1;-0.6;380.25;343.75
1;1;-0.2;191.5;197.0
1;1;-0.3;187.0;188.75
0;1;-1.2;354.5;313.25
0;2;-3.0;345.75;306.5
0;2;-3.1;333.5;308.5
0;2;-0.9;316.25;301.0
0;2;4.7;286.25;277.5
1;2;5.3;181.25;181.25
1;2;5.5;175.25;185.25
0;2;7.2;300.75;293.75
0;2;10.4;294.25;276.5
0;2;7.4;306.75;280.5
0;2;5.9;294.75;280.5
0;2;11.1;287.5;278.75
1;2;4.6;198.75;204.0
1;2;1.8;184.25;191.0
0;2;1.2;424.5;372.25
0;2;0.3;427.5;373.0
0;2;3.6;406.5;375.25
0;2;3.8;419.25;372.0
0;2;3.5;392.5;337.75
1;2;5.9;149.5;161.75
1;2;4.8;185.25;194.25
0;2;-1.1;396.0;359.75
0;2;-0.6;410.5;374.75
0;2;-1.4;358.0;336.0
0;2;-0.2;356.25;338.25
0;2;-0.3;332.5;310.5
1;2;-0.2;188.25;189.25
1;2;-0.8;199.0;206.25
0;2;0.0;407.5;357.5
0;3;1.2;417.0;379.25
0;3;-1.0;418.25;373.25
0;3;0.1;413.5;363.25
0;3;1.8;364.0;325.0
1;3;2.1;195.578754579;196.834558824
1;3;5.0;NaN;180.767241379
0;3;2.5;365.569343066;341.208029197
0;3;3.5;355.933333333;331.832684825
0;3;6.8;360.151750973;338.345098039
0;3;11.5;356.26;337.01953125
0;3;15.0;355.0078125;321.241245136
1;3;15.0;197.25390625;200.97254902
1;3;14.6;202.57421875;210.207843137
0;3;17.0;374.59375;339.471698113
0;3;17.9;420.75;374.0
0;3;11.0;433.75;372.25
0;3;14.7;390.0;339.25
0;3;9.8;418.0;364.0
1;3;6.6;205.0;196.5
1;3;8.1;190.0;189.0
0;3;7.8;342.5;307.5
0;3;11.7;338.25;322.0
0;3;15.0;340.5;294.75
0;3;18.1;374.25;333.75
0;3;19.4;363.25;312.75
1;3;17.7;207.75;199.5
1;3;13.8;202.25;194.25
0;3;11.2;NaN;NaN
0;3;13.9;375.75;297.25
0;3;15.4;326.0;282.0
0;3;17.8;319.25;279.75
0;4;18.6;NaN;NaN
1;4;19.4;NaN;NaN
1;4;20.3;NaN;NaN
0;4;17.5;NaN;NaN
0;4;14.5;NaN;NaN
0;4;16.8;NaN;NaN
0;4;25.3;NaN;NaN
0;4;20.1;NaN;NaN
1;4;20.0;NaN;NaN
1;4;17.1;NaN;NaN
0;4;17.5;NaN;NaN
0;4;19.4;NaN;NaN
0;4;11.5;NaN;NaN
0;4;11.6;NaN;NaN
0;4;11.9;NaN;NaN
1;4;11.7;163.25;163.75
1;4;14.2;152.5;151.5
0;4;15.6;312.25;252.25
0;4;17.1;335.0;301.5
0;4;19.8;332.5;291.0
0;4;22.8;312.5;280.25
0;4;22.2;232.0;184.0
1;4;21.9;151.5;151.25
1;4;21.5;147.75;152.75
1;4;20.4;157.75;159.5
0;4;13.9;356.5;312.25
0;4;15.9;367.25;320.0
0;4;14.8;373.5;324.5
0;4;14.7;339.25;287.5
1;4;18.4;176.25;175.5
1;5;13.3;156.25;157.25
0;5;18.9;292.75;249.5
0;5;13.4;317.5;274.75
0;5;12.8;317.75;264.5
0;5;14.7;325.919413919;284.802197802
0;5;17.6;302.072033898;264.07755102
1;5;21.5;166.134693878;162.049180328
1;5;9.7;174.917073171;167.209756098
0;5;18.7;288.0;254.0
0;5;22.6;332.5;277.5
0;5;23.6;317.25;255.0
0;5;25.6;311.5;250.75
0;5;22.3;NaN;NaN
1;5;25.6;222.75;227.75
1;5;11.1;201.519047619;205.523148148
0;5;16.7;333.786069652;296.175609756
0;5;18.6;346.618025751;310.888412017
0;5;21.4;329.983471074;289.966942149
0;5;24.7;346.004065041;289.619834711
0;5;25.0;322.785714286;268.533039648
1;5;17.8;192.620853081;187.259803922
1;5;25.2;164.799107143;168.623318386
0;5;22.5;369.395348837;331.171171171
0;5;26.3;379.592105263;331.547826087
0;5;24.1;372.25;320.0
0;5;25.7;370.398230088;320.612068966
0;5;28.7;438.309734513;389.225531915
1;5;15.6;172.399122807;167.145833333
1;5;21.9;175.132478632;165.948717949
0;5;24.4;365.622881356;315.49137931
0;5;23.9;453.812765957;380.787234043
